Probe ID	SYM	FDR	FC.WD.NF	Map
218633_x_at	ABHD10	0.008919929	1.505269988	3q13.2
218739_at	ABHD5	1.84E-05	-2.447760265	3p21
213805_at	ABHD5	0.001890576	-2.48798789	3p21
213935_at	ABHD5	0.001890631	-2.669805648	3p21
214584_x_at	ACACB	0.008723206	-3.458340724	12q24.11
205412_at	ACAT1	3.59E-05	-2.115321786	11q22.3-q23.1
37953_s_at	ACCN2	0.007516785	2.6918131	12q12
207071_s_at	ACO1	0.001389595	-2.521183696	9p22-q32
207275_s_at	ACSL1	0.001844973	-3.641608639	4q34-q35
222162_s_at	ADAMTS1	0.009734653	-2.821325107	21q21.2
220287_at	ADAMTS9	0.00241253	-2.601281875	3p14.3-p14.2
203741_s_at	ADCY7	0.007317831	2.377148111	16q12-q13
201753_s_at	ADD3	0.009061505	1.944566289	10q24.2-q24.3
209614_at	ADH1B	0.004887564	-5.755221265	4q21-q23
205891_at	ADORA2B	0.006833613	2.883594626	17p12-p11.2
204184_s_at	ADRBK2	0.001292269	-2.229954364	22q11
204183_s_at	ADRBK2	0.008870283	-2.372163022	22q11
32837_at	AGPAT2	9.66E-05	-3.264080065	9q34.3
210678_s_at	AGPAT2	0.004827768	-4.035622321	9q34.3
220016_at	AHNAK	4.80E-05	-8.195541282	11q12.2
201425_at	ALDH2	9.62E-07	-4.088675199	12q24.2
215306_at	ALF	0.00899731	-3.055162652	2p16.3
213413_at	ALF	0.000483729	-3.731195751	2p16.3
205141_at	ANG	0.003956044	-3.072900371	14q11.1-q11.2
216550_x_at	ANKRD12	0.001671041	2.326644215	18p11.22
221505_at	ANP32E	0.000382809	2.242329006	1q21.2
209369_at	ANXA3	0.000282205	-3.023977679	4q13-q22
203350_at	AP1G1	0.001931625	2.798077034	16q23
203410_at	AP3M2	0.00265464	1.894361451	8p11.2
204859_s_at	APAF1	0.000462555	1.871368457	12q23
206632_s_at	APOBEC3B	0.000121687	3.657862952	22q13.1-q13.2
209584_x_at	APOBEC3C	0.00432152	1.957174712	22q13.1-q13.2
206955_at	AQP7	0.003948481	-6.398654173	9p13
204492_at	ARHGAP11A	0.001438228	2.920012147	15q13.2
204425_at	ARHGAP4	0.00138791	5.099773683	Xq28
205507_at	ARHGEF15	0.00131851	-2.017180635	17p13.1
203264_s_at	ARHGEF9	0.004185074	2.016680538	Xq11.1
219335_at	ARMCX5	0.000196593	2.035937334	Xq22.1-q22.3
214749_s_at	ARMCX6	0.00066776	1.845192135	Xq21.33-q22.3
