GeneBank ID	Gene description	Fold change AT1 4 h	Fold change AT1 12 h	Fold change CA1a 4 h	Fold change CA1a 12 h	Function
NM_003246	Thrombospondin 1	?1.4	?2.0	?1.3	?1.6	Cell adhesion, extracellular matrix, cytoskeleton
NM_002291	Laminin b1	?1.5	?2.3	?1.2	?1.9	Cell adhesion, extracellular matrix, cytoskeleton
X16354	Carcinoembryonic antigen-related cell adhesion molecule 1	?1.3	?3.5	?1.1	?2.5	Cell adhesion, extracellular matrix, cytoskeleton
NM_001723	Bullous pemphigoid antigen 1	?1.5	?2.0	?1.3	?2.8	Cell adhesion, extracellular matrix, cytoskeleton
BF196457	Desmocollin 2	?1.6	?2.0	?1.4	?1.5	Cell adhesion, extracellular matrix, cytoskeleton
AF307080	Latrophilin 3	?1.1	?3.2	?1.1	?1.9	Cell adhesion, extracellular matrix, cytoskeleton
NM_003507	Frizzled homolog 7	?1.3	?2.5	?1.6	?2.3	Signal transduction, apoptosis, cell cycle
NM_002048	Growth arrest-specific 1	?3.2	?3.5	?1.9	?2.8	Signal transduction, apoptosis, cell cycle
NM_003897	Immediate early response 3	?1.5	?2.5	?1.1	?1.3	Signal transduction, apoptosis, cell cycle
NM_000676	Adenosine A2b receptor	?1.4	?2.3	?1.2	?1.3	Signal transduction, apoptosis, cell cycle
NM_005582	Lymphocyte antigen 64 homolog, radioprotective	?1.8	?4.9	?1.8	?6.5	Growth factors, cytokines, immune responses, inflammation
M92934	Connective tissue growth factor (CTGF)	?1.9	?2.6	2.3	?3.0	Growth factors, cytokines, immune responses, inflammation
NM_005375	v-myb myeloblastosis viral oncogene homolog	?2.3	?1.9	?1.5	?1.7	Transcription
NM_005375	v-myb myeloblastosis viral oncogene homolog	?2.3	?1.9	?1.5	?1.7	Transcription
NM_005077	Transducin-like enhancer of split 1	?1.6	?2.3	?1.4	?2.0	Others
NM_001218	Carbonic anhydrase XII	1	?1.7	?1.2	?2.8	Others
NM_004385	Chondroitin sulfate proteoglycan 2 (versican)	?1.5	?2.5	?1.1	?1.7	Others
