Gene ID	Gene Name	Molecular Function/Biological Process	Status
1916_s_at	v-fos FBJ murine osteosarcoma viral oncogene homolog	transcritpion factor	UP REGULATED GENES
1915_s_at	v-fos FBJ murine osteosarcoma viral oncogene homolog	transcription factor	UP REGULATED GENES
36097_at	immediate early protein	(L) signal transduction	UP REGULATED GENES
1768_s_at	c-src tyrosine kinase	protein tyrosine kinase	UP REGULATED GENES
2094_s_at	v-fos FBJ murine osteosarcoma viral oncogene homolog	transcription factor	UP REGULATED GENES
35276_at	claudin 4	transmembrane receptor	UP REGULATED GENES
41306_at	X11L-binding protein 51	calcium ion binding	UP REGULATED GENES
39236_s_at	fatty acid amide hydrolase	hydrolysis of anandamide	UP REGULATED GENES
36669_at	FBJ murine osteosarcoma viral oncogene homolog B	transcription factor	UP REGULATED GENES
36634_at	BTG family, member 2	cell cycle regulator, tumor suppressor, transcription factor	UP REGULATED GENES
41483_s_at	jun D proto-oncogene	transcription factor	UP REGULATED GENES
789_at	early growth response 1	transcription factor	UP REGULATED GENES
32583_at	v-jun avian sarcoma virus 17 oncogene homolog	transcription factor	UP REGULATED GENES
35309_at	suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)	serine type peptidase	UP REGULATED GENES
1612_s_at	jun D proto-oncogene	transcription factor	UP REGULATED GENES
1895_at	v-jun avian sarcoma virus 17 oncogene homolog	transcription factor	UP REGULATED GENES
41858_at	FGF receptor activating protein 1	tumor suppressor	UP REGULATED GENES
402_s_at	intercellular adhesion molecule 3	ligand, cell adhesion	UP REGULATED GENES
32786_at	jun B proto-oncogene	transcription factor	UP REGULATED GENES
1804_at	kallikrein 3, (prostate specific antigen)	serine type peptidase	UP REGULATED GENES
37117_at	Rho GTPase activating protein 8		UP REGULATED GENES
32878_f_at	ESTs, Weakly similar to		UP REGULATED GENES
40049_at	death-associated protein kinase 1	calmodulin dependent protein kinase	UP REGULATED GENES
38772_at	cysteine-rich, angiogenic inducer, 61	(L) signalling for cell adhesion	UP REGULATED GENES
37831_at	KIAA0545 protein		UP REGULATED GENES
1005_at	dual specificity phosphatase 1	protein tyrosine phosphatase	UP REGULATED GENES
34769_at	fatty acid amide hydrolase	amidase	UP REGULATED GENES
37141_at	hepatocyte nuclear factor 3, alpha	transcription factor	UP REGULATED GENES
37912_at	TNF receptor-associated factor 4	DNA-binding	UP REGULATED GENES
33267_at	Homo sapiens clone 23664 and 23905 mRNA sequence		UP REGULATED GENES
36174_at	macrophage myristoylated alanine-rich C kinase substrate	(L) protein kinase C substrate	UP REGULATED GENES
40093_at	Lutheran blood group (Auberger b antigen included)	cell adhesion, transmembrane receptor	UP REGULATED GENES
40437_at	DKFZP564G2022 protein		UP REGULATED GENES
254_at	H3 histone, family 3A	(L) chromosomal proteins	UP REGULATED GENES
32174_at	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1	(L) solute transporters	UP REGULATED GENES
