Symbol	Synonyms	Fold change
Dpp4	Cd26;Dpp-4;THAM	103.13
Pdgfra	CD140a;Pdgfr-2	94.46
Enpp1	CD203c;E-NPP1;Ly-41;M6S1;NPP1;Npps;PC-1;Pca;Pca-1;Pdnp1;ttw;twy	82.04
F3	CD142;Cf-3;Cf3;TF	37.34
Tek	Cd202b;Hyk;Tie2	20.59
Vcam1	CD106;Vcam-1	20.52
Cd44	AW121933;HERMES;Ly-24;Pgp-1	15.45
Daf1	CD55;Daf-GPI;GPI-DAF	11.85
Cd151	PETA-3;SFA-1	10.71
Abhd5	1300003D03Rik;2010002J10Rik;CDS;IECN5;NCIE2	8.97
Kit	Bs;c-KIT;CD117;Fdc;Ssm;Tr-kit;W	8.47
Itgav	2610028E01Rik;CD51	6.58
Cd59a	Cd59;protectin	6.17
Cd9		6.08
Itga5	Cd49e;Fnra	4.47
Plaur	Cd87;u-PAR;uPAR	4.46
Itga3	CD49C	4.07
Cd63	ME491	3.71
Tnfrsf1a	CD120a;FPF;p55;p55-R;TNF-R;TNF-R-I;TNF-R1;TNF-R55;TNFAR;Tnfr-2;Tnfr1;TNFR60;TNFRp55	3.05
Cd24a	HSA;Ly-52	3.02
