Affymetrix probe ID	Gene ID	Gene symbol	Gene name	MSI vs. MSS
1294_at	L13852	UBE1L	ubiquitin-activating enzyme E1-like	Up
1405_i_at	M21121	CCL5	chemokine (C-C motif) ligand 5	Up
200027_at	NM_004539	NARS	asparaginyl-tRNA synthetase	Up
200628_s_at	M61715	WARS	tryptophanyl-tRNA synthetase	Up
200629_at	NM_004184	WARS	tryptophanyl-tRNA synthetase	Up
200814_at	NM_006263	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	Up
200839_s_at	NM_001908	CTSB	cathepsin B	Up
200886_s_at	NM_002629	PGAM1	phosphoglycerate mutase 1 (brain)	Up
200887_s_at	NM_007315	STAT1	signal transducer and activator of transcription 1, 91kDa	Up
200921_s_at	NM_001731	BTG1	B-cell translocation gene 1, anti-proliferative	Up
200929_at	NM_006827	TMED10	transmembrane emp24-like trafficking protein 10 (yeast)	Up
200967_at	NM_000942	PPIB	peptidylprolyl isomerase B (cyclophilin B)	Up
200968_s_at	NM_000942	PPIB	peptidylprolyl isomerase B (cyclophilin B)	Up
201010_s_at	NM_006472	TXNIP	thioredoxin interacting protein	Up
201122_x_at	BC000751	EIF5A	eukaryotic translation initiation factor 5A	Up
201123_s_at	NM_001970	EIF5A	eukaryotic translation initiation factor 5A	Up
201137_s_at	NM_002121	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	Up
201141_at	NM_002510	GPNMB	glycoprotein (transmembrane) nmb	Up
201422_at	NM_006332	IFI30	interferon, gamma-inducible protein 30	Up
201457_x_at	AF081496	BUB3	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	Up
201533_at	NM_001904	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	Up
201588_at	NM_004786	TXNL1	thioredoxin-like 1	Up
201641_at	NM_004335	BST2	bone marrow stromal cell antigen 2	Up
201649_at	NM_004223	UBE2L6	ubiquitin-conjugating enzyme E2L 6	Up
201653_at	NM_005776	CNIH	cornichon homolog (Drosophila)	Up
201761_at	NM_006636	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	Up
201762_s_at	NM_002818	PSME2	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	Up
201765_s_at	AL523158	HEXA	hexosaminidase A (alpha polypeptide)	Up
201847_at	NM_000235	LIPA	lipase A, lysosomal acid, cholesterol esterase (Wolman disease)	Up
202072_at	NM_001533	HNRNPL	heterogeneous nuclear ribonucleoprotein L	Up
202203_s_at	NM_001144	AMFR	autocrine motility factor receptor	Up
202293_at	AW168948	STAG1	stromal antigen 1	Up
202313_at	NM_002717	PPP2R2A	protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha isoform	Up
202419_at	NM_002035	FVT1	follicular lymphoma variant translocation 1	Up
202467_s_at	NM_004236	COPS2	COP9 constitutive photomorphogenic homolog subunit 2 (Arabidopsis)	Up
202478_at	NM_021643	TRIB2	tribbles homolog 2 (Drosophila)	Up
202526_at	U44378	SMAD4	SMAD family member 4	Up
202531_at	NM_002198	IRF1	interferon regulatory factor 1	Up
202589_at	NM_001071	TYMS	thymidylate synthetase	Up
202637_s_at	AI608725	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	Up
202748_at	NM_004120	GBP2	guanylate binding protein 2, interferon-inducible	Up
202825_at	NM_001151	SLC25A4	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	Up
202900_s_at	NM_002532	NUP88	nucleoporin 88kDa	Up
202953_at	NM_000491	C1QB	complement component 1, q subcomponent, B chain	Up
203024_s_at	NM_020199	C5orf15	chromosome 5 open reading frame 15	Up
203076_s_at	U65019	SMAD2	SMAD family member 2	Up
203172_at	NM_004860	FXR2	fragile X mental retardation, autosomal homolog 2	Up
203320_at	NM_005475	SH2B3	SH2B adaptor protein 3	Up
203344_s_at	NM_002894	RBBP8	retinoblastoma binding protein 8	Up
203349_s_at	NM_004454	ETV5	ets variant gene 5 (ets-related molecule)	Up
203409_at	NM_000107	DDB2	damage-specific DNA binding protein 2, 48kDa	Up
203416_at	NM_000560	CD53	CD53 molecule	Up
203420_at	NM_016255	FAM8A1	family with sequence similarity 8, member A1	Up
203471_s_at	NM_002664	PLEK	pleckstrin	Up
203476_at	NM_006670	TPBG	trophoblast glycoprotein	Up
203596_s_at	NM_012420	IFIT5	interferon-induced protein with tetratricopeptide repeats 5	Up
203610_s_at	AI363270	TRIM38	tripartite motif-containing 38	Up
203645_s_at	NM_004244	CD163	CD163 molecule	Up
203778_at	NM_005908	MANBA	mannosidase, beta A, lysosomal	Up
203820_s_at	NM_006547	IGF2BP3	insulin-like growth factor 2 mRNA binding protein 3	Up
203845_at	AV727449	PCAF	p300/CBP-associated factor	Up
203915_at	NM_002416	CXCL9	chemokine (C-X-C motif) ligand 9	Up
203932_at	NM_002118	HLA-DMB	major histocompatibility complex, class II, DM beta	Up
203964_at	NM_004688	NMI	N-myc (and STAT) interactor	Up
203988_s_at	NM_004480	FUT8	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)	Up
