rank	Probe set	Gene symbol	Overexpressed in subtype
1	204667_at	FOXA1	luminal
2	212956_at	KIAA0882	luminal
3	209602_s_at	GATA3	luminal
4	209173_at	AGR2	luminal
5	200670_at	XBP1	luminal
6	214164_x_at	CA12	luminal
7	202089_s_at	SLC39A6	luminal
8	218211_s_at	MLPH	luminal
9	215108_x_at	TNRC9	erbb2+
10	215867_x_at	AP1G1	luminal
11	205471_s_at	DACH1	luminal
12	55616_at	PERLD1	erbb2+
13	216836_s_at	ERBB2	erbb2+
14	220192_x_at	SPDEF	erbb2+
15	218976_at	DNAJC12	luminal
16	204623_at	TFF3	erbb2+
17	205862_at	GREB1	luminal
18	201596_x_at	KRT18	erbb2+
19	220559_at	EN1	basal-like
20	203628_at	IGF1R	luminal
21	219197_s_at	SCUBE2	luminal
22	210761_s_at	GRB7	erbb2+
23	218195_at	C6orf211	luminal
24	212771_at	C10orf38	basal-like
25	203685_at	BCL2	luminal
26	210933_s_at	MGC4655	basal-like
27	201754_at	COX6C	luminal
28	200811_at	CIRBP	luminal
29	218532_s_at	FLJ20152	luminal
30	205044_at	GABRP	basal-like
31	221874_at	KIAA1324	luminal
32	205081_at	CRIP1	luminal
33	203929_s_at	MAPT	luminal
34	212099_at	RHOB	luminal
35	205355_at	ACADSB	luminal
36	213627_at	MAGED2	luminal
37	212190_at	SERPINE2	basal-like
38	217838_s_at	EVL	luminal
39	212148_at	PBX1	luminal
40	209191_at	MGC4083	basal-like
41	212638_s_at	WWP1	luminal
42	214440_at	NAT1	luminal
43	209842_at	SOX10	basal-like
44	201387_s_at	UCHL1	basal-like
45	204686_at	IRS1	luminal
46	209681_at	SLC19A2	luminal
47	209696_at	FBP1	luminal
48	206391_at	RARRES1	basal-like
49	205696_s_at	GFRA1	luminal
50	214858_at	Clone 24566 mRNA sequence	erbb2+
51	218309_at	CaMKIINalpha	luminal
52	203571_s_at	C10orf116	luminal
53	210652_s_at	C1orf34	luminal
54	209800_at	KRT16	basal-like
55	205597_at	C6orf29	erbb2+
56	212446_s_at	LASS6	luminal
57	203438_at	STC2	luminal
58	201215_at	PLS3	basal-like
59	213712_at	ELOVL2	luminal
60	217979_at	TM4SF13	luminal
61	209283_at	CRYAB	basal-like
62	221024_s_at	SLC2A10	erbb2+
63	218086_at	NPDC1	luminal
64	212195_at	MRNA; cDNA DKFZp564F053 (from clone DKFZp564F053)	luminal
65	204862_s_at	NME3	luminal
66	215729_s_at	VGLL1	basal-like
67	203757_s_at	CEACAM6	erbb2+
68	208617_s_at	PTP4A2	luminal
69	218807_at	VAV3	luminal
70	218259_at	MRTF-B	luminal
71	216381_x_at	AKR7A2	luminal
72	205440_s_at	NPY1R	luminal
73	215945_s_at	TRIM2	basal-like
74	41660_at	CELSR1	luminal
75	219913_s_at	CRNKL1	luminal
76	203773_x_at	BLVRA	erbb2+
77	205186_at	DNALI1	luminal
78	218094_s_at	C20orf35	luminal
79	220425_x_at	ROPN1	basal-like
80	40093_at	LU	luminal
81	221823_at	LOC90355	luminal
82	214800_x_at	BTF3	luminal
83	203256_at	CDH3	basal-like
84	213060_s_at	CHI3L2	basal-like
85	212209_at	THRAP2	luminal
86	214053_at	CDNA FLJ44318 fis, clone TRACH3000780	luminal
87	213564_x_at	LDHB	basal-like
88	204259_at	MMP7	basal-like
89	203988_s_at	FUT8	luminal
90	200600_at	MSN	basal-like
91	202035_s_at	SFRP1	basal-like
92	203453_at	SCNN1A	erbb2+
93	209644_x_at	CDKN2A	basal-like
94	220624_s_at	ELF5	basal-like
95	209623_at	MCCC2	luminal
96	201820_at	KRT5	basal-like
97	204304_s_at	PROM1	basal-like
98	220432_s_at	CYP39A1	basal-like
