probe set	fold change	gene	P value
93563_s_at	9.18	nidogen 2 (Nid2)	0.000024
102906_at	6.8	T-cell specific GTPase	0.000038
103721_at	5.51	nephronectin (Npnt)	0.000054
92731_at	11.99	pentaxin related gene (Ptx3)	0.000086
101110_at	4.24	procollagen, type VI, alpha 3 (Col6a3)	0.000032
93956_at	8.45	interferon-induced protein with tetratricopeptide repeats 3 (Ifit3)	0.000012
96764_at	6.21	interferon-inducible GTPase (ligp-pending)	0.000002
99152_at	4.09	fibromodulin (Fmod)	0.000026
100981_at	4.68	interferon-induced protein with tetratricopeptide repeats 1	0.000027
98579_at	5.13	early growth response (1 Egr1)	0.000066
104647_at	4.94	prostaglandin-endoperoxide synthase 2 (Ptgs2/COX2)	0.000002
93858_at	5.27	chemokine (C-X-C motif) ligand 10 (Cxcl10)	0.000005
92558_at	4.21	vascular cell adhesion molecule 1 (Vcam1)	0.000034
99435_at	31.53	fibroblast growth factor 7 (Fgf7)	0.000009
97474_r_at	-5.48	pleiotrophin (Ptn)	0.010895
103422_at	-4.72	CD1d1 antigen	0.007694
101948_at	-5.81	laminin B1 subunit 1 (Lamb1s1)	0.00116
98772_at	-27.15	chemokine (C-X-C motif) ligand 5	0.000001
93503_at	-8.17	secreted frizzled-related sequence protein 2 (Sfrp2)	0.000065
95348_at	-7.59	chemokine (C-X-C motif) ligand 1 (Cxcl1)	0.000164
