Gene Symbol	Gene Name	Fold Change	Function	Rescue in %
NQO2	NAD(P)H dehydrogenase, quinone 2	1.9	Electron transport	58; 47
NK4	Natural killer cell transcript 4	ind.	Cell adhesion	57; 12
RBKS	Ribokinase	6.7	Metabolism	57; -2
LRP2	Low-density lipoprotein-related protein 2	1.8	Metabolism	56; 48
PPP1R1A	Protein phosphatase 1, regulatory (inhibitor) subunit 1A	11.4	Metabolism	50; 49
HPGD	Hydroxyprostaglandin dehydrogenase 15-(NAD)	2.4	Metabolism	48; 39
OGG1	8-Oxoguanine DNA glycosylase	4.2	Metabolism	42; 25
JUP	Junction plakoglobin	2.1	Cell adhesion	41; 25
NINJ1	Ninjurin 1	2.8	Cell adhesion	35; 9
ITGB4BP	Integrin beta 4 binding protein	2	Protein biosynthesis	28; 27
PKP2	Plakophilin 2	3.4	Cell adhesion	25; 2
GCHFR	GTP cyclohydrolase I feedback regulator	3.3	Metabolism	24; -42
TM4SF5	Transmembrane 4 L six family member 5	22.8	Glycosylation	23; 0
MPP1	Membrane protein, palmitoylated 1, 55 kDa	1.9	Signal transduction	16; 6
ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	3.5	Transport	13; -20
COL21A1	Collagen, type XXI, alpha1	2.7	Cell adhesion	12; -57
ATP7B	ATPase, Cu2q transporting, beta polypeptide (Wilson disease)	2.1	Transport	11; -36
MTM1	Myotubularin 1	2.3	Development	6; -22
ACY1	Aminoacylase 1	4.2	Metabolism	-9; -85
UGDH	UDP-glucose dehydrogenase	1.9	Metabolism	-29; -63
AKAP1	A kinase (PRKA) anchor protein 1	2.2	RNA binding	-39; -198
AGXT2L1	Alanine-glyoxylate aminotransferase 2-like 1	4.5	Metabolism	-69; -240
CFI	I factor (complement)	22.5	Immune response	-83; -203
