Name of the gene	Gene location	Accession number	Fold difference
Leukemia associated gene1	A 01i	Y15227	+2.9
MYC proto-oncogene (c-Myc)	A03c	V00568	+2.5
C-Myc binding protein MM-1	A03g	D89667	+1.9
Cyclin-dependent kinase-2	A03j	M68520	+3.4
Transforming growth factor ß-3 (TGF-ß3)	A046	J03241	+1.8
Cell division protein kinase-4 (CDK4)	A04j	M14505	+1.9
Cyclic B1, G2/mitotic-specific	A05i	M25753	+5.3
Prohibitin	A06b	S85655	+1.9
N-Myc proto-oncogene	A06c	M13228	+3.1
Cell cycle progression restoration 2 protein (CPR2)	A06m	AF011792	+1.9
C-MYC transcription factor PuF (PuF)	A09b	L16785	+2.7
CDC28 protein kinase 2	A11k	X54942	+2
Putative serine/threonine-protein kinase p78	A13b	M80359	+2
Proto-oncogene RhoA, multidrug resistance protein	A13e	L25080	+2
STE-20 related kinase DCHT	B04e	AF017635	+2.7
TSC-22 (TGF-B1 induced transcript 4)	C11m	U35048	+2.3
Guanine nucleotide-binding protein G(1) (NBP)	D01a	M17219	+8.4
High-mobility group protein 2	D07b	X62534	+2.2
Gluthione-S-transferase homolog	D09m	U90313	+2
Semaphorin (CD100)	D10e	U60800	+2.3
Macrophage migration inhibitory factor (MIF)	E07h	M25639	+2.3
Macrophage inhibitory cytokine-1 (MIC-1)	E09e	AF019770	+2.6
Collagen type VI alpha-2	E12n	M34570	+1.9
60S ribosomal protein L10 (RPL10)	F01k	M73791	+2.7
Regulator of G-protein signaling 3	F04k	U27655	+2
Lactate dehydrogenase-A (LDH-A)	F05d	X02152	+3.2
60S ribosomal protein L32 (RPL32)	F05k	X03342	+2.8
G-rich sequence factor-1	F08i	U07231	+2.4
Splicing factor, arginine/serine-rich 7	F10i	L22253	+2.1
Ribosomal protein S21	F11k	L04483	+2.1
Ribonuclease 6	F12i	U85625	+2.2
Adenylosuccinate lyase	F14c	X65867	+2.1
40S ribosomal protein S16 (RPS16)	F14j	M60854	+1.6
Adducin 3	F141	U37122	+2.6
Prostate-specific membrane antigen (PSM)	A09g	M99487	-2.1
Cyclin H (CCNH)	A11i	U11791	-3.5
Serine/threonine protein kinase	C01d	Y10256	-4.2
NET transcription factor	C01j	Z36715	-2.1
Tumor necrosis factor receptor-2	C03a	M32315	-2.3
TGF-B superfamily receptor type 1 ALK-1	D07i	L17075	-2
Teratocarcinoma-derived growth factor	E05c	M96956	-2.3
Interleukin-10	E14f	M57627	-2.4
