Symbol	UniGene	GenBank	Gene description	Cluster d	Function
MYH11	Hs.78344	AF001548	Myosin, heavy polypeptide 11, smooth muscle	4	Cell communication, adhesion or motlity
ITGB4BP	Hs.5215	AF047433	Integrin beta 4 binding protein	7	Cell communication, adhesion or motlity
TMSB10	Hs.76293	AI679377	Thymosin, beta 10	3	Cell communication, adhesion or motlity
MUC1	Hs.89603	AI922289	Mucin 1, transmembrane	2	Cell communication, adhesion or motlity
TPBG	Hs.82128	AJ012159	Trophoblast glycoprotein	7	Cell communication, adhesion or motlity
PGM5	Hs.167473	L40933	Phosphoglucomutase 5	2	Cell communication, adhesion or motlity
TUBG1	Hs.21635	M61764	Tubulin, gamma 1	7	Cell communication, adhesion or motlity
ACTG1	Hs.14376	X04098	Actin, gamma 1	5	Cell communication, adhesion or motlity
ACTN1	Hs.119000	X15804	Actinin, alpha 1	5	Cell communication, adhesion or motlity
SKB1	Hs.12912	AA152011	SKB1 homolog (S. pombe)	7	Cell cycle
CCNG2	Hs.79069	AI271688	Cyclin G2	1	Cell cycle
D123	Hs.82043	U27112	D123 gene product	8	Cell cycle
BAG1	Hs.41714	AF022224	BCL2-associated athanogene	3	Cell death
HSPA9B	Hs.3069	L15189	Heat shock 70 kDa protein 9B (mortalin-2)	6	Cell death
ACLY	Hs.174140	X64330	ATP citrate lyase	8	Citrate metabolism
RPA3	Hs.1608	AA461254	Replication protein A3 (14 kDa)	8	DNA replication and repair
TSN	Hs.75066	X78627	Translin	7	DNA replication and repair
UNG	Hs.78853	Y09008	Uracil-DNA glycosylase	7	DNA replication and repair
ATP5G3	Hs.429	U09813	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3	7	Electron transport and oxidative phosphorylation
ATP5L	Hs.107476	W94335	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g	8	Electron transport and oxidative phosphorylation
PKM2	Hs.198281	AW007619	Pyruvate kinase, muscle	8	Glycid metabolism
PGAM1	Hs.181013	J04173	Phosphoglycerate mutase 1 (brain)	6	Glycid metabolism
SORD	Hs.878	U07361	Sorbitol dehydrogenase	8	Glycid metabolism
TPI1	Hs.83848	X69723	Triosephosphate isomerase 1	7	Glycid metabolism
PTDSS1	Hs.77329	D14694	Phosphatidylserine synthase 1	7	Lipid metabolism
CPT2	Hs.274336	U09648	Carnitine palmitoyltransferase II	3	Lipid metabolism
SNRPB	Hs.83753	AA313910	Small nuclear ribonucleoprotein polypeptides B and B1	8	mRNA processing
HNRPR	Hs.15265	AF000364	Heterogeneous nuclear ribonucleoprotein R	7	mRNA processing
SNRPE	Hs.334612	F20803	Small nuclear ribonucleoprotein polypeptide E	8	mRNA processing
MST4	Hs.23643	AA191319	Mst3 and SOK1-related kinase	6	Other enzymes
GOT2	Hs.170197	M22632	Glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)	7	Other enzymes
SHMT2	Hs.75069	U23143	Serine hydroxymethyltransferase 2 (mitochondrial)	7	Other enzymes
SERPINB6	Hs.41072	S69272	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6	7	Protease inhibitors
SERPINA5	Hs.76353	U35464	Serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5	7	Protease inhibitors
EIF2S1	Hs.151777	AA306546	Eukaryotic translation initiation factor 2, subunit 1 (alpha, 35 kDa)	7	Protein biosynthesis
EIF4A1	Hs.129673	AI755111	Eukaryotic translation initiation factor 4A, isoform 1	8	Protein biosynthesis
PSMD8	Hs.78466	AI769251	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	8	Protein degradation
CCT3	Hs.1708	AI246667	Chaperonin containing TCP1, subunit 3 (gamma)	8	Protein folding
HSP70-1	Hs.8997	M59828	Human MHC class III HSP70-1 gene (HLA), complete cds	5	Protein folding
FKBP5	Hs.7557	U71321	FK506 binding protein 5	7	Protein folding
TRA1	Hs.82689	X15187	Tumor rejection antigen (gp96) 1	8	Protein folding
PMSCL2	Hs.75584	X66113	Polymyositis/scleroderma autoantigen 2 (100 kDa)	7	Protein kinase
