Gene	Gene name	Function
MPZ	myelin protein zero	Cell Differentiation
PRX	periaxin	Cell Differentiation
BRAG	B-cell RAG-associated gene	Cell Differentiation
INHBA	inhibin, beta A	Cell Differentiation
BRAG	B-cell RAG-associated gene	Cell Differentiation
CD2	CD2 antigen (T-lymphosyte surface CD2 antigen)	Cell Differentiation
CD86	CD86 antigen	Cell Differentiation
INHBA	inhibin, beta A	Cell Differentiation
CD1D	thymocyte antigen CD1D	Cell Differentiation
CSF1	colony stimulating factor 1	Cell Differentiation
ED1	ectodermal dysplasia 1	Cell Differentiation
IFRD2	interferon-related developmental regulator 2	Cell Differentiation
NEUROG1	neurogenin 1	Cell Differentiation
OKL38	pregnancy-induced growth inhibitor OKL38	Cell Differentiation
SMURF1	E3 ubiquitin ligase (SMAD Ubiquitination regulation factor 1)	Cell Differentiation
TFIP11	tuftelin interacting protein 11	Cell Differentiation
ZNF3	zinc finger protein 3	Cell Differentiation
POU4F1	POU domain, class 4, transcription factor 1	ECM biogenesis and organization
BAX	BCL2-associated X protein	Cell death (Apoptosis)
BCL2L1	BCL2-like 1	Cell death (Apoptosis)
BIRC7	baculoviral IAP repeat-containing 7 (livin)	Cell death (Apoptosis)
DFFB	DNA fragm. factor 40kDa, b polypeptide (caspase act. DNAse)	Cell death (Apoptosis)
BIRC7	baculoviral IAP repeat-containing 7 (livin)	Cell death (Apoptosis)
BAD	BCL2-antagonist of cell death	Cell death (Apoptosis)
ITGB2	integrin, beta 2	Cell death (Apoptosis)
APAK1	p21/CDC42/Rac1-activated kinase 1	Cell death (Apoptosis)
RAI	RELA-associated inhibitor	Cell death (Apoptosis)
TRAF5	TNF receptor-associated factor 5	Cell death (Apoptosis)
TRB3	tribbles homolog 3	Cell death (Apoptosis)
BAX	BCL2-associated X protein	Negative regulation of apoptosis
BCL2L1	BCL2-like 1	Negative regulation of apoptosis
BIRC7	baculoviral IAP repeat-containing 7 (livin)	Negative regulation of apoptosis
MAPK8IP2	mitogen activated kinase 8 interacting protein 2	Negative regulation of apoptosis
PRLR	prolactin receptor	Negative regulation of apoptosis
SPHK2	sphingosine kinase 2	Negative regulation of apoptosis
TNFRSF6B	tumor necrosis factor receptor superfamily, member 6b	Negative regulation of apoptosis
