Gene symbol	Description	Putative function	Reported in other studies in relation to Ovarian cancer	Reported in other studies in relation to Other type of cancer	over/underexpressed
NPEPPS	Aminopeptidase puromycin sensitive	Aminopeptidase with broad substrate specificity to several peptides. Involved in proteolytic events essential for cell growth and viability.	No	No	Overexpressed genes3
UGTREL1	UDP-galactose transporter related	Function unknown	No	No	Overexpressed genes3
RPA1 4	Replication protein A1(70 kDa)	Single-stranded DNA-binding protein, has roles in DNA replication, repair and recombination.	No	No	Overexpressed genes3
PFN1	Profilin 1	Regulates actin polymerization in response to extracellular signals.	No	Yes	Overexpressed genes3
SLC25A11	Solute carrier family 25 (mitochondrial carrier, oxoglutarate carrier). Member 11	Catalyzes the transport of 2-oxoglutarate across the inner mitochondrial membrane in an electroneutral exchange for malate or other dicarboxylic acids.	No	No	Overexpressed genes3
NUP88	Nucleoporin 88 kDa	Nuclear pore complex component implicated in transport.	Yes	Yes	Overexpressed genes3
GPS2	G protein pathway suppressor 2	Suppresses g-protein- and mitogen-activated protein kinase-mediated signal transduction.	No	Yes	Overexpressed genes3
E2-EPF 4	Ubiquitin carrier protein	Family member of enzymes known as ubiquitin carrier proteins, or E2s, which are an essential component of the ubiquitin–protein conjugation system.	No	No	Overexpressed genes3
MAC30 4	MAC30 hypothetical protein	Function unknown.	No	No	Overexpressed genes3
TOP2A 4	Topoisomerase (DNA) II alpha (170 kDa)	Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks.	Yes	Yes	Overexpressed genes3
BLMH	Bleomycin hydrolase	The normal physiological role of blm hydrolase is unknown, but it catalyzes the inactivation of the antitumour drug blm (a glycopeptide) by hydrolyzing the carboxamide bond of its b-aminoalaninamide moiety thus protecting normal and malignant cells from blm toxicity.	No	No	Overexpressed genes3
CDC6	CDC6 cell division cycle 6 homolog (Saccharomyces cerevisiae)	Regulator at the early steps of DNA replication.	No	No	Overexpressed genes3
UBTF 4	Upstream binding transcription factor, RNA polymerase 1	Recognizes the ribosomal RNA gene promoter and activates transcription mediated by RNA polymerase 1 through cooperative interactions with the species-specific factor S11.	No	No	Overexpressed genes3
NMT1	N-myristoyltransferase 1	Adds myristoyl group to N-terminal glycine residue of certain cellular and viral proteins.	No	No	Overexpressed genes3
