Nr	Gene Symbol	Gene Name	Description	LocusLink-ID
1	ADD1	ADDA/MGC3339/MGC44427	adducin 1 (alpha)	118
2	ADM	AM	adrenomedulllin	133
3	AGPAT2	1-AGPAT2/BSCL	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltrasferase, beta)	10555
4	AGTPBP1	DKFZp686M20191/NNA1	ATP/GTP binding protein 1	23287
5	ANGPTL4	ANGPTL2/ARP4	Angiopoietin-like 4	51129
6	ARD1A	ARD1/DXS707	ARD1 homologA, N-acetyltransferase (S.cerevisiae)	8260
7	ARNT2	KIAA0307	aryl-hydrocarbon receptor nuclear translocator 2	9915
8	AZU1	AZAMP/AZU	azurocidin 1 (cationic antimicrobial protein 37)	566
9	BAX	Bax zeta	BCL2-associated X protein	581
10	BCL2	Bcl-2	B-cell CLL/lymphoma 2	596
11	BHLHB2	DEC1/SHARP-2/STRA13/STRA14	basic helix-loop-helix domain containing, class B, 2	8553
12	BIRC5	APIA/ERP-1	baculoviral IAP repeat-containing 5 (survivin)	332
13	CA1	CA1	carbonic anhydrase I	759
14	CA12	CAXII/HsT18816	carbonic anhydrase XII	771
15	CA9	MN	carbonic anhydrase IX	768
16	CAMK2G	CAMK/CAMK-II	calcium/calmodulin-dependent protein kinase (CaM Kinase) II gamma	818
17	CASP1	ICE/IL1BC	caspase1, apoptosis-related cystein peptidase (interleukin 1, beta, convertase)	834
18	CAT	MGC138422	catalase	847
19	CDC42	CDC42Hs/G25K	cell division cycle 42 (GTP binding protein, 25kDA)	998
20	CHGA	CGA	chromogranin A (parathyroid secretory protein 1)	1113
21	COL1A1	OI4/aa 694-711	collagen, type1, alpha	1277
22	CREBBP	CBP/RSTS	CREB binding protein (Rubistein-Taybi syndrome)	1387
23	CSTB	CST6/EPM11	cystatin B (stefin B)	1476
24	CTGF	CCN2/IGFBP8	connective tissue growth factor	1490
25	CYGB	HGB/STAP	cytoglobin	114757
26	DAPK3	ZIP/ZIPK	death-associated protein kinase 3	1613
27	DCTN2	DCTN50/DYNAMITIN	dynactin 2 (p50)	10540
28	DNAJB1	HSPF1/Hsp40	DnaJ (Hsp40) homolog, subfamily B, member 1	3337
29	DR1	NC2/NC2-BETA	down-regulator of transcription 1, TBP-binding (negative cofactor 2)	1810
30	ECE1	ECE	endothelin converting enzyme 1	1889
31	EEF1A1	EEF-1/EEF1A	eukaryotic translation elongation factor 1 alpha 1	1915
32	EGFR	ERBB/ERBB1	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b oncogene homolog, avian)	1956
33	EGLN2	DKFZp434E026/EIT6	egl nin homolog 2 (C.elegans)	112398
34	ENO1	ENO1L1/MBP-1	enolase 1, (alpha)	2023
35	EP300	p300	E1A binding protein p300	2033
36	EPAS1	HIF2A/HLF	endothelial PAS domain protein 1; Hif-1alpha-like factor	2034
37	EPO	EP	erythropoietin	2056
38	FOS	c-fos	v-fos FBJ murine osteosarcoma viral oncogene homolog	2353
39	GAP43	B-50/PP46	growth associated protein 43	2596
40	GNA11	GNA-11	guanine binding protein (G protein), alpha 11 (Gq class)	2767
