Ac.NUM.	Leydigvs.Serous	Leydigvs.Normal	Gene	Gene function
AA464569	0.23	0.21	76P	gamma tubulin ring complex protein (76p gene)
AA775447	2.06	3.16	A2M	alpha-2-macroglobulin
AA045320	0.47	0.49	AADAC	arylacetamide deacetylase (esterase)
AA156571	2.08	2.05	AARS	alanyl-tRNA synthetase
R91503	6.17	7.71	ABCC2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2
AA429895	2.17	2.14	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3
R42714	2.08	2.19	ABHD4	abhydrolase domain containing 4
AI084206	2.34	2.25	ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1
N99003	0.48	0.47	ABR	active BCR-related gene
H75862	2.92	3.68	ACIN1	apoptotic chromatin condensation inducer 1
AA136054	2.3	2.07	ACLY	ATP citrate lyase
H08548	2.59	2.6	ACLY	ATP citrate lyase
H65660	2.71	3.75	ACOX1	acyl-Coenzyme A oxidase 1, palmitoyl
R08817	0.43	0.19	ACP5	acid phosphatase 5, tartrate resistant
H29215	2.69	3.56	ACSL3	acyl-CoA synthetase long-chain family member 3
AA634006	0.49	0.11	ACTA2	actin, alpha 2, smooth muscle, aorta
AA669042	2	2.1	ACTN1	actinin, alpha 1
AA196000	2.01	2.7	ACTN3	actinin, alpha 3
W61303	2.36	3.22	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)
AA463453	0.39	0.42	ACTR6	ARP6 actin-related protein 6 homolog (yeast)
R76553;R76276	0.49	0.49	ADAMTS1	a disintegrin-like and metalloprotease (reprolysin type) withthrombospondin type 1 motif, 1
AI001010	0.42	0.26	ADAMTS7	a disintegrin-like and metalloprotease (reprolysin type) withthrombospondin type 1 motif, 7
N74014	0.34	0.2	ADCK4	aarF domain containing kinase 4
AI147721	3.78	3.63	ADCY3	adenylate cyclase 3
AA700054	4.2	4.78	ADFP	adipose differentiation-related protein
H21045	2.03	2.01	ADORA1	adenosine A1 receptor
R60193	0.41	0.42	AF5Q31	ALL1 fused gene from 5q31
AA025630	2.32	4.22	AF5Q31	ALL1 fused gene from 5q31
T59043	3.82	5.89	AFP	alpha-fetoprotein
H64380	5.53	7.1	AGT	angiotensin
N57872	3.48	3.8	AGXT	alanine-glyoxylate aminotransferase (oxalosis I; hyperoxaluria I;glycolicaciduria; serine-pyruvate aminotransferase)
N73807	3.19	6.82	AK3L1	adenylate kinase 3 like 1
H70554	2.19	2.38	AKR1C1	Aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)
R93124	6.78	11.02	AKR1C1	Aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)
AA916325	5.71	5.28	AKR1C3	Aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)
W72696	3.27	3.27	AKT1	v-akt murine thymoma viral oncogene homolog 1
H11346	2.75	3.29	ALDH4A1	aldehyde dehydrogenase 4 family, member A1
H06676	2.42	2.07	ALDH5A1	aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehydedehydrogenase)
R46816	0.17	0.22	ALDH9A1	aldehyde dehydrogenase 9 family, member A1
AA775241	3.39	2.07	ALDOA	aldolase A, fructose-bisphosphate
AA436201	0.45	0.37	ALS2CR19	amyotrophic lateral sclerosis 2 (juvenile) chromosome region,candidate 19
AA150183	0.27	0.19	ALS2CR3	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 3
AA425782	0.49	0.4	ANKRD12	ankyrin repeat domain 12
AA464605	2.95	2.76	ANKRD15	ankyrin repeat domain 15
AA598515;AI732131	2.21	2.62	ANKRD17	ankyrin repeat domain 17
R59489	0.47	0.45	ANKRD6	ankyrin repeat domain 6
N68497	2.41	3	ANKRD6	ankyrin repeat domain 6
N22435	2.09	2.7	ANKS1	ankyrin repeat and sterile alpha motif domain containing 1
AA774678	0.47	0.44	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E
H58645	0.47	0.19	ANTXR1	anthrax toxin receptor 1
H63077	0.13	0.18	ANXA1	annexin A1
R91396	0.29	0.18	ANXA10	annexin A10
AA464982	0.22	0.22	ANXA11	annexin A11
AA419015	2.03	2.17	ANXA4	annexin A4
AA451895	3.37	4.9	ANXA5	annexin A5
AA036975	2.01	2.16	AOC3	amine oxidase, copper containing 3 (vascular adhesion protein 1)
N78621	0.49	0.35	AP1G1	adaptor-related protein complex 1, gamma 1 subunit
AA436479	2.59	2.68	APBB1IP	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein
AA478273	2.55	2.27	APEX1	APEX nuclease (multifunctional DNA repair enzyme)
H89517	2.32	3.41	APLP2	amyloid beta (A4) precursor-like protein 2
R97710	3.22	7.57	APOA1	apolipoprotein A-I
H93332	3.6	33.23	APOB	apolipoprotein B (including Ag(x) antigen)
H57779	6.19	39.58	APOB	apolipoprotein B (including Ag(x) antigen)
AA454580	3.71	5.27	APOC2	apolipoprotein C-II
H68848	8.85	13.04	APOH	apolipoprotein H (beta-2-glycoprotein I)
N74679	2.42	2.17	APOM	apolipoprotein M
W42849	2.77	3.3	APP	amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease),
AA012867	0.23	0.25	ARF6	ADP-ribosylation factor 6
N72274	2.06	2.14	ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldinA-inhibited)
N34053	2.33	2.57	ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldinA-inhibited)
AA454021	0.45	0.22	ARHGAP21	Rho GTPase activating protein 21, 251
W86145	2.35	2.38	ARHGAP5	Rho GTPase activating protein 5, 245
W19329	2.9	5.06	ARHGAP8	Rho GTPase activating protein 8, 267
AA481277	2.4	8.36	ARHGEF1	Rho guanine nucleotide exchange factor (GEF) 1
AA911252	3.16	3.03	ARHGEF7	Rho guanine nucleotide exchange factor (GEF) 7
AA128328	2.57	2.35	ARID4A	AT rich interactive domain 4A (RBP1-like)
AA644693	0.39	0.38	ARIH2	ariadne homolog 2 (Drosophila)
T67552	0.28	0.17	ARNT	aryl hydrocarbon receptor nuclear translocator
AA915980	0.47	0.36	ARPC3	actin related protein 2/3 complex, subunit 3, 21kDa
AA865878	0.39	0.25	ARPC4	actin related protein 2/3 complex, subunit 4, 20kDa
AA426561	5.34	5.54	ARPP21	cyclic AMP-regulated phosphoprotein, 21 kD
AA664155	2.79	2.91	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1
R98050	4.88	8.77	ASGR2	asialoglycoprotein receptor 2
AA676405	0.2	0.21	ASS	argininosuccinate synthetase
R26681	0.46	0.35	ASXL2	additional sex combs like 2 (Drosophila)
N74161	3.05	3.19	ATP11A	ATPase, Class VI, type 11A
AA232249	0.35	0.32	ATP11B	ATPase, Class VI, type 11B
AA598814	3.98	4.03	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide
AA780676	0.47	0.42	ATP1B4	ATPase, (Na+)/K+ transporting, beta 4 polypeptide
AA490010	0.38	0.45	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4
AA700688	0.47	0.37	ATP5E	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit
