Symbol	Name	Median ratio	Locus link ID
MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	5.1	4085
CDC2	Cell division cycle 2, G1 to S and G2 to M	4.5	983
CKS1B	CDC28 protein kinase regulatory sub-unit 1B	3.82	1163
HMMR	Hyaluronan-mediated motility receptor (RHAMM)	3.71	3161
SERPINE2	Serpin peptidase inhibitor, clade E	3.58	5270
CENPF	Centromere protein F, 350/400 ka (mitosin)	3.48	1063
CCDC5	Coiled-coil domain containing 5 (spindle associated)	3.44	115106
RFC3	Replication factor C (activator 1) 3, 38 kDa	3.36	5983
FEN1	Flap structure-specific endonuclease 1	3.15	2237
ACSL4	Acyl-CoA synthetase long-chain family member 4	3.11	2182
TOP2A	Topoisomerase (DNA) II alpha 170 kDa	3.09	7153
ITGA2	Integrin, alpha 2 (CD49B, alpha 2 sub-unit of VLA-2 receptor)	3.04	3673
CTNNAL1	Catenin (cadherin-associated protein), alpha-like 1	3	8727
KIAA0247	KIAA0247	3	9766
ARL4C	ADP-ribosylation factor-like 4C	2.97	10123
GJA1	Gap junction protein, alpha 1, 43 kDa (connexin 43)	2.96	2697
PRC1	Protein regulator of cytokinesis 1	2.92	9055
C9orf25	Chromosome 9 open reading frame 25	2.91	203259
RAD51	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	2.87	5888
DCBLD2	Discoidin, CUB, and LCCL domain containing 2	2.85	131566
VEGFC	Vascular endothelial growth factor C	2.84	7424
CAV1	Caveolin 1, caveolae protein, 22 kDa	2.82	857
ODC1	Ornithine decarboxylase 1	2.74	4953
RAB32	RAB32, member RAS oncogene family	2.73	10981
ARG2	Arginase, type II	2.69	384
FAM54A	Family with sequence similarity 54, member A	2.67	113115
PSIP1	PC4 and SFRS1 interacting protein 1	2.65	11168
CENPE	Centromere protein E, 312 kDa	2.61	1062
TPMT	Thiopurine S-methyltransferase	2.6	7172
IFI16	Interferon, gamma-inducible protein 16	2.59	3428
HPRT1	Hypoxanthine phosphoribosyltransferase 1 (Lesch–Nyhan syndrome)	2.57	3251
CCNA2	Cyclin A2	2.56	890
OAT	Ornithine aminotransferase (gyrate atrophy)	2.54	4942
SLC39A6	Solute carrier family 39 (zinc transporter), member 6	2.52	25800
SGCB	Sarcoglycan, beta (43 kDa dystrophin-associated glycoprotein)	2.51	6443
GBL	G protein beta sub-unit-like	2.46	64223
TRIP13	Thyroid hormone receptor interactor 13	2.44	9319
PTHLH	Parathyroid hormone-like hormone	2.42	5744
C1orf21	Chromosome 1 open reading frame 21	2.42	81563
CYR61	Cysteine-rich, angiogenic inducer, 61	2.36	3491
PCNA	Proliferating cell nuclear antigen	2.36	5111
MRPL3	Mitochondrial ribosomal protein L3	2.34	11222
SORL1	Sortilin-related receptor, L(DLR class) A repeats-containing	2.34	6653
DTL	Denticleless homolog (Drosophila)	2.33	51514
THBS1	Thrombospondin 1	2.32	7057
FGD6	FYVE, RhoGEF, and PH domain containing 6	2.32	55785
MTHFS	5,10-methenyltetrahydrofolate synthetase	2.31	10588
UBE2T	Ubiquitin-conjugating enzyme E2T (putative)	2.3	29089
DARS2	Aspartyl-tRNA synthetase 2 (mitochondrial)	2.3	55157
MRPL3	Mitochondrial ribosomal protein L3	2.29	11222
