Gene name	Accession no.	Symbol	Ratio (mean ± SD, or range)	Function
DNA-binding protein NEFA precursor (nucleobindin 2)1	AA485214	NUCB2	0.48 ± 0.16	Transcription factors/nuclear proteins
Amplified in breast cancer (AIB1)1	H52110	AIB1	0.59 ± 0.15	Transcription factors/nuclear proteins
Trinucleotide repeat containing 4 (CAGH4)	R53527	TNRC4	0.59 ± 0.11	Transcription factors/nuclear proteins
Pre-B cell leukemia transcription factor 11	AA403031	PBX1	0.65 ± 0.08	Transcription factors/nuclear proteins
Heat shock protein HSP90- (HSP90A)1	H88540	HSPCA	0.41 ± 0.17	Stress response: oxidative stress/xenobiotic response/detoxification
Nuclear factor, erythroid 2, like 2 (NFE2L2)	AA629687	NFE2L2	0.66 ± 0.03	Stress response: oxidative stress/xenobiotic response/detoxification
 Mitochondrial 3-oxoacyl-CoA thiolase	H07926	ACAA2	0.64 ± 0.04	Mitochondrial structure and function
Retinoblastoma-binding protein 1 (RBP1)	AA128328	RBBP1	0.60 ± 0.14	Cell cycle and DNA replication/repair/metabolism
DNA terminal deoxytransferase	AA504844	DNTT	0.64 ± 0.07	Cell cycle and DNA replication/repair/metabolism
Growth hormone-dependent insulin-like growth factor-binding protein2	AA598601	IGFBP3	0.49 ± 0.20	Signal transduction
Protein tyrosine phosphatase, nonreceptor type 3	AA682684	PTP-H1	0.50 ± 0.01	Signal transduction
Protein tyrosine phosphatase 1E (PTP1E)	AA679180	PTP1E	0.53 ± 0.03	Signal transduction
KIAA0525 (aminopeptidase PILS)	AA490894	ARTS-1	0.55 ± 0.03	Biosynthesis and metabolism
L-kynurenine hydrolase1	H87471	KYNU	0.55 ± 0.15	Biosynthesis and metabolism
Monoamine oxidase A1	AA011096	MAOA	0.56 ± 0.03	Biosynthesis and metabolism
Putative 32-kDa heart protein PHP32 (acid ceramidase 1)	AA664155	ASAH1	0.60 ± 0.13	Biosynthesis and metabolism
Kinectin 1 (kinesin receptor)1	AA459106	KTN1	0.57 ± 0.07	Ligands and receptors
Glucocorticoid receptor	AA664219	GRL	0.64 ± 0.11	Ligands and receptors
Thrombospondin 11	NM_003246	THBS1	0.35 ± 0.02	Cell adhesion/cytoskeleton/cell structure/organelles
Nuclear antigen Sp100	AA447481	SP100	0.46 ± 0.11	Cell adhesion/cytoskeleton/cell structure/organelles
Laminin, 11	H24650	LAMC1	0.65 ± 0.04	Cell adhesion/cytoskeleton/cell structure/organelles
Membrane-associated protein (HEM-1)1	AA668726	HEM1	0.62 ± 0.01	Membrane proteins/transport/ion channels
Ukatp-1 (potassion ion channel, inwardly rectifying)1	AA036956	KCNJ8	0.66 ± 0.00	Membrane proteins/transport/ion channels
Carcinoembryonic antigen precursor1	AA130584	CEA	0.50 ± 0.24	Differentiation/development/tissue-specific expression
Testis-specific basic protein Y1 (BPY1)	AA406064	BPY1	0.55 ± 0.12	Differentiation/development/tissue-specific expression
Peripheral myelin protein 221	R26960	PMP22	0.59 ± 0.06	Differentiation/development/tissue-specific expression
Pregnancy-specific ß-glycoprotein D precursor	T95747	PSBG-1	0.62 ± 0.11	Differentiation/development/tissue-specific expression
Interferon-induced 17-kDa protein (also called ISG15)	AA406020	GIP2	0.17 ± 0.03	Immune response/inflammation/antiviral responses
Interferon-induced 54-KDa protein	N63988	NA	0.18 ± 0.04	Immune response/inflammation/antiviral responses
Interferon-induced protein with tetratricopeptide repeats 1 (also called IFI56)	NM_001548	IFIT1	0.21 ± 0.03	Immune response/inflammation/antiviral responses
Nonspecific cross reacting antigen1	AA054073	NCA	0.48 ± 0.14	Immune response/inflammation/antiviral responses
Cathepsin L	W73874	CTSL	0.43 ± 0.10	RNA and protein processing/metabolism
Ubiquitin conjugating enzyme (UbcH8)1	AA292074	UBE2E2A	0.45 ± 0.30	RNA and protein processing/metabolism
Membrane-type matrix metalloproteinase 1	N33214	MT-MMP	0.68 ± 0.01	RNA and protein processing/metabolism
Dipeptidylpeptidase VI1	W96197	DPP6	0.71 ± 0.01	RNA and protein processing/metabolism
Human clone 23575 mRNA (function unknown)	H19246	NA	0.60 ± 0.02	Other: miscellaneous and unknown function
XAP-5 [DNA segment on chromosome X (unique) 9928 expressed sequence]1	AI005515	DXS9928E	0.74 ± 0.01	Other: miscellaneous and unknown function
