Gene	Function	Symbol	Probe ID	Ratio (log2)	p value (?log10)	Function
 Myeloperoxidase	antiapoptosis	MPO	203948_s_at/203949_at	0.634	10.23	Apoptosis
 Heat shock 70-kDa protein 1B	antiapoptosis	HSPA1B	202581_at	0.706	8.068	Apoptosis
 Melanoma differentiation associated protein-5	proapoptosis	MDA5	1555464_at	?0.480	8.546	Apoptosis
 B-Cell CLL/lymphoma 10	proapoptosis	BCL10	1557257_at	?0.529	10.024	Apoptosis
 Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	proapoptosis	NFKBIA IKBA	201502_s_at	?0.422	13.501	Apoptosis
 Tumor necrosis factor (ligand)						Cell adhesion/motility
 Superfamily, member 4	cell adhesion	TNFSF4	207426_s_at	0.511	8.98	Cell adhesion/motility
 Hyaluronam-mediated motility receptor (RHAMM)	cell motility	HMMR	207165_at	0.653	14.765	Cell adhesion/motility
BUB1 budding uninhibited by benzimidazoles 1 homolog beta		BUB1	203755_at	0.54	9.194	Cell cycle
 Cyclin D3		CCND3	201700_at	0.501	17.84	Cell cycle
 Cyclin E2		CCNE2 CDC2	205034_at	0.508	11.131	Cell cycle
 Cell division cycle 2		CDK1 CDCA1	203213_at	0.76	12.569	Cell cycle
 Cell division cycle associated 1		Nuf2	223381_at	0.513	10.688	Cell cycle
 CDC-like kinase 1		CLK1	210346_s_at	0.604	23.621	Cell cycle
 CDC-like kinase 4		CLK4	228751_at	0.628	18.075	Cell cycle
 Discs, large homolog 7 (Drosophila)		DLG7	203764_at	0.532	10.7	Cell cycle
 Kinesin family member 11		KIF11	204444_at	0.533	12.373	Cell cycle
 Nucleolar and spindle associated protein 1		NUSAP1	218039_at	0.611	14.945	Cell cycle
 RA-regulated nuclear matrix-associated protein		RAMP	218585_s_at	0.505	14.398	Cell cycle
 RGC32 protein		RGC32	218723_s_at	0.513	5.026	Cell cycle
 Ribonucleotide reductase M2 Polypeptide		RRM2	201890_at	0.804	12.501	Cell cycle
 Serine/threonine kinase 6		STK6	208079_s_at	0.532	16.141	Cell cycle
 Membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific)		MS4A3	210254_at	0.993	17.625	Cell cycle
 Deoxynucleotidyltransferase, termimal		DNTT	1566363_at/210487_at	0.765	10.354	Replication
 Ribonucleotide reductase M2 polypeptide		RRM2	209773_s_at	0.763	17.178	Replication
