Gene Symbol	Gene Name	Location	Comparison
CLCA2	chloride channel, calcium activated, family member 2	1p31-p22	Discrimination AC vs. rest
EFS	embryonal Fyn-associated substrate	14q11.2-q12	Discrimination AC vs. rest
FGG	fibrinogen, gamma polypeptide	4q28	Discrimination AC vs. rest
GPCR5A	G protein-coupled receptor, family C, group 5, member A	12p13-p12.3	Discrimination AC vs. rest
KRT7	keratin 7	12q12-q13	Discrimination AC vs. rest
KRT5	keratin 5 (epidermolysis bullosa simplex)	12q12-q13	Discrimination AC vs. rest
PTPRZ1	protein tyrosine phosphatase, receptor-type, Z polypeptide 1	7q31.3	Discrimination AC vs. rest
SEMA3F	sema domain, immunoglobulin domain (Ig), (semaphorin) 3F	3p21.3	Discrimination AC vs. rest
SERPINA1	serine (or cysteine) proteinase inhibitor, clade A member 1	14q32.1	Discrimination AC vs. rest
SLC39A8	solute carrier family 39 (zinc transporter), member 8	4q22-q24	Discrimination AC vs. rest
ADCY3	adenylate cyclase 3	2p24-p22	Discrimination SCC vs. rest
ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	12q21.3	Discrimination SCC vs. rest
CASK	calcium/calmodulin-dependent serine protein kinase	Xp11.4	Discrimination SCC vs. rest
CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	3q24| 7q31	Discrimination SCC vs. rest
DGKA	diacylglycerol kinase, alpha 80kDa	12q13.3	Discrimination SCC vs. rest
GOLPH2	golgi phosphoprotein 2	9q21.33	Discrimination SCC vs. rest
KIF13B	kinesin family member 13B	8p12	Discrimination SCC vs. rest
RAB17	RAB17, member RAS oncogene family	2q37.3	Discrimination SCC vs. rest
RAB40B	RAB40B, member RAS oncogene family	17q25.3	Discrimination SCC vs. rest
SCNN1A	sodium channel, nonvoltage-gated 1 alpha	12p13	Discrimination SCC vs. rest
CELSR3	cadherin, EGF LAG seven-pass G-type receptor 3	3p24.1-p21.2	Discrimination SCLC vs. rest
CTSH	cathepsin H	15q24-q25	Discrimination SCLC vs. rest
DLK1	delta-like 1 homolog (Drosophila)	14q32	Discrimination SCLC vs. rest
ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2	17q11.2-q12	Discrimination SCLC vs. rest
FANCA	Fanconi anemia, complementation group A	16q24.3	Discrimination SCLC vs. rest
ID4	inhibitor of DNA binding 4, dominant helix-loop-helix protein	6p22-p21	Discrimination SCLC vs. rest
ISL1	ISL1 transcription factor, LIM/homeodomain, (islet-1)	5q11.2	Discrimination SCLC vs. rest
POU4F1	POU domain, class 4, transcription factor 1	13q21.1-q22	Discrimination SCLC vs. rest
XYLT2	xylosyltransferase II	17q21.3-17q22	Discrimination SCLC vs. rest
ALOX15	arachidonate 15-lipoxygenase	17p13.3	Discrimination NT vs. rest
ANKMY1	ankyrin repeat and MYND domain containing 1	2q37.3	Discrimination NT vs. rest
C18orf43	chromosome 18 open reading frame 43	18p11.21	Discrimination NT vs. rest
DNAI1	dynein, axonemal, intermediate polypeptide 1	9p21-p13	Discrimination NT vs. rest
GSTA3	glutathione S-transferase A3	6p12.1	Discrimination NT vs. rest
LRRC6	leucine rich repeat containing 6	8q24.22	Discrimination NT vs. rest
MIPEP	mitochondrial intermediate peptidase	13q12	Discrimination NT vs. rest
NKX3-1	NK3 transcription factor related, locus 1 (Drosophila)	8p21	Discrimination NT vs. rest
RTDR1	rhabdoid tumor deletion region gene 1	22q11.2	Discrimination NT vs. rest
VNN3	vanin 3	6q23-q24	Discrimination NT vs. rest
