Gene name	Gene symbol	Fold Change	p-value	Function	Function
Tensin	TNS	-3,5	0,00009	Mesodermal Differentiation	CHONDROGENESIS
Hyaluronan and proteoglycan link protein 1	HAPLN1	-19,6	0,00015	Mesodermal Differentiation	CHONDROGENESIS
Large aggregating proteoglycan	AGC1	-8	0,0004	Mesodermal Differentiation	CHONDROGENESIS
Collagen, type XI, alpha 1	COL11A1	-14,7	0,0022	Mesodermal Differentiation	CHONDROGENESIS
PDZ and LIM domain 7	PDLIM7	-4,7	0,00022	Mesodermal Differentiation	OSTEOGENESIS
Tuftelin	TUFT1	-3,9	0,00081	Mesodermal Differentiation	OSTEOGENESIS
Palladin	KIAA0992	-4,4	0,0021	Mesodermal Differentiation	OSTEOGENESIS
Biglycan	BGN	-4	0,0023	Mesodermal Differentiation	OSTEOGENESIS
Gremlin 2	GREM2	-3,7	0,0032	Mesodermal Differentiation	OSTEOGENESIS
Syncoilin, intermedoiadte filament 1	SYNC1	-4,8	0,00027	Mesodermal Differentiation	MYOGENESIS
Tropomyosin 1 (alpha)	TPM1	-9,2	0,00035	Mesodermal Differentiation	MYOGENESIS
Tropomyosin 2 (beta)	TPM2	-3,4	0,00041	Mesodermal Differentiation	MYOGENESIS
Glycogen synthase 1	GYS1	-2,3	0,00045	Mesodermal Differentiation	MYOGENESIS
Caldesmon 1	CALD1	-4,6	0,00053	Mesodermal Differentiation	MYOGENESIS
Actin, alpha	ACTC	-4,2	0,00055	Mesodermal Differentiation	MYOGENESIS
Desmuslin	DMN	-4,1	0,00057	Mesodermal Differentiation	MYOGENESIS
MADS box transcription enhancer factor 2 polypeptide A	MEF2A	-2,3	0,00091	Mesodermal Differentiation	MYOGENESIS
Synaptopodin 2	SYNPO2	-43,4	0,0011	Mesodermal Differentiation	MYOGENESIS
Leiomodulin	LMOD1	-7,5	0,0176	Mesodermal Differentiation	MYOGENESIS
Myosin	MYL9	-5,4	0,0038	Mesodermal Differentiation	MYOGENESIS
Fatty acid desaturase 3	FADS3	-2,1	0,00035	Mesodermal Differentiation	ADIPOGENESIS
Monoglyceride lipase	MGLL	-3,1	0,0011	Mesodermal Differentiation	ADIPOGENESIS
Lysophospholipase-like 1	LYPLAL1	-1,6	0,0025	Mesodermal Differentiation	ADIPOGENESIS
Chondroitin sulfate proteoglycan 4	CSPG4	-2,1	0,00088	Extracellular Matrix Component	-
Microfibrillar associated protein 5	MFAP5	-30,7	0,0013	Extracellular Matrix Component	-
Extracellular matrix protein 2	ECM2	-10,7	0,0021	Extracellular Matrix Component	-
Collagen, type VIII, alpha 2	COL8A2	-3,3	0,0025	Extracellular Matrix Component	-
Hyaluronan synthase 3	HAS3	-3,8	0,0079	Extracellular Matrix Component	-
Syndecan 2	SDC2	-4	0,0088	Extracellular Matrix Component	-
Matrix remodelling associated 5	MXRA5	-15,9	0,0164	Extracellular Matrix Component	-
Tubulin, beta 6	TUBB6	-3	0,00015	Cytoskeleton	-
Tubulin, beta 2	TUBB2	-2,7	0,00027	Cytoskeleton	-
Tubulin, alpha 6	TUBA6	-1,8	0,00088	Cytoskeleton	-
Filamin A, alpha	FLNA	-3,4	0,00095	Cytoskeleton	-
Tubulin, beta	TUBB3	-2,5	0,0011	Cytoskeleton	-
Vimentin	VIM	-3,4	0,02385	Cytoskeleton	-
Cell division cycle 2, G1 to S and M	CDC2	-7,6	0,00024	Cell cycle/Proliferation	-
Fibroblast growth factor receptor 2	FGFR2	-11,2	0,0008	Cell cycle/Proliferation	-
CDC42 effector protein	CDC42EP3	-9,6	0,00097	Cell cycle/Proliferation	-
TPX microtubule-associated	TPX2	-6	0,0012	Cell cycle/Proliferation	-
S-phase response (cyclin-related)	SPHAR	-2,2	0,0017	Cell cycle/Proliferation	-
Cell cycle progression 1	CCPG1	-1,7	0,0035	Cell cycle/Proliferation	-
Cyclin A2	CCNA2	-3,9	0,005	Cell cycle/Proliferation	-
Cyclin B2	CCNB2	-4	0,0059	Cell cycle/Proliferation	-
Glypican 4	GPC4	-4,2	0,00247	Cell cycle/Proliferation	-
Platelet-derived growth factors alpha polypeptide	PDGFA	-2,5	0,00032	Others mesodermal genes	-
SLC2A4 regulator (GLUT4)	SLC2A4RG	-2,8	0,0024	Others mesodermal genes	-
Mesenchymal stem cell protein DSC96	DSC96	-5,8	0,0044	Others mesodermal genes	-
Insulin-like growth factor binding protein 7	IGFBP7	-2,3	0,0053	Others mesodermal genes	-
PRKC, apoptosis, WT1, regulator	PAWR	-2,3	0,00326	Others mesodermal genes	-
Collagen type 1, alpha1	COL1A1	-8,1	0,0068	Others mesodermal genes	-
Mesoderm specific transcript	MEST	-15,1	0,0205	Others mesodermal genes	-
