Gene Symbol	Probe_ID	d_Value	Fold Change
EIF1A	34278_at	19.46	3.56
AR	1577_at	16.04	10.09
AK3	48822_s_at	15.18	3.03
EIF1A	663_at	14.17	2.69
PABPC1	44806_at	14.17	3.57
---	45092_at	13.16	3.66
HSPD1	37720_at	12.8	2.8
---	54219_at	12.78	3.23
LCHN	58324_at	12.39	3.49
MLL5	58271_at	12.15	2.45
---	59350_at	11.98	3.22
---	49558_at	11.93	2.73
LARP	41829_at	11.6	3.14
IBTK	52482_at	11.41	3.3
GIT1	43805_f_at	11.41	2.49
---	56056_at	11.31	2.64
FLJ20736	64662_at	11.21	4.32
AR	1578_g_at	11.2	6.19
RALA	39253_s_at	11.19	3.61
HN1	56429_g_at	11.17	2.89
---	54236_at	11.04	3.82
HSPCA	32316_s_at	10.94	2.68
NUCKS	59778_f_at	10.93	2.44
SOD1	36620_at	10.87	2.16
K-ALPHA-1	32272_at	10.72	2.23
---	46558_at	10.7	4.7
---	33207_at	10.62	2.25
VPS28	43061_i_at	10.61	2.19
BASP1	32607_at	10.57	4.15
CBX4	51842_at	10.49	3.06
---	43680_at	10.45	4.85
GRB2	33855_at	10.44	2.55
---	63147_at	10.43	3.86
UGT2B15	63915_f_at	10.35	3.07
METTL2	48730_s_at	10.26	2.24
---	59101_at	10.11	7.12
MLL5	58690_at	10.02	2.24
G3BP	41133_at	10	2.25
AK3	32331_at	9.96	2.31
H2AV	39092_at	9.92	3.25
SDCCAG3	43014_at	9.91	6.04
FLJ10613	59989_s_at	9.82	2.2
YY1	891_at	9.7	2.08
---	49326_at	9.59	2.2
---	42646_at	9.5	5.45
LOC90462	54342_at	9.44	4.55
---	55393_at	9.42	3.51
DDX17	41260_at	9.35	4.97
---	63115_at	9.34	3.07
---	57160_at	9.34	2.11
ETR101	36097_at	-6.98	-3.85
MAGED2	34859_at	-7	-2.22
---	50411_at	-7	-3.57
MGC4342	48094_at	-7.01	-2.22
HT023	43461_g_at	-7.01	-2.78
SFRP1	32521_at	-7.02	-6.25
CRYL1	56407_at	-7.04	-2.04
REA	37364_at	-7.05	-2.17
ARL5	59499_at	-7.08	-2.5
NY-REN-45	57833_s_at	-7.09	-2.08
POMT1	46723_at	-7.12	-3.23
MRC2	63996_at	-7.13	-2.38
B3GALT3	53879_at	-7.16	-3.13
NR4A1	280_g_at	-7.21	-7.14
MUM2	65822_at	-7.23	-2.38
LOC113246	46712_at	-7.31	-2.17
GLTSCR2	61109_at	-7.33	-2.44
FLJ20542	50164_at	-7.36	-3.13
APCDD1	56272_at	-7.42	-2.7
AIM1	32112_s_at	-7.45	-3.7
FOS	1916_s_at	-7.51	-7.69
FOS	1915_s_at	-7.56	-9.09
PILB	43370_at	-7.56	-2.08
C20orf178	45298_at	-7.59	-2.13
B3GAT1	65859_at	-7.6	-2.13
FLJ10283	46261_at	-7.68	-2.27
RAB34	45269_at	-7.71	-10
FLJ20069	61701_at	-7.71	-3.23
PYGB	59669_at	-7.77	-2.7
RPS27L	56410_at	-7.8	-2.27
TOMM20	36198_at	-7.91	-2.13
---	43819_g_at	-7.91	-3.13
STAT6	41222_at	-7.92	-2.78
SELM	64449_at	-7.95	-9.09
BOC	52999_at	-8.15	-4.17
---	44746_at	-8.2	-2.13
SMBP	46307_at	-8.28	-3.23
WNT5B	61330_at	-8.34	-3.33
FLJ22386	50198_at	-8.43	-4.55
WNT5B	58787_at	-8.61	-2.27
ZDHHC4	45807_at	-8.81	-2.13
YF13H12	36170_at	-8.84	-2.08
HPIP	38063_at	-9.04	-2.33
ANXA11	55664_at	-9.16	-2.94
WNT5B	66142_s_at	-9.33	-4.17
WAS	38963_i_at	-9.43	-2.5
JFC1	44820_f_at	-9.45	-3.33
JFC1	48805_f_at	-9.48	-2.44
WNT5B	61292_s_at	-9.86	-7.14
CIRBP	39864_at	-10.94	-3.7
