Clone ID	UniGene	Gene symbol	Gene description	M	STD M	M ctrl/ctrl	STD M	t	P value
H3147B05	Mm.289929	2610203K23Rik	RIKEN cDNA 2610203K23 gene	-0.234	0.067	0.121	0.035	-10.838	5.754E-06
H3156D01	Mm.30153	2410166I05Rik	RIKEN cDNA 2410166I05 gene	-0.792	0.187	0.073	0.130	-8.621	2.690E-05
H3104F08	Mm.27155	Dgcr6	DiGeorge syndrome critical region gene 6	-1.399	0.363	0.076	0.173	-8.599	3.714E-05
H3010D05	Mm.20818	2600002E23Rik	RIKEN cDNA 2600002E23 gene	-0.625	0.153	-0.042	0.079	-7.885	5.851E-05
T027	Mm.29845	Suclg1	succinate-CoA ligase, GDP-forming, alpha subunit	-1.057	0.246	-0.086	0.182	-7.158	1.089E-04
H3131A07	Mm.291776		Mus musculus transcribed sequence with moderate similarity to protein pir:I38882 (H.sapiens) I38882 peroxisomal enoyl-CoA hydratase-like protein - human	-0.639	0.247	0.203	0.108	-7.349	1.282E-04
H3147E02	Mm.296726	Amd1	S-adenosylmethionine decarboxylase 1	-0.895	0.273	0.148	0.203	-6.927	1.366E-04
H3032C09	Mm.243234	Psmd2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	-0.652	0.173	-0.071	0.102	-6.676	1.594E-04
H3082E06	Mm.275648	1110003B01Rik	RIKEN cDNA 1110003B01 gene	-0.771	0.265	0.089	0.131	-6.797	1.724E-04
H3099E09	Mm.28376	4921528G01Rik	RIKEN cDNA 4921528G01 gene	-2.010	0.579	0.020	0.155	-8.163	1.797E-04
H3140D06	Mm.20863	Capn3	calpain 3	-0.744	0.202	0.253	0.209	-7.493	2.109E-04
H3109F07	Mm.227583	Atp2a2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	-2.001	0.675	0.039	0.305	-6.484	2.712E-04
H3137A01	Mm.126976	Tlk2	tousled-like kinase 2 (Arabidopsis)	-0.424	0.185	0.153	0.111	-6.160	2.737E-04
H3111F04			EST	-1.208	0.410	0.052	0.248	-6.046	3.094E-04
T365	Mm.214554	Grb14	growth factor receptor bound protein 14	-2.607	0.687	-0.234	0.530	-6.149	3.215E-04
H3120B07	Mm.21109	Gsn	gelsolin	-1.821	0.561	0.055	0.418	-6.052	3.398E-04
H3117A01	Mm.3544	Cacnb3	calcium channel, voltage-dependent, beta 3 subunit	-2.574	0.931	0.146	0.483	-6.040	3.508E-04
H3149C04	Mm.41191		Mus musculus 0 day neonate kidney cDNA, RIKEN full-length enriched library, clone:D630036H09 product:similar to EFERIN [Homo sapiens], full insert sequence	-0.668	0.297	0.193	0.165	-5.868	3.971E-04
H3107B08	Mm.242545	Upf2	UPF2 regulator of nonsense transcripts homolog (yeast)	-0.915	0.191	0.023	0.214	-7.078	4.014E-04
H3123H05	Mm.287450	Trp53bp2	transformation related protein 53 binding protein 2	-0.582	0.195	0.047	0.143	-5.873	4.035E-04
H3027B04	Mm.50424	AI591476	expressed sequence AI591476	-0.238	0.158	0.253	0.111	-5.774	4.364E-04
H3155E04	Mm.29842	Ndufv1	NADH dehydrogenase (ubiquinone) flavoprotein 1	-0.534	0.116	0.125	0.146	-7.564	4.369E-04
H3057B11	Mm.7821	Tpd52l1	tumor protein D52-like 1	-1.766	0.698	0.252	0.227	-6.580	4.422E-04
H3124H03	Mm.271974	Ttc1	tetratricopeptide repeat domain 1	-0.641	0.145	0.011	0.155	-6.685	4.592E-04
H3042E07	Mm.149776	Spata13	spermatogenesis associated 13	-1.150	0.387	-0.085	0.163	-5.993	5.000E-04
H3129A04	Mm.29283	Mgrn1	mahogunin, ring finger 1	-0.630	0.226	0.098	0.177	-5.703	5.326E-04
H3020F09	Mm.258988		Mus musculus adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230206K11 product:unclassifiable, full insert sequence	-0.699	0.193	-0.040	0.164	-5.804	5.529E-04
H3056C06			EST	-0.266	0.192	0.259	0.070	-6.115	5.556E-04
H3100C02	Mm.179871	Klhl8	kelch-like 8 (Drosophila)	-0.660	0.282	0.116	0.167	-5.458	6.116E-04
H3011G11	Mm.154387	Tkt	transketolase	-0.746	0.284	0.024	0.162	-5.450	6.293E-04
H3027F05	Mm.131001	9430086K21Rik	RIKEN cDNA 9430086K21 gene	-1.875	0.512	-0.103	0.457	-5.724	6.735E-04
H3154H04	Mm.19133	Aplp2	amyloid beta (A4) precursor-like protein 2	-0.590	0.265	0.137	0.163	-5.359	6.800E-04
H3159F12	Mm.272582	Pfkm	phosphofructokinase, muscle	-1.023	0.171	0.051	0.247	-7.578	6.839E-04
T053	Mm.260164	Hadhsc	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	-0.649	0.266	0.089	0.170	-5.351	6.852E-04
H3049H05	Mm.100068	Amot	angiomotin	-1.409	0.446	-0.043	0.345	-5.449	6.975E-04
H3021B04	Mm.246304	Sypl	synaptophysin-like protein	-0.546	0.209	0.010	0.054	-6.228	8.133E-04
H3088C05	Mm.261045	Ppm1a	protein phosphatase 1A, magnesium dependent, alpha isoform	-0.627	0.237	0.047	0.169	-5.244	8.156E-04
H3155C02	Mm.43162	0710008D09Rik	RIKEN cDNA 0710008D09 gene	-0.641	0.267	0.044	0.142	-5.260	8.280E-04
H3032A03	Mm.193041	Map3k7ip2	mitogen-activated protein kinase kinase kinase 7 interacting protein 2	-0.532	0.155	-0.100	0.108	-5.196	8.511E-04
H3120F10			EST	-0.721	0.342	0.157	0.189	-5.205	8.613E-04
H3016F03	Mm.195249	Timm44	translocator of inner mitochondrial membrane 44	-0.560	0.172	-0.065	0.129	-5.180	9.227E-04
H3086F06	Mm.21793	D10Ertd641e	DNA segment, Chr 10, ERATO Doi 641, expressed	-0.333	0.186	0.182	0.025	-6.681	9.309E-04
H3012H06	Mm.159915	D1Ucla4	DNA segment, Chr 1, University of California at Los Angeles 4	-0.795	0.351	0.082	0.125	-5.615	9.465E-04
H3109E10	Mm.1321	Sftpd	surfactant associated protein D	-0.409	0.324	0.382	0.137	-5.301	1.031E-03
H3021F03	Mm.213292	D16Wsu109e	DNA segment, Chr 16, Wayne State University 109, expressed	-0.807	0.331	-0.002	0.146	-5.239	1.051E-03
H3089E10	Mm.25997	Eef2k	eukaryotic elongation factor-2 kinase	-1.188	0.394	-0.060	0.307	-5.069	1.102E-03
H3143G02	Mm.196635	2010005E08Rik	RIKEN cDNA 2010005E08 gene	-0.120	0.143	0.235	0.083	-4.955	1.133E-03
H3099G10	Mm.29845	Suclg1	succinate-CoA ligase, GDP-forming, alpha subunit	-1.173	0.333	-0.204	0.268	-5.076	1.142E-03
H3009H11	Mm.26696	1200013I08Rik	RIKEN cDNA 1200013I08 gene	-0.617	0.191	0.023	0.182	-5.344	1.161E-03
