Probe	Gene Name	Gene Symbol	p Value	Fold Change
1448756_at	S100 calcium binding protein A9 (calgranulin B)	S100a9	0.01	182.5
1457275_at	Desmuslin	Dmn	0.01	137.2
1429794_a_at	Purinergic receptor P2X, ligand-gated ion channel, 1	P2rx1	0.01	70.9
1422007_at	Aquaporin 3	Aqp3	0.01	57.8
1452474_a_at	Adenosine dephosphate-ribosyltransferase 3	Art3	0.01	52.9
1437093_at	Dynein, axonemal, intermediate chain 1	Dnaic1	0.02	52.6
1426731_at	Desmin	Des	0.01	34
1444105_at	Actin,  &#1;2, smooth muscle, aorta	Acta2	0.01	32.8
1424096_at	Keratin complex 2, basic, gene 5	Krt2-5	0.01	22.7
1438394_x_at	Keratin complex 2, basic, gene 4	Krt2-4	0.01	22
1449104_at	Uroplakin 3A	Upk3a	0.01	18.4
1450798_at	Tenascin XB	Tnxb	0.02	14.9
1422580_at	Myosin, light polypeptide 4	Myl4	0.03	14.3
1416203_at	Aquaporin 1	Aqp1	0.01	13.6
1452913_at	Purkinje cell protein 4-like 1	Pcp4l1	0.01	13
1422667_at	Keratin complex 1, acidic, gene 15	Krt1-15	0.01	10.7
1426305_at	Uroplakin 1A	Upk1a	0.01	10.7
1418122_at	Myosin, heavy polypeptide 11, smooth muscle	Myh11	0.03	10.3
1452469_a_at	Smoothelin	Smtn	0.01	10
1457065_at	Uroplakin 1B	Upk1b	0.01	8.3
