Gene name	Gene symbol	Fold Change	p-value	Function
Potassium channel, subfamily K, member 1	KCNK1	4,3	0,00012	Neuronal Channel/Transporter
Potassium voltage gated channel, subfamily G, member 1	KCNG1	3,1	0,00013	Neuronal Channel/Transporter
Solute carrier family 22, member 17	SLC22A17	3,1	0,00016	Neuronal Channel/Transporter
Solute carrier family 7, member 8 (LAT2)	SLC7A8	3,3	0,00016	Neuronal Channel/Transporter
Potassium inwardly-rectifying channel, subf.J, member 8	KCNJ8	2,3	0,00019	Neuronal Channel/Transporter
Solute carrier family 19 member 4 (MCT4)	SLC16A4	4,4	0,00033	Neuronal Channel/Transporter
Solute carrier family 16, member 6 (MCT6)	SLC16A6	78,9	0,0012	Neuronal Channel/Transporter
Chloride Channel 3	CLCN3	2,4	0,002	Neuronal Channel/Transporter
Potassium inwardly-rectifying channel, subf. J, member 2	KCNJ2	16,1	0,0081	Neuronal Channel/Transporter
Potassium inwardly-rectifying channem, subf. J, member 15	KCNJ15	3,5	0,0083	Neuronal Channel/Transporter
Cortactin	CTTN	3,2	0,00015	Synaptic Differentiation/Transmission
Pro-melanin-concentrating hormone	PMCH	102,7	0,00035	Synaptic Differentiation/Transmission
Phosphodiesterase E4	PDE4B	15,9	0,00052	Synaptic Differentiation/Transmission
Proprotein convertase subtilisin/kexin type 1	PCSK1	110,2	0,00059	Synaptic Differentiation/Transmission
Calcium/calmodulin-dependent serine protein kinase	CASK	2,1	0,00067	Synaptic Differentiation/Transmission
Glutamate receptor, ionotrophic, AMPA3	GRIA3	2,9	0,0017	Synaptic Differentiation/Transmission
Synaptotagmin binding, cytoplasmic RNA interacting protein	SYNCRIP	1,7	0,0019	Synaptic Differentiation/Transmission
Golgi transport 1 homolog B	GOLT1B	3	0,0019	Synaptic Differentiation/Transmission
Synaptotagmin-like 4	SYTL4	7,9	0,003	Synaptic Differentiation/Transmission
Fibroblast growth factor 7	FGF7	4,9	0,00018	Synaptic Differentiation/Transmission
Rho GTPase activating protein 6	ARHGAP6	23,2	0,00468	Synaptic Differentiation/Transmission
Secreed frizzled related protein 1	SFRP1	25,2	0,00014	Neuronal Development
Neuronal growth regulator 1	NEGR1	6,3	0,00041	Neuronal Development
Brain derived neurotrophic factor	BDNF	3,9	0,0006	Neuronal Development
Acyl-CoA Synthetase long chain family member 3	ACSL3	2,1	0,00062	Neuronal Development
Sonic hedgehog	Shh	2,5	0,0007	Neuronal Development
Neuropilin (BRP) and tolloid (TLL)-like 2	NETO2	34,5	0,0012	Neuronal Development
Integral membrane protein 2B	ITM2B	2,3	0,0016	Neuronal Development
Low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	LRP8	5,6	0,0023	Neuronal Development
Neuropilin 2	NRP2	1,6	0,0026	Neuronal Development
Sphingomyelin phophodiesterase 1, acid lysosomial (acide sphingomyelinase)	SMPD1	2	0,0027	Neuronal Development
Brain abundant, membrane attached signal protein 1	BASP1	1,8	0,0031	Neuronal Development
CDK5 regulatory subunit associated protein 2	CDK5RAP2	2	0,0032	Neuronal Development
Laminin, alpha 3	LAMA3	20,8	0,0049	Neuronal Development
Monoaxygenase, DBH-like 1	MOXD1	2,6	0,0046	Neuronal Development
Glutamate-cystein ligase, modifier subunit	GCLM	1,9	0,0058	Neuronal Development
GABA(A) receptor associated protein-like 1	GABARAPL1	2	0,0067	Neuronal Development
Synuclein, alpha interacting protein (synphilin)	SNCAIP	3,1	0,0074	Neuronal Development
Bone morphogenic protein 6	BMP6	11,9	0,0112	Neuronal Development
Syntaxin 1A	STX1	5	0,0153	Neuronal Development
Insuline-like growth factor 1	IGF-1	4.4	0.013	Neuronal Development
FK506 binding protein 7	FKBP7	3,2	0,00016	Other neuronal genes
EPH receptor A4	EPHA4	2,9	0,00048	Other neuronal genes
Ly6/neurotoxin1	LYNX1	2,7	0,0013	Other neuronal genes
Neurofilament 3 (150kDa)	NEF3	4,6	0,0014	Other neuronal genes
Galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 2	GALNTL2	18,5	0,0015	Other neuronal genes
Glutamine-fructose-6-phosphate transaminase 2	GFPT2	8,1	0,0019	Other neuronal genes
Ets variant gene 1	ETV1	6	0,0024	Other neuronal genes
Proenkephalin	PENK	3,1	0,0035	Other neuronal genes
Fatty acid desaturase	FADS	3,3	0,0039	Other neuronal genes
Amphiregulin (schwannoma-derived growth factor)	AREG	100,6	0,0043	Other neuronal genes
Phospholipase D 1	PLD1	2,8	0,004	Other neuronal genes
Acyl-CoA synthetase long-chain family member 4	ACSL4	9,8	0,0098	Other neuronal genes
Fatty acid synthase	FASN	2,9	0,005	Other neuronal genes
Insulin like growth factor binding protein 4	IGFBP4	2,3	0,011	Other neuronal genes
Suppressor of cytokine signaling 2	SOCS2	14	0,0144	Other neuronal genes
G-protein coupled receptor 125	GPR 125	5,8	0,0158	Other neuronal genes
Aldo-keto reductaze family 1, member C1	AKR1C1	6,9	0,014	Other neuronal genes
