Gene Name	Gene Symbol	Gene Function	Fold Change
Acidic nuclear phosphoprotein 32 family, member B	Anp32b	Cell cycle	1.2
Clusterin	Clu	Cell death/apoptosis	-2.2
Cyclin-dependent kinase inhibitor 1A	P21	Cell cycle regulation	1.5
Cytidine 5-triphosphate synthase	Ctps	DNA synthesis	1.8
Dehydrogenase/reductase (SDR family) member 3	Dhrs3	Short chain alchol dehydrogenase	1.3
Dehydrogenase/reductase (SDR family) member 4	Dhrs4	Short chain alchol dehydrogenase	-1.4
Dehydrogenase/reductase (SDR family) member 7	Dhrs7	Short chain alchol dehydrogenase	1.3
Dehydrogenase/reductase (SDR family) member 8	Dhrs8	Short chain alchol dehydrogenase	1.5
Fucosidase, alpha-L-1, tissue	Fuca1	Proteoglycan metabolism	1.6
Glutaredoxin 1 (thioltransferase)	Glrx1	Glutathione dep DNA synthesis	1.3
Glutaredoxin 2 (thioltransferase)	Glrx2	Glutathione dep DNA synthesis	1.2
Hepatoma-derived growth factor	hdgf	Transformation related protein	1.3
Hepatoma-derived growth factor	hdgf	Transformation related protein	2.9
Histone 2, H2be	Hist2h2bb	Nucelear organization	-1.6
Karyopherin (Importin) beta 1	kpnb1	Nucelear translocation	-1.6
Karyopherin (Importin) beta 1	kpnb1	Nucelear translocation	1.1
Karyopherin (Importin) beta 1	kpnb1	Nucelear translocation	1.4
Metalliothionine 1	Mt1	Binds heavy metals	4.3
Tubulin, alpha 2	Tuba2	Cytoskeletal structure	1.1
Tubulin, alpha 4	Tuba4	Cytoskeletal structure	-1.7
Tubulin, alpha 6	Tuba6	Cytoskeletal structure	-1.2
Tubulin, alpha 6	Tuba6	Cytoskeletal structure	1.2
