UniGeneID	Gene title	Gene symbol	Fold change	Reference
Hs.137556	Protocadherin 21	PCDH21	107.63 ± 2.95	)
Hs.164226	Thrombospondin 1	THBS1	67.03 ± 4.27	+
Hs.159003	Transient receptor potential cation channel, subfamily C, member 6	TRPC6	40.79 ± 3.85	+
Hs.370359	Nuclear factor I .B	NFIB	34.70 ± 2.83	+
Hs.120950	Rhesus blood group-associated glycoprotein	RHAG	30.55 ± 2.31	)
Hs.49787	Latent transforming growth factor beta-binding protein 1	LTBP1	29.86 ± 3.74	+
Hs.495674	Chloride channel 4	CLCN4	29.51 ± 1.59	+
Hs.25318	RAB27B, member RAS oncogene family	RAB27B	25.99 ± 2.91	+
Hs.482077	Integrin, alpha 2	ITGA2	23.97 ± 2.34	+
Hs.444075	Cbl-interacting protein Sts-1	STS-1	23.43 ± 3.68	)
Hs.494751	Dynamin 3	DNM3	23.16 ± 1.98	)
Hs.573495	Solute carrier family 44, member 1	SLC44A1	23.16 ± 5.68	)
Hs.501898	Murine retrovirus integration site 1 homolog	MRVI1	23.16 ± 1.65	)
Hs.42502	Coagulation factor II (thrombin) receptor-like 2	F2RL2	22.89 ± 1.75	+
Hs.509872	Regulator of G-protein signaling 6	RGS6	22.63 ± 2.54	+
Hs.173288	Ctr9, Paf1 .RNA polymerase II complex component	CTR9	22.63 ± 8.40	)
Hs.508423	ATP-binding cassette, subfamily C, member 4	ABCC4	22.37 ± 5.74	+
Hs.491359	Lamin A .C	LMNA	21.61 ± 1.57	)
Hs.458436	Chemokine (C-C motif) receptor-like 2	CCRL2	20.87 ± 2.54	)
Hs.257761	SH3-domain-binding protein 5 (BTK-associated)	SH3BP5	19.70 ± 2.25	+
Hs.405925	Proline .serine-rich coiled-coil 1	PSRC1	19.47 ± 1.78	)
Hs.218040	Integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	ITGB3	18.81 ± 3.77	+
Hs.440848	von Willebrand factor	VWF	18.38 ± 2.30	+
Hs.203691	Discoidin, CUB and LCCL domain containing 2	DCBLD2	18.17 ± 2.37	)
Hs.114286	CD9 antigen	CD9	18.17 ± 6.36	+
Hs.151641	Leucine rich repeat containing 32	LRRC32	17.96 ± 4.00	+
Hs.1472	Glycoprotein Ib (platelet), alpha polypeptide	GP1BA	17.55 ± 1.32	+
Hs.22785	Gamma-aminobutyric acid A receptor, epsilon	GABRE	17.55 ± 3.37	+
Hs.490203	Caldesmon 1	CALD1	17.35 ± 2.84	+
Hs.477375	Myosin, light polypeptide kinase	MYLK	16.95 ± 5.09	+
Hs.408316	Lymphocyte antigen 6 complex, locus G6D	LY6G6D	16.56 ± 1.86	+
Hs.118539	Growth factor independent 1B	GFI1B	16.37 ± 5.31	+
Hs.434937	Peptidylprolyl isomerase B (cyclophilin B)	PPIB	16.19 ± 13.04	+
Hs.89690	Chemokine (C-X-C motif) ligand 3	CXCL3	16.19 ± 1.51	+
Hs.490415	Zyxin	ZYX	15.82 ± 9.17	+
Hs.301974	Low-density lipoprotein-related protein 12	LRP12	15.82 ± 1.71	)
Hs.445000	Prostaglandin E receptor 3 (subtype EP3)	PTGER3	15.63 ± 4.07	+
Hs.64016	Protein S (alpha)	PROS1	15.63 ± 1.42	+
Hs.73734	Glycoprotein V (platelet)	GP5	15.63 ± 2.14	+
Hs.195659	v-Src sarcoma viral oncogene homolog (avian)	SRC	14.93 ± 1.97	+
Hs.8004	Kalirin, RhoGEF kinase	KALRN	14.93 ± 2.19	)
Hs.120949	CD36 antigen (collagen type I receptor)	CD36	14.93 ± 3.74	+
Hs.15299	Hexamethylene bis-acetamide inducible 1	HEXIM1	14.59 ± 1.57	)
Hs.19156	Dishevelled associated activator of morphogenesis 1	DAAM1	14.42 ± 1.26	)
Hs.370661	Phosphodiesterase 5A, cGMP-specific	PDE5A	14.25 ± 2.60	+
Hs.44227	Heparanase	HPSE	14.09 ± 1.29	+
Hs.419240	Solute carrier family 2, member 3	SLC2A3	13.61 ± 3.29	+
Hs.468840	Pleckstrin	PLEK	13.61 ± 2.23	+
Hs.368641	Stearoyl-CoA desaturase (delta-9-desaturase)	SCD	13.61 ± 1.50	+
Hs.240395	Potassium channel, subfamily K, member 6	KCNK6	13.15 ± 1.44	+
