Probe Identification	Gene Symbol	SAM Score	Fold Change	Genes More Highly Expressed in Bone	FDR (%)	~PAM	Gene Title
205009_at	TFF1	-4.92	3.1		1.9	Yes	Trefoil factor 1
204623_at	TFF3	-4.23	2.6		1.9	Yes	Trefoil factor 3 (intestinal)
209173_at	AGR2	-4.06	1.9		1.9		Anterior gradient 2 homolog
214440_at	NAT1	-4.04	2.5		1.9	Yes	N-Acetyltransferase 1
205081_at	CRIP1	-3.8	1.9		1.9	Yes	Cysteine-rich protein 1 (intestinal)
214774_x_at	TNRC9	-3.72	1.9		1.9	Yes	Trinucleotide repeat containing 9
214858_at	NA	-3.6	2		1.9	Yes	Pp14571
219197_s_at	SCUBE2	-3.59	2.1		1.9		Signal peptide, CUB domain, EGF-like 2
215108_x_at	TNRC9	-3.57	1.9		1.9	Yes	Trinucleotide repeat containing 9
206754_s_at	CYP2B6	-3.57	2.1		1.9		Cytochrome P450, family 2, subfamily B, polypeptide 6
210056_at	RND1	-3.48	1.7		1.9	Yes	Rho family GTPase 1
205186_at	DNALI1	-3.45	2		1.9		dynein, axonemal, light Intermediate polypeptide 1
203130_s_at	KIF5C	-3.42	2		1.9		Kinesin family member 5C
216623_x_at	TNRC9	-3.32	1.9		1.9	Yes	Trinucleotide repeat containing 9
222256_s_at	PLA2G4B	-3.31	1.8		1.9		Phospholipase A2, group IVB (cytosolic)
210021_s_at	UNG2	-3.29	1.7		1.9	Yes	Uracil-DNA glycosylase 2
204607_at	HMGCS2	-3.22	2.3		1.9	Yes	3-Hydroxy-3-methylglutaryl-coenzyme A synthase 2
213664_at	SLC1A1	-3.17	2.7		1.9	Yes	Solute carrier family 1 member 1
211657_at	CEACAM6	-3.16	2.3		1.9		Carcinoembryonic antigen-related cell adhesion molecule 6
222348_at	NA	-3.01	1.7		1.9		�
209114_at	TSPAN-1	-2.93	1.8		1.9		Tetraspan 1
205645_at	REPS2	-2.84	1.8		1.9		RALBP1 associated Eps domain containing 2
39763_at	HPX	-2.84	1.7		1.9		Hemopexin
214099_s_at	PDE4DIP	-2.83	2.2		1.9		Phosphodiesterase 4D interacting protein
203757_s_at	CEACAM6	-2.77	2.8		1.9		Carcinoembryonic antigen-related cell adhesion molecule 6
204485_s_at	TOM1L1	-2.76	1.8		1.9		Target of myb1-like 1
206378_at	SCGB2A2	-2.76	1.9		1.9		Secretoglobin, family 2A, member 2
211712_s_at	ANXA9	-2.76	1.7		1.9		Annexin A9
204378_at	BCAS1	-2.73	1.8		1.9		Breast carcinoma amplified sequence 1
206243_at	TIMP4	-2.67	1.8		3.3		Tissue inhibitor of metalloproteinase 4
