Gene	Standard Cox	coefficientCox p value	Gene description
219340_s_at	?3·83	0·00005	gb:AF123759.1 /DEF=Homo sapiens putative transmembrane protein (CLN8) mRNA, complete cds
217771_at	?3·865	0·00001	gb:NM_016548.1 /DEF=Homo sapiens golgi membrane protein GP73 (LOC51280)
202418_at	3·63	0·00002	gb:NM_020470.1 /DEF=Homo sapiens putative transmembrane protein; homologue of yeast Golgi membrane protein Yif1p
206295_at	?3·471	0·00016	gb:NM_001562.1 /DEF=Homo sapiens interleukin 18 (interferon-?-inducing factor) (IL18)
201091_s_at	3·506	0·00008	Consensus includes gb:BE748755 /heterochromatin-like protein 1
204015_s_at	?3·476	0·00001	gb:BC002671.1 /DEF=Homo sapiens, dual specificity phosphatase 4
200726_at	3·392	0·00006	gb:NM_002710.1 /DEF=Homo sapiens protein phosphatase 1, catalytic subunit, isoform (PPP1CC)
200965_s_at	?3·353	0·0008	gb:NM_006720.1 /DEF=Homo sapiens actin binding LIM protein 1 (ABLIM), transcript variant ABLIM-s
210314_x_at	?3·301	0·00038	gb:AF114013.1 /DEF=Homo sapiens TNF-related death ligand-1?
221882_s_at	3·101	0·00033	Consensus includes gb:AI636233 five-span transmembrane protein M83
217767_at	?3·174	0·00128	gb:NM_000064.1 /DEF=Homo sapiens complement component 3 (C3)
219588_s_at	3·083	0·0002	gb:NM_017760.1 /DEF=Homo sapiens hypothetical protein FLJ20311
204073_s_at	3·336	0·00005	gb:NM_013279.1 /DEF=Homo sapiens chromosome 11open reading frame 9 (C11ORF9)
212567_s_at	?3·054	0·00063	Consensus includes gb:AL523310 putative translation initiation factor
211382_s_at	?3·025	0·00332	gb:AF220152.2 /DEF=Homo sapiens TACC2 mRNA
201663_s_at	3·095	0·00044	gb:NM_005496.1 /DEF=Homo sapiens chromosome-associated polypeptide C (CAP-C)
221344_at	?3·175	0·00031	gb:NM_013936.1 /DEF=Homo sapiens olfactory receptor, family 12, subfamily D, member 2 (OR12D2)
210028_s_at	?3·082	0·00086	gb:AF125507.1 /DEF=Homo sapiens origin recognition complex subunit 3 (ORC3)
218782_s_at	3·058	0·00016	gb:NM_014109.1 /DEF=Homo sapiens PRO2000 protein (PRO2000)
201664_at	3·085	0·00009	gb:AL136877.1 /SMC4 (structural maintenance of chromosomes 4, yeast)-like 1 /FL=gb:AB019987.1 gb:NM_005496.1 gb:AL136877.1
219724_s_at	?2·992	0·0004	gb:NM_014796.1 /DEF=Homo sapiens KIAA0748 gene product (KIAA0748)
204014_at	?2·791	0·0002	gb:NM_001394.2 /DEF=Homo sapiens dual specificity phosphatase 4 (DUSP4)
212014_x_at	?2·948	0·00039	Consensus includes gb:AI493245 /CD44 antigen (homing function and Indian blood group system)
202240_at	2·931	0·0002	gb:NM_005030.1 /DEF=Homo sapiens polo (Drosophila)-like kinase (PLK)
204740_at	?2·896	0·00052	gb:NM_006314.1 /DEF=Homo sapiens connector enhancer of KSR-like (Drosophila kinase suppressor of ras) (CNK1)
