Probe set	Influence	SD	z-score	DMFS	Gene Symbol	Gene Title	Function
209648_x_at	23.16	5.77	4.01	-	SOCS5	suppressor of cytokine signaling 5	Regulation of cell growth
208127_s_at	13.9	3.71	3.75	-	SOCS5	suppressor of cytokine signaling 5	Regulation of cell growth
209550_at	18.66	5.88	3.18	-	NDN	necdin homolog (mouse)	Regulation of cell growth
201162_at	16.18	5.15	3.14	-	IGFBP7	insulin-like growth factor binding protein 7	Regulation of cell growth
212279_at	13.2	4.53	2.91	+	MAC30	hypothetical protein MAC30	Regulation of cell growth
213337_s_at	7.3	2.53	2.88	+	SOCS1	suppressor of cytokine signaling 1	Regulation of cell growth
213910_at	37.27	12.99	2.87	-	IGFBP7	insulin-like growth factor binding protein 7	Regulation of cell growth
217982_s_at	3.33	1.2	2.78	-	MORF4L1	mortality factor 4 like 1	Regulation of cell growth
201185_at	10.66	3.9	2.73	-	HTRA1	HtrA serine peptidase 1	Regulation of cell growth
209101_at	18.31	6.81	2.69	-	CTGF	connective tissue growth factor	Regulation of cell growth
202149_at	12.23	5.12	2.39	-	NEDD9	neural precursor cell expressed, developmentally down-regulated 9	Regulation of cell growth
201163_s_at	3.89	1.69	2.31	-	IGFBP7	insulin-like growth factor binding protein 7	Regulation of cell growth
208394_x_at	4.4	2.07	2.12	-	ESM1	endothelial cell-specific molecule 1	Regulation of cell growth
211513_s_at	23.97	11.32	2.12	+	OGFR	opioid growth factor receptor	Regulation of cell growth
211512_s_at	4.18	2.11	1.98	+	OGFR	opioid growth factor receptor	Regulation of cell growth
204337_at	31.44	7.89	3.99	-	RGS4	regulator of G-protein signalling 4	Regulation of G-protein coupled receptor signaling pathway
209324_s_at	10.18	2.73	3.73	-	RGS16	regulator of G-protein signalling 16	Regulation of G-protein coupled receptor signaling pathway
220300_at	9.44	3.61	2.61	-	RGS3	regulator of G-protein signalling 3	Regulation of G-protein coupled receptor signaling pathway
202388_at	24.64	9.45	2.61	-	RGS2	regulator of G-protein signalling 2, 24kDa	Regulation of G-protein coupled receptor signaling pathway
204396_s_at	5.77	2.47	2.34	-	GRK5	G protein-coupled receptor kinase 5	Regulation of G-protein coupled receptor signaling pathway
217404_s_at	199.74	50.77	3.93	-	COL2A1	collagen, type II, alpha 1	Skeletal development
210135_s_at	14.72	4.62	3.19	-	SHOX2	short stature homeobox 2	Skeletal development
205941_s_at	14.81	5.41	2.74	-	COL10A1	collagen, type X, alpha 1	Skeletal development
201792_at	8.36	3.08	2.72	-	AEBP1	AE binding protein 1	Skeletal development
206091_at	25.05	9.62	2.6	-	MATN3	matrilin 3	Skeletal development
208443_x_at	18.61	7.88	2.36	-	SHOX2	short stature homeobox 2	Skeletal development
213943_at	3.3	1.48	2.23	-	TWIST1	twist homolog 1(Drosophila)	Skeletal development
220076_at	15.77	7.23	2.18	-	ANKH	ankylosis, progressive homolog (mouse)	Skeletal development
210427_x_at	1.45	0.69	2.1	-	ANXA2	annexin A2	Skeletal development
210809_s_at	3.36	1.64	2.05	-	POSTN	periostin, osteoblast specific factor	Skeletal development
210973_s_at	12.86	6.33	2.03	+	FGFR1	fibroblast growth factor receptor 1	Skeletal development
213503_x_at	1.24	0.64	1.96	-	ANXA2	annexin A2	Skeletal development
213595_s_at	70.67	19.13	3.69	-	CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)	Protein amino acid phosphorylation
