Rank	Symbol	UniGene	Description	Function	E-resp.c	Referencesd
1	ABCG1	Hs.10237	ATP-binding cassette, sub-fam. G (WHITE), member 1	Transporters	+	1,2
2	ACTG1	Hs.14376	Actin, gamma 1	Cell communication, adhesion, or motility	+	1,2
3	ACTN1	Hs.119000	Actinin, alpha 1	Cell communication, adhesion, or motility	+	1,2
4	ADCY3	Hs.8402	Adenylate cyclase 3	Signal transduction	+	1,2
5	ANXA9	Hs.279928	Annexin A9	Cell communication, adhesion, or motility	-	1,2
6	ATP5G3	Hs.429	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3	Electron transport and oxidative phosphorylation	+	1,2
7	ATP9A	Hs.70604	ATPase, Class II, type 9A	Transporters	-	1,2
8	CCT4	Hs.79150	Chaperonin containing TCP1, subunit 4 (delta)	Protein folding	+	1,2
9	CCT5	Hs.1600	Chaperonin containing TCP1, subunit 5 (epsilon)	Protein folding	+	1,2
10	CKS2	Hs.83758	CDC28 protein kinase 2	Cell cycle	+	1,2
11	COX5A	Hs.296585	Cytochrome c oxidase subunit Va	Ribosome biogenesis	+	1,2
12	DKC1	Hs.4747	Dyskeratosis congenita 1, dyskerin	Ribosome biogenesis	+	1,2
13	FKBP4	Hs.848	FK506 binding protein 4 (59 kDa)	Protein folding	+	1,2
14	FLJ13187	Hs.29724	FLJ13187 Phafin 2	Unnamed	-	1,2
15	FLJ14299	Hs.288042	Hypothetical protein FLJ14299	Unnamed	+	1,2
16	HSPA8	Hs.180414	Heat shock 70 kDa protein 8	Protein folding	+	1,2
17	LGALS1	Hs.227751	Lectin, galactoside-binding, soluble, 1 (galectin 1)	Cell communication, adhesion, or motility	+	1,2
18	MAD2L1	Hs.79078	MAD2 mitotic arrest deficient-like 1 (yeast)	Cell cycle	+	1,2
19	MARS	Hs.279946	Methionine-tRNA synthetase	Protein biosynthesis	+	1,2
20	MCM2	Hs.57101	Minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	DNA replication and repair	+	1,2
21	MRPL3	Hs.79086	Mitochondrial ribosomal protein L3	Ribosome biogenesis	+	1,2
22	NOLC1	Hs.75337	Nucleolar and coiled-body phosphprotein 1	Unknown	+	1,2
23	NP	Hs.75514	Nucleoside phosphorylase	Purine and pyrimidine metabolism	+	1,2
24	NRP1	Hs.69285	Neuropilin 1	Signal transduction	+	1,2
25	NTRK1	Hs.85844	Neurotrophic tyrosine kinase, receptor, type 1	Signal transduction	+	1,2
26	PMAIP1	Hs.96	Phorbol-12-myristate-13-acetate-induced protein 1	Unknown	+	1,2
27	PMSCL2	Hs.75584	Polymyositis/scleroderma autoantigen 2 (100 kDa)	Protein kinase	+	1,2
28	RXRA	Hs.20084	Retinoid X receptor, alpha	Transcription	-	1,2
29	SLC25A5	Hs.79172	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	Transporters	+	1,2
30	SNRPG	Hs.77496	Small nuclear ribonucleoprotein polypeptide G	MRNA processing	+	1,2
31	STXBP1	Hs.239356	Syntaxin binding protein 1	Exocytosis	+	1,2
32	TAF9	Hs.60679	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32 kDa	Transcription	+	1,2
33	TPD52L1	Hs.16611	Tumor protein D52-like 1	Unknown	+	1,2
34	TUBB	Hs.336780	Tubulin, beta polypeptide	Cell communication, adhesion, or motility	+	1,2
35	VARS2	Hs.159637	Valyl-tRNA synthetase 2	Protein biosynthesis	+	1,2
36	BLVRB	Hs.76289	Biliverdin reductase B (flavin reductase (NADPH))	Xenobiotic metabolism	+	1,2
37	CLDN4	Hs.5372	Claudin 4	Cell communication, adhesion, or motility	-	1,2
38	ERBB3	Hs.199067	V-erb-b2 erythroblastic leukemia viral oncogene homol. 3	Signal transduction	-	1,2
39	R99207;H72722	Hs.36102	ESTs, Highly similar to SMHU1B metallothionein 1B [H. sapiens]	Unnamed	+	1,2
40	FEN1	Hs.4756	Flap structure-specific endonuclease 1	DNA replication and repair	+	1,2
41	FLJ11796	Hs.284186	Homo sapiens CdnA FLJ11796 fis, clone HEMBA1006158, highly similar to Homo sapiens transcription factor forkhead-like 7 (FKHL7) gene	Unnamed	+	1,2
42	IGFBP5	Hs.180324	Insulin-like growth factor binding protein 5	Signal transduction	-	1,2
43	LDHA	Hs.2795	Lactate dehydrogenase A	Glycid metabolism	+	1,2
44	ME1	Hs.14732	Malic enzyme 1, NADP(+)-dependent, cytosolic	Citrate metabolism	+	1,2
45	MT1L	Hs.94360	Metallothionein 1L	Heavy metal binding	+	1,2
46	MUC1	Hs.89603	Mucin 1, transmembrane	Cell communication, adhesion, or motility	-	1,2
47	PFKP	Hs.99910	Phosphofructokinase, platelet	Glycid metabolism	+	1,2
48	SDF1	Hs.237356	Stromal cell-derived factor 1	Signal transduction	+	1,2
49	SLC9A3R1	Hs.184276	Solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1	Transporters	+	1,2
50	YARS	Hs.239307	Tyrosyl-tRNA synthetase	Protein biosynthesis	+	1,2
51	CD44	Hs.169610	CD44 antigen (homing function and Indian blood group system)	Cell communication, adhesion, or motility	+	1,2
52	JUN	Hs.78465	V-jun sarcoma virus 17 oncogene homolog (avian)	Transcription	+	1,2
53	RERG	Hs.21594	RAS-like, estrogen-regulated, growth-inhibitor	Signal transduction	+	1,2
54	TFF1	Hs.350470	Trefoil factor 1 (BC, estrogen-inducible sequence expressed in)	Secreted protein	+	1,2
55	ASAH	Hs.75811	N-acylsphingosine amidohydrolase (acid ceramidase)	Fatty acid metabolism	+	3,4
56	CEACAM5	Hs.220529	Carcinoembryonic antigen-related cell adhesion molecule 5	Cell communication, adhesion, or motility	-	3
57	ERBB2	Hs.323910	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2	Signal transduction	-	1, 3, 5
58	LIV1	Hs.79136	LIV-1 protein, estrogen regulated	Unknown	+	1, 3, 7
59	MGP	Hs.365706	Matrix Gla protein	Cell communication, adhesion, or motility	+	1, 3, 8
60	SCNN1A	Hs.78853	Sodium channel, nonvoltage-gated 1 alpha	Transporter	-	3
61	TFF3	Hs.352107	Trefoil factor 3 (intestinal)	Secreted protein	+	4, 9
62	XBP1	Hs.149923	X-box binding protein 1	Transcription	+	1, 3, 10
63	CYP2B6	Hs.1360	Cytochrome P450, subfamily IIB (phenobarbital-inducib.)	Xenobiotic metabolism		na
64	GATA3	Hs.169946	GATA-binding protein 3	Transcription		na
65	HNF3A	Hs.299867	Hepatocyte nuclear factor 3, alpha	Transcription		na
66	HPN	Hs.823	Hepsin (transmembrane protease, serine 1)	Cell communication, adhesion, or motility		na
