Gene Symbol	Gene Name	Function
SERPINE 1	Serpin peptidase inhibitor, clade E, member 1	Cell Signalling
RGS4	Regulator of G-protein signalling 4	Cell Signalling
CTGF	Connective tissue growth factor	Cell Signalling
CD44	CD44 molecule (Indian blood group)	Cell Signalling
TGFB1	Transforming growth factor beta1	Cell Signalling
ANXA1	Annexin A1	Cell Signalling
INHBA	Inhibin, betaA	Cell Signalling
TFPI2	Tissue factor pathway inhibitor 2	Cell Growth/Development
S100A6	S100 calcium binding protein A6 (calcyclin)	Cell Growth/Development
CYR61	Cysteine-rich, angiogenic inducer, 61	Cell Growth/Development
LOX	Lysyl oxidase	Cell Growth/Development
GLIPR1	GLI pathogenesis-related 1 (glioma)	Apoptosis
IER3	Immediate early response 3	Apoptosis
