GID	yorf	NAME	GWEIGHT	216 A	216 B	228 A	228 B	125 B	175 B	217 B	217 A	218 B	201 B	202 B	145 B	263 B	39 A	39 B	138 A	138 B	64 A	64 B	262 B	21 A	227 B	155 A	155 B	218 A	223 A	67 A	17 A	21 B	146 A	146 B	117 A	117 B	30 A	30 B	148 B	148 A	149 A	70 A	70 B	223 B	61 A	175 A	125 A	17 B	141 A	141 B	123 A	123 B	151 A	145 A	262 A	61 B	67 B	90 A	90 B	149 B	151 B	P3 A	P3 B	201 A	202 A	227 A	263 A	203 A	203 B	152 A	152 B
AID				ARRY36X	ARRY37X	ARRY46X	ARRY47X	ARRY5X	ARRY27X	ARRY39X	ARRY38X	ARRY41X	ARRY29X	ARRY31X	ARRY11X	ARRY51X	ARRY54X	ARRY55X	ARRY6X	ARRY7X	ARRY58X	ARRY59X	ARRY49X	ARRY34X	ARRY45X	ARRY22X	ARRY23X	ARRY40X	ARRY42X	ARRY60X	ARRY24X	ARRY35X	ARRY12X	ARRY13X	ARRY0X	ARRY1X	ARRY52X	ARRY53X	ARRY15X	ARRY14X	ARRY16X	ARRY62X	ARRY63X	ARRY43X	ARRY56X	ARRY26X	ARRY4X	ARRY25X	ARRY8X	ARRY9X	ARRY2X	ARRY3X	ARRY18X	ARRY10X	ARRY48X	ARRY57X	ARRY61X	ARRY64X	ARRY65X	ARRY17X	ARRY19X	ARRY66X	ARRY67X	ARRY28X	ARRY30X	ARRY44X	ARRY50X	ARRY32X	ARRY33X	ARRY20X	ARRY21X
EWEIGHT																																																																							
GENE1357X	HSI044E04	NAG8		-1.613	-1.188	-0.6844	-1.035	-0.7038	-0.4815	-2.101	-1.764	-1.335	-1.926	-2.103	-2.283	-1.568	0.772	0.7136	1.822	0.8464	0.2275	-0.5448	-1.533	-0.4411	-0.7294	-0.2223	0.09477	-0.1705	0.2493	0.273	0.3211	0.22	0.2163	0.3285	-0.04285	0.4711	0.3797	0.6148	0.03828	1.165	1.352	0.6788	0.7795	1.517	1.685	1.265	0.6653	0.977	0.4703	0.3187	1.333	1.126	2.222	0.7003	1.438	-0.2901	-0.3804	-0.02483	-0.6471	0.3435	0.4508	-0.1517	-0.3441	-0.4216	0.1425	-0.5877	0.07882	-0.124	-0.6709	0.3358	-0.5196
GENE433X	HSI044B02	TTC22		-1.445	-1.21	-0.5621	-0.7923	-0.3267	-0.6131	-2.083	-2.066	-1.379	-1.803	-2.342	-2.114	-1.988	0.5006	0.6195	1.611	0.8213	0.1493	-0.5273	-1.398	-0.4127	-0.3645	-0.2027	-0.2665	-0.3788	0.1118	0.1793	0.03233	0.1683	0.6211	0.2797	0.1897	0.4415	0.3887	0.651	-0.07586	1.214	1.492	0.7042	0.6896	1.347	1.385	0.8006	0.6789	0.8362	0.463	0.3423	1.206	1.061	2.677	0.7237	1.757	-0.2847	0.05082	0.05938	-0.623	0.4816	0.468	-0.05853	-0.2873	-0.1001	-0.1003	-0.3605	0.3006	-0.1473	-0.6623	0.2609	-0.787
GENE843X	HSI040D09	LOC440606		-1.298	-0.9181	-0.4822	-1.164	-0.5153	-0.5158	-1.852	-1.925	-1.036	-1.824	-2.252	-2.12	-2.207	0.2163	0.6603	1.628	1.177	0.03408	-0.5284	-1.301	-0.5668	-0.603	-0.1838	-0.2149	-0.2986	0.2377	0.1834	-0.05455	0.2952	0.3288	0.147	0.1741	0.4448	0.293	0.8992	0.04029	1.707	1.549	0.5807	0.7197	1.406	1.298	0.9416	0.7025	0.8691	0.5769	0.2919	1.277	1.01	2.547	0.6064	1.652	-0.3228	0.125	-0.1957	-0.602	0.4616	0.483	0.1355	-0.2235	-0.3588	-0.2256	-0.3095	0.3878	-0.3681	-0.8914	0.0384	-0.7673
GENE1647X	HSI017F11	LFNG		-1.341	-0.9252	-0.6584	-0.8448	-0.9062	-0.7069	-1.665	-2.014	-1.139	-1.836	-2.458	-2.162	-1.654	0.5526	0.7435	1.673	0.3069	0.244	-0.544	-1.438	-0.2742	-0.7182	-0.132	0.05644	-0.5739	0.06754	0.2427	0.05572	0.2804	0.5841	0.1067	0.2457	0.6207	0.5363	0.981	0.0196	1.495	1.13	0.8601	0.9092	1.653	1.886	1.268	0.6574	0.9104	0.6379	0.3687	1.186	0.2572	2.411	1.123	1.123	-0.1366	-0.1817	-0.1122	-0.6868	0.417	0.6277	-0.04154	-0.225	-0.06313	-0.1891	-0.6211	-0.614	-0.2827	-0.763	0.258	-0.5881
GENE1659X	HSI036H05	ABCC13		-1.402	-0.981	-0.8125	-1.228	-0.4685	-0.6359	-1.769	-1.928	-1.242	-1.826	-2.357	-2.132	-1.939	0.6307	0.9119	1.881	0.6361	0.1047	-0.3701	-1.366	-0.4942	-0.8873	-0.2882	-0.5679	-0.2914	0.2235	0.3266	-0.1809	0.443	0.3184	0.3463	0.4688	0.5682	0.2748	0.9436	-0.1775	1.148	1.155	0.9174	0.9175	1.85	1.057	0.9666	0.7985	0.8539	0.5567	0.4836	1.38	1.133	2.262	0.8152	0.9621	-0.05642	0.09248	-0.01572	-0.5257	0.5784	0.801	0.1887	-0.02777	-0.1194	-0.01924	-0.5755	-0.3227	-0.5661	-0.8531	0.08001	-0.6477
GENE1143X	HSI043E03	SLC30A9		-1.482	-0.8386	-0.7714	-1.214	-0.02114	-0.5022	-1.436	-1.814	-1.309	-2.185	-1.63	-2.497	-1.49	0.7053	0.7406	1.552	0.7357	0.287	-0.7989	-1.559	-0.7118	-1.194	0.2971	0.08395	-0.1944	0.1352	0.5753	-0.1864	0.4946	0.07477	0.4041	-0.05389	0.6791	0.2149	0.7284	0.0327	1.097	1.143	0.9016	0.8278	1.216	1.904	1.092	0.8193	0.8749	0.5583	0.3884	1.461	1.267	2.323	0.3954	1.32	-0.449	0.04402	0.2499	-0.1606	0.5892	0.683	-0.05191	-0.2743	-0.3801	0.2091	-0.6898	-0.4919	-0.702	-1.096	-0.05242	-0.867
GENE2228X	HSI025H06	RGS12		-1.366	-1.044	-0.5356	-1.016	-0.5891	-0.6641	-1.779	-1.804	-1.179	-2.054	-2.008	-2.212	-1.859	0.7785	0.9746	1.784	0.5529	0.3613	-0.4489	-1.327	-0.634	-0.5671	0.06999	0.1436	-0.5343	-0.1709	0.4918	-0.2777	0.3201	0.3735	0.3563	0.3151	0.6012	0.9247	1.081	-0.1564	1.093	0.9427	1.43	1.118	1.222	1.926	0.856	0.8373	0.8717	0.09626	0.3708	1.221	0.3335	2.647	0.8093	0.6131	-0.1588	0.03421	0.1497	-0.4772	0.8239	-0.5845	0.4268	-0.1404	-0.5983	-0.3776	-0.4162	-0.1527	-0.3766	-0.8386	0.1104	-0.7157
GENE504X	HSI015G08	SPRYD3		-1.15	-1.334	-0.7371	-0.8807	0.05465	-0.5959	-2.307	-1.585	-1.249	-1.857	-2.654	-1.793	-2.735	0.5655	0.5992	1.315	0.5126	0.2699	-0.4728	-0.4707	-0.2472	-0.4121	-0.1475	0.01545	0.07643	0.4397	0.5874	-0.1038	0.1438	0.1777	-0.7507	0.6534	0.2273	0.4843	1.302	0.09868	0.8117	1.403	1.192	0.8154	1.424	1.47	1.245	0.7554	0.8076	0.8622	0.2778	0.9974	0.9687	2.063	0.7355	1.071	-0.2109	-7.27E-05	0.2523	-0.3714	0.591	0.498	0.1129	-0.1305	-0.4014	-0.5975	-0.3871	0.3108	-0.944	-1.069	0.1451	-0.7375
