GeneName	RefSeq ID	Ascl2 log2 AVG	Ascl2 q-value (%)	Lgr5 log2 AVG	Lgr5 q-value (%)
1190003M12Rik	NM_026860	-1.63	0	1.53	4.07
Adfp	NM_007408	-0.72	0.28	0.78	7.07
Adora1	NM_001008533	-0.62	1.27	1.21	4.47
Adra2a	NM_007417	-0.99	0.61	0.76	8.07
AI173486	NM_178928	-0.72	5.08	1.06	4.71
AI428936	NM_153577	-0.78	0.73	0.91	5.82
Aqp4	NM_009700	-0.92	1.06	0.82	7.07
Ascl2	NM_008554	-1.76	0	0.75	8.97
BC057022	NM_001004180	-0.74	0.28	0.94	5.82
Cdc42ep1	NM_027219	-0.73	2.5	0.95	5.82
Cdk6	AK030810	-0.79	1.54	1.01	5.82
Ces3	NM_053200	-0.97	0.86	1.27	4.07
Cfi	NM_007686	-2.08	2.05	0.85	6.54
Crlf1	NM_018827	-0.65	2.05	0.77	8.97
E030025L21Rik	NM_207531	-1.65	0.73	1.33	4.07
Ell3	NM_145973	-0.64	1.06	0.92	5.82
ENSMUST00000064814	ENSMUST00000064814	-1.27	0.5	1.16	4.71
Ephb3	NM_010143	-0.84	1.54	1.38	4.07
Kif12	NM_010616	-1.73	0	1.12	4.71
Lgr5	NM_010195	-0.85	0.47	2.54	0.45
Mia1	NM_019394	-1.1	0	1.28	4.07
NAP027049-1	NAP027049-1	-1.7	0	1.48	4.07
Nr2e3	NM_013708	-1.72	0.28	1.14	4.71
Olfm4	NM_001030294	-2.31	0	1.02	5.82
Psrc1	NM_019976	-0.96	3.19	0.97	5.82
Ptpro	NM_011216	-0.58	0.28	1.19	4.47
Slc12a2	NM_009194	-0.66	0	0.87	5.82
Slc14a1	NM_028122	-0.72	2.5	1.41	4.07
Slco3a1	NM_023908	-0.88	0	1.21	4.42
Soat1	NM_009230	-0.63	1.54	0.99	5.82
Sox9	NM_011448	-0.59	5.08	1.07	5.82
Tnfrsf19	NM_013869	-0.89	1.54	2.23	0.45
Zbtb12	NM_198886	-0.61	0.86	0.81	7.07
