UniGeneID	Gene title	Gene symbol	Fold change
Hs.98243	Serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor-	SPINK2	-362.04 +/- 2.63
Hs.110637	Homeobox A9	HOXA9	-311.55 +/- 1.60
Hs.89499	Arachidonate 5-lipoxygenase	ALOX5	-210.35 +/- 3.85
Hs.375957	Integrin, beta 2 (complement component 3, receptor 3 and 4 subunit) ITGB2	ITGB2	-222.86 +/- 1.74
Hs.535845	Runt-related transcription factor 2	RUNX2	-185.25 +/- 3.04
Hs.5509	Ecotropic viral integration site 2B	EVI2B	-116.70 +/- 1.60
Hs.153837	Myeloid cell nuclear differentiation antigen	MNDA	-102.77 +/- 1.80
Hs.473819	v-Ets erythroblastosis virus E26 oncogene homolog (avian)	ERG	-99.27 +/- 2.91
Hs.339024	Methionine sulfoxide reductase B3	MSRB3	-94.79 +/- 1.56
Hs.511311	ATPase, class I, type 8B, member 4	ATP8B4	-72.67 +/- 1.95
Hs.525704	Jun oncogene	JUN	-67.81 +/- 2.18
Hs.523702	Membrane-spanning 4-domains, subfamily A, member 6A	MS4A6A	-66.26 +/- 7.59
Hs.502328	CD44 molecule (Indian blood group)	CD44	-64.74 +/- 2.32
Hs.227817	BCL2-related protein A1	BCL2A1	-64.74 +/- 2.55
Hs.491805	Thymus high-mobility group box protein TOX	TOX	-53.82 +/- 1.17
Hs.334019	Complement component (3b .4b- receptor 1 (Knops blood group)	CR1	-53.20 +/- 3.89
Hs.533357	Homeobox A5	HOXA5	-47.40 +/- 1.54
Hs.201300	Cysteinyl leukotriene receptor 1	CYSLTR1	-44.74 +/- 2.26
Hs.99960	Membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific-	MS4A3	-44.74 +/- 1.43
Hs.518198	Cystatin A (stefin A-	CSTA	-43.21 +/- 1.62
Hs.270	Pleckstrin homology, Sec7 and coiled-coil domains, binding protein	PSCDBP	-37.19 +/- 1.72
Hs.441975	XIAP associated factor 1	BIRC4BP	-33.90 +/- 1.84
Hs.591198	Ecotropic viral integration site 2A	EVI2A	-29.51 +/- 1.47
Hs.440829	CCAAT .enhancer-binding protein (C .EBP-, delta	CEBPD	-29.18 +/- 1.53
Hs.591908	A kinase (PRKA- anchor protein 2 ...PALM2-AKAP2 protein	AKAP2 /// PALM2-AKAP2	-25.99 +/- 1.52
