Fold change	P-value	Gene description	Probe set
2.48	0.000731	glutamate-cysteine ligase, modifier subunit	33163_r_at
2.35	0.000495	estrogen-responsive B box protein	38882_r_at
2.02	0.001869	UDP-glucose dehydrogenase	35214_at
1.9	0.041595	UDP glycosyltransferase 2 family, polypeptide B11	31382_f_at
1.85	0.003734	UDP glycosyltransferase 2 family, polypeptide B15	33069_f_at
1.56	0.000795	thioredoxin reductase 1	39425_at
-2.9	0.003543	FK506-binding protein 5	34721_at
-3.82	0.001743	IQ motif containing GTPase activating protein 2	37276_at
-4.89	0.002099	kallikrein 3, (prostate specific antigen - PSA)	1804_at
-5.09	0.00066	transmembrane protease, serine 2	34996_at
-7.57	0.001925	kallikrein 2, prostatic	217_at
