Gene symbol	Gene description	Clone ID	Fold change	Function
COX17	Cytochrome c oxidase copper chaperone	489823	8.23	Cell growth and maintenance
NDUFB4	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	450896	7.14	Cell growth and maintenance
CDKN3	Cdk inhibitor 3 (CDK2-associated dual specificity phosphatase)	700792	4.17	Cell growth and maintenance
CEP3	CDC42 effector protein 3 (rho GTPase binding)	683059	3.87	Cell growth and maintenance
RPL39	Ribosomal protein L39	244911	13.06	Protein synthesis and catabolism
SUI1	Translation initiation factor	1607039	5.64	Protein synthesis and catabolism
REN	Renin beta chain	813402	5.12	Protein synthesis and catabolism
MRPL35	Mitochondrial ribosomal protein L35	490147	5.1	Protein synthesis and catabolism
LSM3	U6 snRNA-associated Sm-like protein (MDS017)	796176	5.94	Transcription and RNA processing
POLR2C	DNA directed RNA polymerase II polypeptide C	770391	5.23	Transcription and RNA processing
KOC1	IGF-II mRNA-binding protein 3	429494	4.87	Transcription and RNA processing
JUN	Protooncogene c-jun	358531	3.75	Transcription and RNA processing
PLAUR	Plasminogen activator, urokinase receptor	810017	6.57	Signal transduction
ARHG	Ras homolog gene family, member G (rho G)	159118	4.18	Signal transduction
CDR2	cerebellar degeneration-related protein	366067	3.24	Signal transduction
SNX14	Sorting nexin 14	284792	4.87	Transport
PP15	Nuclear transport factor 2 (NTF-2)	299388	4.6	Transport
SSR3	Signal sequence receptor gamma subunit	795353	3.81	Transport
PIN	Protein inhibitor of neuronal nitric oxide synthase	853938	7.05	Miscellaneous
CTNNA1	Catenin (cadherin-associated protein) alpha 1	897164	4.13	Miscellaneous
EBRP	Emopamil binding related protein	416240	4.11	Miscellaneous
AHCYL1	S-adenosylhomocysteine hydrolase-like 1	809758	4.05	Miscellaneous
NLGN2	Neuroligin 3	452466	3.71	Miscellaneous
TMEM5	Transmembrane protein 5	430007	3.47	Miscellaneous
MLF2	Myeloid leukemia factor 2	810743	3.11	Miscellaneous
