Gene Symbol	Gene Name	Fold Change SCC vs. NT	q-value	Function
RFC4	replication factor C (activator 4)	5.73	0.37	Proliferation
CCNB2	Cyclin B 2	4.34	0.37	Proliferation
PRC1	protein regulator of cytokinesis 1	3.54	1.21	Proliferation
CENPA	centromere protein A	3.29	0.61	Proliferation
MAD2L1	mitotic arrest deficient-like 1	3.20	0.61	Proliferation
CDK4	cyclin-dependent kinase 4	2.89	0.37	Proliferation
CDC2	cell division cycle 2	2.89	0.37	Proliferation
BUB1B	budding uninhibited by benzimidazoles 1 homolog beta	2.67	1.21	Proliferation
PCNA	proliferating cell nuclear antigen	2.62	0.37	Proliferation
PIR51	RAD51 associated protein 1	2.48	0.61	Proliferation
HEC1	kinetochore associated 2	2.15	0.84	Proliferation
MSH6	mutS homolog 6	2.10	1.06	Proliferation
RFC5	replication factor C (activator 5)	2.09	0.37	Proliferation
CCNA2	Cyclin A 2	2.05	1.06	Proliferation
CCNA1	Cyclin A 1	0.57	0.61	Proliferation
COL11A1	collagen, type XI, alpha 1	7.94	0.84	cell structure
COL1A1	collagen, type I, alpha 1	3.24	1.21	cell structure
TMSNB	thymosin, beta, 4X	3.24	2.53	cell structure
COL5A2	collagen, type V, alpha 2	2.99	0.37	cell structure
COL1A2	collagen, type I, alpha 2	2.89	0.84	cell structure
PLS3	plastin 3	2.46	0.37	cell structure
COL6A3	collagen, type VI, alpha 3	2.28	1.34	cell structure
FSCN1	fascin, homolog 1	2.20	1.06	cell structure
NMB	glycoprotein (transmembrane) nmb	4.01	1.34	oncogenesis
RANBP1	RAN binding protein 1	3.23	0.37	oncogenesis
MAF	v-maf Avian Musculoaponeurotic Fibrosarcoma oncogene	2.63	1.34	oncogenesis
RACGAP1	Rac GTPase activating protein 1	2.53	0.61	oncogenesis
PTTG1	pituitary tumor-transforming 1	2.49	1.34	oncogenesis
MYC	v-myc Avian Myelocytomatosis viral oncogene homolog	2.43	1.90	oncogenesis
RALA	v-ral simian leukemia viral oncogene homolog A	2.42	1.34	oncogenesis
RAP2B	Ras-Related Protein 2B	2.30	0.84	oncogenesis
RAN	Ras-Related Nuclear Protein	2.02	1.90	oncogenesis
KIT	v-KIT Hardy-Zuckerman 4 Feline Sarcoma viral oncogene homolog	0.46	0.37	oncogenesis
RABL2B	Rab-like 2B	0.35	0.37	oncogenesis
RABL2A	Rab-like 2A	0.33	1.34	oncogenesis
