Gene symbol	Gene title
A2M	alpha-2-Macroglobulin
ACDC	Adipocyte, C1Q and collagen domain containing
ADH1B	Alcohol dehydrogenase IB (class I), . polypeptide
AGC1	Aggrecan 1
AOC3	Amine oxidase, copper containing 3
APOD	Apolipoprotein D
APOE	Apolipoprotein E
ASPN	Asporin (LRR class 1)
BEX1	Brain expressed, X-linked 1
CCL2	Chemokine (C-C motif) ligand 2
CDH13	Cadherin 13, H-cadherin (heart)
CEBPA	CCAAT/enhancer-binding protein (C/EBP), alpha
CES1	Carboxylesterase 1
CHRDL1	Continued from bA814C6.1.1 in Em:AL591489 match
CIDE-3	Cell death activator CIDE-3
CMKOR1	Chemokine orphan receptor 1
COL11A1	Collagen, type XI,  alpha1
COL13A1	Collagen, type XIII,  alpha1
COL21A1	Collagen, type XXI,  alpha1
COMP	Cartilage oligomeric matrix protein
CORIN	Corin
CRIP1	Cysteine-rich protein 2
DF	D component of complement (adipsin)
DPT	Dermatopontin
FABP4	Fatty acid-binding protein 4, adipocyte
FBLN1	Fibulin 1
FBXO9	Fatty acid synthase
FRZB	Frizzled-related protein
FY	Duffy blood group
GDF15	Growth differentiation factor 15
GPR21	RAB GTPase activating protein 1
HP	Haptoglobin
IBSP	Integrin-binding sialoprotein
IER3	Immediate early response 3
IGF2	Insulin-like growth factor 2 (somatomedin A)
IGSF4B	Immunoglobulin superfamily, member 4B
IL6	Interleukin 6 (interferon, beta 2)
KRT18	Keratin 18
KRTHA4	Keratin, hair, acidic, 4
LBP	Lipopolysaccharide-binding protein
LEP	Leptin (obesity homolog, mouse)
LOC283445	Acetylcoenzyme A carboxylase  &#3;a
LPL	Lipoprotein lipase
MAFF	Human DNA sequence from clone CTA-447C4
MMP13	Matrix metalloproteinase 13 (collagenase 3)
NLGN4X	Neuroligin 4
OLFML2A	Hypothetical protein LOC169611
OLFML2B	Homo sapiens cDNA clone IMAGE:2506318
OLR1	Oxidized low density lipoprotein (lectin-like) receptor 1
PCK1	Phosphoenolpyruvate carboxykinase 1 (soluble)
PDE1A	Phosphodiesterase 1A, calmodulin-dependent
PLAC8	Placenta-specific 8
PLIN	Perilipin
PRELP	Proline arginine-rich end leucine-rich repeat protein
PRKAR2B	Protein kinase, cAMP-dependent, regulatory, type II, .
PTGDS	Prostaglandin D2 synthase 21 kDa (brain)
PTHR1	Parathyroid hormone receptor 1
RABGAP1	RAB GTPase-activating protein 1
RAI3	Retinoic acid-induced 3
RARRES2	Retinoic acid receptor responder (tazarotene induced) 2
RBP4	Retinol binding protein 4, plasma
S100A4	S100 calcium-binding protein A4
SEPP1	Selenoprotein P, plasma, 1
SERPINF1	Serine (or cysteine) proteinase inhibitor, clade F
SLC7A5	Solute carrier family 7
SORBS1	Sorbin and SH3 domain containing 1
TNA	Tetranectin (plasminogen-binding protein)
TNFAIP6	Tumor necrosis factor,  alpha-induced protein 6
VEGF	Vascular endothelial growth factor
