#Table 2.
#Selection of the 50 genes most up-regulated in the INV and/or MET libraries with respect to the Br_N library from normal mammary epithelium

Gene symbol 	Br_N 	INV 	MET 	Unigene ID 	Genetic map
Transcription factors/chromatin/nuclear proteins 					
    HNRPC 	1 	35 	20 	476302 	14q11.2
    HIF1A 	0 	0* 	31 	412416 	14q21-q24
    HMGA1 	1 	1* 	26 	57301 	6p21
    RMP 	0 	23 	0* 	7943 	19q12
    H2AFZ 	0 	1* 	23 	119192 	4q24
    SRCAP 	1 	19 	0* 	136227 	16p11.2
    DHX9 	0 	0* 	17 	374524 	1q25
    PTMA 	1 	1* 	15 	459927 	2q35-q36
    ZNF9 	0 	0* 	12 	2110 	3q21
    HMGB1 	2 	7* 	22 	434102 	13q12
    SFRS6 	1 	0* 	9 	6891 	20q12-q13.1
    NME1 	0 	1* 	8 	118638 	17q21.3
    ADNP 	0 	7 	0* 	448540 	20q13.13
Cell cycle/apoptosis/cell growth 					
    CEB1 	0 	1* 	20 	26663 	4q22.1-q23
    TGFA 	0 	15 	0* 	170009 	2p13
    CTGF 	0 	13 	0* 	410037 	6q23.1
    CCNA2 	0 	5 	1* 	85137 	4q25-q31
    SPY1 	3 	11 	0* 	511956 	2p23.3
Membrane proteins/antigens/receptors/adhesion 					
    GAGED2 	0 	0* 	36 	112208 	Xp11.22-p11.21
    IFITM3 	0 	1* 	27 	374650 	11p15.5
    STEAP 	0 	0* 	9 	61635 	7q21
Signal transduction 					
    DUSP23 	1 	1* 	22 	425801 	1q23.1
    GNG11 	0 	0* 	19 	83381 	7q31-q32
    PTPN1 	0 	19 	0* 	418004 	20q13.1-q13.2
    YWHAZ 	0 	1* 	15 	386834 	8q23.1
    GNB2L1 	3 	1* 	30 	5662 	5q35.3
    DGKQ 	0 	8 	0* 	99932 	4p16.3
Secreted and ECM proteins 					
    IGFBP4 	1 	1* 	12 	1516 	17q12-q21.1
    FDC-SP 	0 	9 	0* 	320147 	4q13
    EDN2 	1 	7 	0* 	1407 	1p34
    FN1 	0 	1* 	6 	418138 	2q34
Cytoskeleton 					
    CYFIP1 	0 	14 	4 	26704 	15q11
    FSCN1 	0 	1* 	23 	118400 	7p22
    CAP1 	1 	0* 	11 	104125 	1p34.2
Protein synthesis, transport, and degradation 					
    SAE1 	1 	0* 	18 	32748 	19q13.33
    CCT5 	1 	2* 	17 	1600 	5p15.31
    UBA52 	2 	3* 	31 	5308 	19p13.1-p12
    TRAP1 	0 	0* 	14 	183803 	16p13.3
    RPN2 	0 	0* 	11 	406532 	20q12-q13.1
    PPIA 	17 	27* 	159 	356331 	7p13-p11.2
    YKT6 	1 	8 	0* 	296244 	7p15.1
    HSPA8 	7 	/0/	31 	180414 	11q24.1
    TPT1 	48 	/6/	90 	374596 	13q12-q14
Metabolism 					
    LDHA 	3 	1* 	68 	2795 	11p15.4
    NNMT 	1 	0* 	16 	364345 	11q23.1
    ENO1 	0 	0* 	11 	433455 	1p36.3-p36.2
    AHCY 	1 	1* 	9 	388004 	20cen-q13.1
Others 					
    SNCAIP 	0 	23 	0* 	24948 	5q23.1-q23.3
    ANKRD10 	0 	19 	0* 	164969 	13q34
    OBTP 	1 	1* 	12 	525899 	6p21.31

#The frequency for each tag is given for a 10,000-tag library. Asterisks refer to tags whose /P/ value is not statistically significant in one of the libraries. Values in italics indicate a /P/ value that is statistically significant, but with expression in the opposing direction in one of the libraries. 

#The complete data are published in Tables 3-8.
#Proc Natl Acad Sci U S A. 2004 December 28; 101(52): 18147–18152.
