Gene Symbol	Gene name	Function	Upregulation
A20	DNA binding protein A20	Inhibitor of NFkB and TNF-mediated cell death (Codd et al., 1999; Beyaert et al., 2000; Lee et al., 2000)	+55-fold(+/-)15
ATF3	ATF3	Metastastis associated gene; antisense reduces invasion	+22-fold(+/-)6.5
MMP1	MMP1	Interstitial protease, increases invasive potential (Turton et al., 2001; Ye et al., 2001)	+18.4-fold(+/-)7.2
LAMB	Laminin	Cell adhesion and extracellular matrix interactions (Liotta et al., 1983; Liotta, 1988; Fridman et al., 1991, 1992; Sweeney et al., 1991; Christensen, 1992; Gui et al., 1997)	+15.4-fold(+/-)4.5
SOX9	SOX9	Closest relative ofa protein associated with increased metastatic potential in melanomas (Tani et al., 1997; Huang et al., 2000; Cheng et al., 2001)	+11.8-fold(+/-)2.3
IGF2	IGF-2	Insulin-like growth factor (Peyrat et al., 1988; McCann et al., 1996; Ellis et al., 1998; Rasmussen and Cullen, 1998)	+8.4-fold(+/-)0.32
STC1	Stanniocalcin	Upregulated during the course of angiogenesis and estrogen treatment of MCF-7 cells (Charpentier et al., 2000; Fujiwara et al., 2000; Jellinek et al., 2000; Lal et al., 2001)	+8-fold(+/-)0.78
ISG20	HEM45	Mediator of estrogen regulation ofcell proliferation and cell-cycle progression (Pentecost, 1998)	+8-fold(+/-)2.1
ITGA2	Integrin alpha 2	Mediates interactions during invasion (Liotta, 1988; Gui et al., 1997; Shaw, 1999; Achison et al., 2001; Berking et al., 2001b; Ross et al., 2001)	+5-fold(+/-)0.53
NFKB1	NFkB	Survival and inflammation	+5-fold(+/-)0.49
