Gene	Description	LocusLink ID	Gene expression (log 2 tumor/normal ratio): TRAMP prostate	Gene expression (log 2 tumor/normal ratio): C3(1)-Tag mammary	Gene expression (log 2 tumor/normal ratio): CC10-Tag lung	Function
Gsn	Gelsolin	227753	–3.19	–2.60	–2.54	Cytoskeleton- and microtubule-related proteins
Kif10	Kinesin family member 10	229841	1.74	1.39	2.16	Cytoskeleton- and microtubule-related proteins
Kif11	Kinesin family member 11	16551	3.3	2.35	3.27	Cytoskeleton- and microtubule-related proteins
Kif20a	Kinesin family member 20A	52563	1.73	1.5	1.84	Cytoskeleton- and microtubule-related proteins
Kif22-ps	Kinesin family member 22, pseudogene	110033	2.61	1.25	1.84	Cytoskeleton- and microtubule-related proteins
Kif23	Kinesin family member 23	71819	2.37	1.28	2.03	Cytoskeleton- and microtubule-related proteins
Kif4	Kinesin family member 4	16571	2.88	1.67	1.87	Cytoskeleton- and microtubule-related proteins
Mcm10	Minichromosome maintenance protein 10	70024	1.89	1.07	1.49	Cytoskeleton- and microtubule-related proteins
Mtap1b	Microtubule-associated protein 1 B	17755	3.19	1.47	1.33	Cytoskeleton- and microtubule-related proteins
Np95	Nuclear protein 95	18140	2.5	1.7	1.4	Cytoskeleton- and microtubule-related proteins
Spag5	Sperm-associated antigen 5	54141	2.95	1.64	1.97	Cytoskeleton- and microtubule-related proteins
Stmn1	Stathmin 1	16765	5.97	3.07	1.25	Cytoskeleton- and microtubule-related proteins
Tubb5	Tubulin, ß5	22154	4.37	1.13	1.58	Cytoskeleton- and microtubule-related proteins
Vil1	Villin	22349	–1.73	–1.45	–1.22	Cytoskeleton- and microtubule-related proteins
Ask	Activator of S phase kinase	27214	1.12	1.14	1.44	Cell cycle
Brca1	Breast cancer 1	12189	3.11	1.9	2.41	Cell cycle
Bub1b	Budding uninhibited bybenzimidazoles 1 homologue, ß (S. cerevisiae)	12236	2.22	1.06	1.44	Cell cycle
Ccna2	Cyclin A2	12428	4.06	2.77	3.26	Cell cycle
Ccnd2	Cyclin D2	12444	–1.41	–1.77	–1.29	Cell cycle
Ccnf	Cyclin F	12449	1.54	1.27	1.3	Cell cycle
Cdc2a	Cell division cycle 2 homologue A (S. pombe)	12534	2.15	1.54	1.94	Cell cycle
Chek1	Checkpoint kinase 1 homologue (S. pombe)	12649	1.73	1.78	1.93	Cell cycle
Cks1	CDC28 protein kinase 1	54124	1.99	1.28	1.6	Cell cycle
Ect2	Ect2 oncogene	13605	4.05	2.98	4.1	Cell cycle
Gmnn	Geminin	57441	2.42	1.83	2.01	Cell cycle
Lmo2	LIM only 2	16909	–1.53	–1.04	–1.18	Cell cycle
Mad2l1	MAD2 (mitotic arrest deficient, homologue)–like 1 (yeast)	56150	2.41	1.93	1.78	Cell cycle
Mtbp	Expressed sequence AI429604	105837	1.42	1.01	1.25	Cell cycle
Ndr2	N-myc downstream regulated 2	29811	–2.65	–1.42	–1.01	Cell cycle
Nek2	NIMA (never h mitosis gene a)–related expressed kinase 2	18005	2.5	2.07	1.58	Cell cycle
PCNA	Proliferating cell nuclear antigen	18538	3.27	1.81	2.4	Cell cycle
Rbbp6	Retinoblastoma binding protein 6	19647	2.32	1.09	1.06	Cell cycle
Rbbp7	Retinoblastoma binding protein 7	245688	1.2	1.03	1.02	Cell cycle
Rbl1	Retinoblastoma-like 1 (p107)	19650	1.17	1.27	1.8	Cell cycle
Skp2	S-phase kinase-associated protein 2 (p45)	27401	2.15	1.39	1.4	Cell cycle
Acadsb	Acyl-CoA dehydrogenase, short/branched chain	66885	–1.12	–1.63	–1.00	Cell metabolism
Aldh2	Aldehyde dehydrogenase 2, mitochondrial	11669	–2.55	–2.12	–1.81	Cell metabolism
Car4	Carbonic anhydrase 4	12351	–2.06	–1.28	–1.73	Cell metabolism
Cbr2	Carbonyl reductase 2	12409	–1.43	–1.16	–2.54	Cell metabolism
Dpep1	Dipeptidase 1 (rel)	13479	–1.50	–1.21	–1.76	Cell metabolism
Ech1	Enoyl CoA hydratase 1, peroxisomal	51798	–1.43	–1.76	–1.24	Cell metabolism
Fmo1	Flavin containing monooxygenase 1	14261	–2.13	–1.14	–2.42	Cell metabolism
Gstm1	GST, µ1	14862	–1.59	–1.56	–1.10	Cell metabolism
Lpl	Lipoprotein lipase	16956	–1.68	–2.28	–1.34	Cell metabolism
Mlycd	Malonyl-CoA decarboxylase phosphoribosylaminoimidazobe carboxylase,	56690	–1.73	–2.45	–1.42	Cell metabolism
Paics	Phosphoribosylaminoribosylaminoimidazole, succinocarboxamide synthetase	67054	1.55	1.24	1.3	Cell metabolism
Fmr1	Fragile X mental retardation syndrome 1 homologue	14265	1.93	1	1.14	DNA binding/repair/recombination
Hells	Helicase, lymphoid specific	15201	2.46	2.35	2.97	DNA binding/repair/recombination
Mcm3	Mini chromosome maintenance deficient (S. cerevisiae)	17215	1.31	1.05	1.36	DNA binding/repair/recombination
Mcmd2	Mini chromosome maintenance deficient 2 (S. cerevisiae)	17216	2.3	2.04	1.74	DNA binding/repair/recombination
