Fold change	P-value	Gene_description	Probe_set
4.08	0.009754	TLS/CHOP hybrid gene (translocation breakpoint in liposarcomas)	39420_at
2.3	0.003034	NIMA (never in mitosis gene a)-related kinase 2	366_s_at
2.18	0.000884	S100 calcium-binding protein P	34319_at
2.17	0.003656	nuclear pore complex interacting protein	33836_at
2.15	0.002342	activating transcription factor 3	287_at
2.1	0.001625	CDC20 (cell division cycle 20, S. cerevisiae, homolog)	38414_at
1.97	0.001253	TTK protein kinase	572_at
1.81	0.000537	estrogen-responsive B box protein	38882_r_at
1.68	0.002437	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	37188_at
1.59	0.001182	spermidine/spermine N1-acetyltransferase	1173_g_at
1.52	0.000376	kallikrein 3 (prostate specific antigen - PSA)	1514_g_at
1.45	0.001542	cyclin-dependent kinase inhib. 3 (CDK2-assoc. dual specificity phosphatase)	1599_at
-1.25	0.015573	IQ motif containing GTPase activating protein 2	37276_at
-1.75	0.002056	tubulin, alpha 1 (testis specific)	685_f_at
