Symbol	Name	Fold Increase	Category
Cyr61	Cysteine-rich protein 61	1.5	Secreted growth factors and extracellular matrix proteins
Plf	Proliferin	1.5	Secreted growth factors and extracellular matrix proteins
Pthlh	Parathyroid hormone-like peptide	1.7	Secreted growth factors and extracellular matrix proteins
Serpinb5	Serine (or cysteine) peptidase inhibitor, clade B, member 5	1.9	Secreted growth factors and extracellular matrix proteins
Tnc	Tenascin C	1.7	Secreted growth factors and extracellular matrix proteins
Wnt10a	Wingless related MMTV integration site 10a	1.9	Secreted growth factors and extracellular matrix proteins
Adamts1	A disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1	1.6	Proteases that generate EGF and HGF
St14	Suppression of tumorigenicity 14 (colon carcinoma)	1.6	Proteases that generate EGF and HGF
Akap13	A kinase (PRKA) anchor protein 13	1.5	Tyrosine kinase (EGFR, Erb-B2, MET/HGF, Src) and integrin signaling/adapter proteins
Cdcp1	CUB domain containing protein 1	1.5	Tyrosine kinase (EGFR, Erb-B2, MET/HGF, Src) and integrin signaling/adapter proteins
Ddef1	Development and differentiation enhancing	1.6	Tyrosine kinase (EGFR, Erb-B2, MET/HGF, Src) and integrin signaling/adapter proteins
Eps15	Epidermal growth factor receptor pathway substrate 15	1.6	Tyrosine kinase (EGFR, Erb-B2, MET/HGF, Src) and integrin signaling/adapter proteins
Foxf1a	Forkhead box F1a	2.2	Tyrosine kinase (EGFR, Erb-B2, MET/HGF, Src) and integrin signaling/adapter proteins
Gab2	Growth factor receptor bound protein 2-associated protein 2	1.7	Tyrosine kinase (EGFR, Erb-B2, MET/HGF, Src) and integrin signaling/adapter proteins
Hs2st1	Heparan sulfate 2-O-sulfotransferase 1	1.6	Tyrosine kinase (EGFR, Erb-B2, MET/HGF, Src) and integrin signaling/adapter proteins
Itgb4	Integrin beta 4	1.6	Tyrosine kinase (EGFR, Erb-B2, MET/HGF, Src) and integrin signaling/adapter proteins
Bdkrb2	Bradykinin receptor, beta 2	1.5	Other
Krt14	Keratin 14	2.1	Other
Rbms1	RNA binding motif, single-stranded interacting protein 1	1.7	Other
Tacstd1	Tumor-associated calcium signal transducer 1	1.7	Other
Usp34	Ubiquitin-specific peptidase 34	1.5	Other
