Probe	Gene Name	Gene Symbol	p Value	Fold Change	Function
1422851_at	High mobility group AT-hook 2	Hmga2	0.01	63.8	Transcriptional regulation
1453002_at	Sox11	Sox11	0.01	10	Transcriptional regulation
1424890_at	Basonuclin 1	Bnc1	0.02	9	Transcriptional regulation
1434028_at	Aryl hydrocarbon receptor nuclear translocator 2	Arnt2	0.01	6.5	Transcriptional regulation
1450125_at	GATA binding protein 5	Gata5	0.01	6.3	Transcriptional regulation
1437556_at	Zinc finger homeodomain 4	Zfhx4	0.03	5.9	Transcriptional regulation
1429621_at	Cullin-associated and neddylation-dissociated 2 (putative)	Cand2	0.02	5.8	Transcriptional regulation
1422979_at	Suppressor of variegation 3–9 homolog 2 (Drosophila)	Suv39h2	0.03	5.6	Transcriptional regulation
1454906_at	Retinoic acid receptor, beta	Rarb	0.01	4.4	Transcriptional regulation
1447877_x_at	DNA methyltransferase (cytosine-5) 1	Dnmt1	0.03	4	Transcriptional regulation
1435190_at	Cell adhesion molecule with homology to L1CAM	Chl1	0.01	6.9	Cell differentiation
1452514_a_at	kit Oncogene	Kit	0.04	6.7	Cell differentiation
1416006_at	Mdk	Mdk	0.01	6.6	Cell differentiation
1422866_at	Procollagen, type XIII, alpha 1	Col13a1	0.01	6.3	Cell differentiation
1437173_at	Endothelial differentiation, sphingolipid G-protein-coupled receptor, 3	Edg3	0.02	5.8	Cell differentiation
1448291_at	Matrix metallopeptidase 9	Mmp9	0.02	5.7	Cell differentiation
1422979_at	Suppressor of variegation 3–9 homolog 2 (Drosophila)	Suv39h2	0.03	5.6	Cell differentiation
1419592_at	unc-5 Homolog C (C. elegans)	Unc5c	0.03	5.5	Cell differentiation
1448696_at	Hephaestin	Heph	0.01	5.1	Cell differentiation
1449054_a_at	Poly (rC) binding protein 4	Pcbp4	0.02	4.9	Cell differentiation
1460187_at	Secreted frizzled-related sequence protein 1	Sfrp1	0.01	7.2	Embryonic development
1451191_at	Cellular retinoic acid binding protein II	Crabp2	0.02	7.1	Embryonic development
1434530_at	odd Oz/ten-m homolog 4 (Drosophila)	Odz4	0.02	5.2	Embryonic development
1451430_at	slit Homolog 2 (Drosophila)	Slit2	0.04	4.5	Embryonic development
1456033_at	T-box 4	Tbx4	0.01	4	Embryonic development
1452589_at	PTK7 protein tyrosine kinase 7	Ptk7	0.01	3.9	Embryonic development
1452598_at	RIKEN cDNA 2810418N01 gene	2810418N01Rik	0.01	3.8	Embryonic development
1416042_s_at	Nuclear autoantigenic sperm protein (histone-binding)	Nasp	0.01	3.8	Embryonic development
1416693_at	Forkhead box C2	Foxc2	0.02	3.8	Embryonic development
1449314_at	Zinc finger protein, multitype 2	Zfpm2	0.03	3.7	Embryonic development
1417318_at	Deleted in bladder Ca chromosome region candidate 1 (human)	Dbccr1	0.01	6.3	Cell cycle
1439833_at	Septin 3	3-Sep	0.02	5.5	Cell cycle
1437033_a_at	S-phase kinase-associated protein 2 (p45)	Skp2	0.01	4.9	Cell cycle
1418026_at	Exonuclease 1	Exo1	0.03	4.9	Cell cycle
1452226_at	Regulator of chromosome condensation 2	Rcc2	0.01	4.8	Cell cycle
1416211_a_at	Pleiotrophin	Ptn	0.01	4.2	Cell cycle
1439208_at	Checkpoint kinase 1 homolog (Schizosaccharomyces pombe)	Chek1	0.01	4.1	Cell cycle
1447363_s_at	Budding uninhibited by benzimidazoles 1 homolog, beta (S. cerevisiae)	Bub1b	0.01	4	Cell cycle
1422252_a_at	Cell division cycle 25 homolog C (S. cerevisiae)	Cdc25c	0.02	4	Cell cycle
1417586_at	Timeless homolog (Drosophilia)	Timeless	0.01	3.8	Cell cycle
1455188_at	Eph receptor B1	Ephb1	0.01	6.3	Cell morphogenesis
1437466_at	Activated leukocyte cell adhesion molecule	Alcam	0.02	5.3	Cell morphogenesis
1418545_at	WASP family 1	Wasf1	0.01	4.2	Cell morphogenesis
1448113_at	Stathmin 1	Stmn1	0.01	3.5	Cell morphogenesis
1431873_a_at	Epsilon-tubulin 1	Tube1	0.04	3.4	Cell morphogenesis
1427467_a_at	Retinitis pigmentosa guanosine triphosphatase regulator	Rpgr	0.04	3.4	Cell morphogenesis
1450070_s_at	p21 (CDKN1A)-activated kinase 1	Pak1	0.01	3.4	Cell morphogenesis
1450922_a_at	Transforming growth factor, beta2	Tgfb2	0.04	3.3	Cell morphogenesis
1435559_at	Myosin VI	Myo6	0.01	3.1	Cell morphogenesis
1421929_at	Eph receptor A4	Epha4	0.04	2.8	Cell morphogenesis
1417837_at	Pleckstrin homology-like domain, family A, member 2	Phlda2	0.01	13	Organ morphogenesis
1450772_at	Wingless-related mouse mammary tumor virus integration site 11	Wnt11	0.02	4	Organ morphogenesis
1422789_at	Aldehyde dehydrogenase family 1, subfamily A2	Aldh1a2	0.01	3.9	Organ morphogenesis
1425995_s_at	Wilms tumor homolog	Wt1	0.04	3.8	Organ morphogenesis
1436118_at	Loop tail associated protein	Ltap	0.01	3.5	Organ morphogenesis
1454890_at	Angiomotin	Amot	0.03	3.5	Organ morphogenesis
1440353_at	Neurotrophin 5	Ntf5	0.02	3.3	Organ morphogenesis
1453107_s_at	Forkhead box M1	Foxm1	0.01	3.1	Organ morphogenesis
1417553_at	Placental specific protein 1	Plac1	0.01	3	Organ morphogenesis
1450990_at	Glypican 3	Gpc3	0.01	2.9	Organ morphogenesis
1429841_at	RIKEN cDNA 3000002B06 gene	3000002B06Rik	0.01	7.6	Cell adhesion
1421171_at	a Disintegrin + metallopeptidase domain 12 (meltrin  &#1;)	Adam12	0.02	7.4	Cell adhesion
1449244_at	Cadherin 2	Cdh2	0.02	6	Cell adhesion
1448901_at	Carboxypeptidase X 1 (M14 family)	Cpxm1	0.01	5	Cell adhesion
1427256_at	Chondroitin sulfate proteoglycan 2	Cspg2	0.01	4.8	Cell adhesion
1438020_at	Hyaluronan + proteoglycan link protein 1	Hapln1	0.05	4.8	Cell adhesion
1433474_at	Epidermal growth factor-like repeats + discoidin I-like domains 3	Edil3	0.01	4.6	Cell adhesion
1417845_at	Claudin 6	Cldn6	0.01	4.6	Cell adhesion
1421201_a_at	Trophinin	Tro	0.02	4.4	Cell adhesion
1426283_at	Neurotrimin	Mouse Genome Informatics: 2446259	0.01	3.7	Cell adhesion
1450736_a_at	Hemoglobin Z,  beta-like embryonic chain	Hbb-bh1	0.02	250.2	Other
1436717_x_at	Hemoglobin Y,  beta-like embryonic chain	Hbb-y	0.03	243.7	Other
1448716_at	Hemoglobin X,  alpha-like embryonic chain in Hba complex	Hba-x	0.02	202.2	Other
