Affy ID	Accession	Gene Symbol	Description	Ctrl mean	Ctrl SD	SD/mean Ctrl	BC mean	BC SD	SD/mean BC	BC/ctrl	direction	P-value
1552426_a_at	NM_078474	BLP2	BBP-like protein 2	1.05	0.15	0.14	0.97	0.12	0.12	0.92	down	0.045648446
1552644_a_at	NM_024947	PHC3	polyhomeotic like 3 (Drosophila)	0.93	0.18	0.20	1.16	0.36	0.31	1.25	up	0.034071627
1552978_a_at	NM_052822	SCAMP1	secretory carrier membrane protein 1	0.85	0.18	0.21	1.05	0.32	0.30	1.24	up	0.038369689
1553145_at	BC010030	FLJ39653	hypothetical protein FLJ39653	1.17	0.30	0.26	1.00	0.19	0.19	0.86	down	0.013668535
1553148_a_at	R75838	SNX13	sorting nexin 13	0.89	0.17	0.19	1.11	0.36	0.32	1.24	up	0.019283461
1553185_at	NM_152573	FLJ31614	RAB45, member RAS oncogene family	0.72	0.39	0.55	1.19	0.49	0.41	1.65	up	0.005964279
1553186_x_at	NM_152573	FLJ31614	RAB45, member RAS oncogene family	0.74	0.36	0.48	1.22	0.52	0.43	1.64	up	0.014663846
1553252_a_at	NM_153252	FLJ38568	bromo domain-containing protein disrupted in leukemia	0.88	0.25	0.28	1.04	0.24	0.23	1.19	up	0.036191734
1553274_a_at	NM_152551	C6orf151	chromosome 6 open reading frame 151	0.89	0.14	0.16	1.03	0.22	0.22	1.16	up	0.045622534
1553542_at	NM_176816	KENAE	Kenae	0.86	0.19	0.22	1.65	1.83	1.11	1.91	up	0.008807338
1553677_a_at	NM_152902	MGC3794	putative MAPK activating protein	0.93	0.31	0.34	1.15	0.42	0.37	1.23	up	0.034071627
1553681_a_at	NM_005041	PRF1	perforin 1 (pore forming protein)	0.88	0.20	0.23	1.01	0.38	0.38	1.14	up	0.043092809
1554014_at	BC007347	CHD2	chromodomain helicase DNA binding protein 2	1.06	0.17	0.16	0.98	0.10	0.11	0.92	down	0.040700539
1554082_a_at	BC009257	FLJ23323	hypothetical protein FLJ23323	0.90	0.20	0.22	1.02	0.17	0.17	1.14	up	0.038369689
1554086_at	BC007763	TUBGCP3	tubulin, gamma complex associated protein 3	1.21	0.22	0.18	1.02	0.26	0.25	0.85	down	0.021984286
1554132_a_at	BC030528	KIAA1128	KIAA1128 protein	0.84	0.19	0.23	1.13	0.43	0.38	1.34	up	0.011014583
1554285_at	AF450243	HAVCR2	hepatitis A virus cellular receptor 2	0.92	0.12	0.13	1.08	0.32	0.30	1.18	up	0.016849603
1554464_a_at	BC008745	CRTAP	cartilage associated protein	0.81	0.22	0.28	0.97	0.35	0.36	1.20	up	0.013668535
1554757_a_at	AF273055	INPP5A	inositol polyphosphate-5-phosphatase, 40kDa	0.89	0.20	0.23	0.95	0.26	0.27	1.07	up	0.038369689
1554892_a_at	AY095480	MS4A3	membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific)	0.91	0.40	0.44	6.42	11.81	1.84	7.09	up	0.013668535
1555058_a_at	BC034621	KIAA0205	family with sequence similarity 34, member A	0.86	0.42	0.49	1.23	0.50	0.40	1.43	up	0.003614061
1555349_a_at	L78790	ITGB2	integrin, beta 2 (antigen CD18 (p95), lymphocyte function-associated antigen 1; macrophage antigen 1 (mac-1) beta subunit)	0.89	0.19	0.21	1.11	0.38	0.34	1.25	up	0.013668535
1555372_at	AF455755	BCL2L11; BAM; BIM; BOD; BimL; BimEL	BCL2-like 11 (apoptosis facilitator)	1.24	0.23	0.19	1.00	0.26	0.26	0.81	down	0.002105193
1555476_at	BC017880	IREB2	iron-responsive element binding protein 2	1.24	0.35	0.28	0.88	0.34	0.39	0.71	down	0.020589577
1555565_s_at	AF314222	TAPBP	TAP binding protein (tapasin)	0.85	0.18	0.21	1.26	0.59	0.47	1.47	up	0.004658583
1555618_s_at	AF110956	SAE1	SUMO-1 activating enzyme subunit 1	0.83	0.20	0.24	1.00	0.24	0.24	1.20	up	0.045622534
1555736_a_at	AF165187	AGTRAP	angiotensin II receptor-associated protein	0.87	0.21	0.24	1.21	0.66	0.54	1.39	up	0.036191734
1555843_at	AL713781	HNRPM	heterogeneous nuclear ribonucleoprotein M	1.15	0.21	0.18	0.98	0.16	0.17	0.85	down	0.010232337
1555846_a_at	AI688573		CDNA clone IMAGE:4372677, partial cds	1.13	0.14	0.12	1.03	0.14	0.14	0.91	down	0.016836046
1555852_at	AI375915	TAP1	proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional protease 7)	1.07	0.18	0.17	0.99	0.13	0.13	0.93	down	0.019268589
1555878_at	AK094613	RPS24	ribosomal protein S24	1.22	0.31	0.26	0.82	0.34	0.41	0.67	down	0.001916633
1555945_s_at	AK091785	C9orf10	chromosome 9 open reading frame 10	0.84	0.25	0.30	1.10	0.22	0.20	1.30	up	0.013668535
1556033_at	BQ187042		---	1.12	0.26	0.23	0.94	0.16	0.17	0.84	down	0.008168216
1556053_at	AL556987	DNAJC7	DnaJ (Hsp40) homolog, subfamily C, member 7	1.17	0.18	0.15	0.96	0.34	0.35	0.82	down	0.012741388
1556657_at	AA744622		CDNA FLJ36459 fis, clone THYMU2014762	0.87	0.32	0.36	1.35	0.51	0.38	1.55	up	0.016836046
1556658_a_at	AA744622		CDNA FLJ36459 fis, clone THYMU2014762	0.82	0.38	0.47	1.47	0.58	0.39	1.81	up	0.002309612
1557562_at	AI984118		---	1.13	0.18	0.16	1.04	0.25	0.24	0.92	down	0.02664114
1557718_at	AL834350	PPP2R5C	protein phosphatase 2, regulatory subunit B (B56), gamma isoform	1.16	0.21	0.18	1.12	0.49	0.44	0.97	down	0.023455726
1557799_at	AF085883	SELH	selenoprotein H	1.13	0.21	0.19	0.89	0.23	0.26	0.78	down	0.011846416
1557905_s_at	AL552534	CD44	CD44 antigen (homing function and Indian blood group system)	0.86	0.15	0.17	1.19	0.60	0.50	1.38	up	0.023455726
1557950_at	BF984340	SDCCAG1	serologically defined colon cancer antigen 1	0.91	0.13	0.14	1.15	0.23	0.20	1.27	up	0.008807338
1557965_at	AL566167	MGC61716	hypothetical protein MGC61716	1.14	0.33	0.29	0.91	0.26	0.29	0.80	down	0.034071627
1557966_x_at	AL566167	MGC61716	hypothetical protein MGC61716	1.22	0.49	0.41	0.92	0.21	0.23	0.76	down	0.032073358
1557987_at	BC042832		Clone IMAGE:5314747, mRNA	0.73	0.18	0.25	1.38	1.05	0.76	1.89	up	0.005964279
1558014_s_at	BG261090	FLJ22728	male sterility domain containing 2	0.75	0.25	0.33	1.03	0.59	0.57	1.36	up	0.040700539
1558111_at	AL562860	MBNL1	muscleblind-like (Drosophila)	0.84	0.29	0.35	1.38	0.47	0.34	1.63	up	0.045622534
1558345_a_at	BI715235		hypothetical protein LOC283031	1.21	0.28	0.23	1.05	0.29	0.28	0.86	down	0.025006967
1558754_at	AA484731	LOC284390	hypothetical protein LOC284390	1.25	0.34	0.27	1.10	0.44	0.40	0.88	down	0.003308497
1558882_at	BI868572	NQO2	hypothetical protein DKFZp686I15217	0.71	0.29	0.41	1.36	0.74	0.54	1.90	up	0.030171071
1559018_at	AL832042	PTPRE	protein tyrosine phosphatase, receptor type, E	1.05	0.12	0.12	1.00	0.41	0.41	0.96	down	0.034071627
1559050_at	BC041465	LOC253018	hypothetical protein LOC253018	1.21	0.27	0.22	1.12	0.46	0.41	0.92	down	0.030171071
1559467_at	BI520422		CDNA FLJ36734 fis, clone UTERU2012890	1.19	0.30	0.25	1.02	0.21	0.21	0.85	down	0.020589577
1559754_at	BC018898	LTB	lymphotoxin beta (TNF superfamily, member 3)	1.13	0.18	0.16	1.01	0.43	0.42	0.89	down	0.038369689
1559822_s_at	BC009463		Clone IMAGE:3606519, mRNA, partial cds	0.88	0.20	0.22	1.06	0.26	0.24	1.20	up	0.011014583
1559835_at	BC039680		CDNA clone IMAGE:6149895, partial cds	1.63	0.89	0.55	0.88	0.29	0.33	0.54	down	0.013668535
1560396_at	AK097976	KLHL6	kelch-like 6 (Drosophila)	0.94	0.28	0.29	1.16	0.34	0.29	1.23	up	0.038369689
1560486_at	BC028028	STXBP3	syntaxin binding protein 3	0.77	0.25	0.33	1.13	0.30	0.27	1.48	up	0.001438145
1560703_at	BC042947	LOC201229	hypothetical protein LOC201229	1.24	0.26	0.21	0.96	0.32	0.33	0.78	down	0.005957871
1561973_at	AL833124	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2	1.31	0.43	0.33	0.98	0.16	0.16	0.75	down	0.011014583
1563674_at	AL833361	SPAP1	SH2 domain containing phosphatase anchor protein 1	1.32	0.37	0.28	1.34	0.70	0.52	1.02	up	0.048269105
1563715_at	AL713632		---	1.18	0.29	0.25	0.97	0.21	0.21	0.82	down	0.043092809
1564139_at	AK056852	LOC144571	hypothetical protein LOC144571	0.90	0.60	0.67	1.50	0.92	0.61	1.67	up	0.014663846
1565566_a_at	H21394		Full length insert cDNA YN68A11	0.83	0.20	0.24	1.11	0.21	0.19	1.33	up	0.005957871
1565651_at	BI868311		CDNA FLJ33210 fis, clone ADRGL2008535	1.08	0.10	0.09	1.01	0.20	0.20	0.94	down	0.013668535
1565716_at	BE930017		---	0.82	0.37	0.45	1.01	0.23	0.23	1.23	up	0.011014583
1566507_a_at	AK095315	FBXO9	F-box only protein 9	0.90	0.13	0.14	1.14	0.21	0.19	1.27	up	0.036191734
1566959_at	AL049273		MRNA; cDNA DKFZp564H023 (from clone DKFZp564H023)	0.66	0.31	0.46	1.49	0.85	0.57	2.25	up	5.63E-04
1567107_s_at	AF362887	TPM4	tropomyosin 4	0.88	0.15	0.17	1.00	0.33	0.33	1.14	up	0.014663846
1568618_a_at	BC038440	GALNT1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	0.85	0.36	0.42	1.12	0.39	0.35	1.32	up	0.009497343
1568830_at	BC029493	IRAK3	interleukin-1 receptor-associated kinase 3	0.87	0.25	0.29	1.37	0.63	0.46	1.57	up	0.010232337
1568877_a_at	BC025309	DKFZp434A2417	acyl-Coenzyme A binding domain containing 5	0.96	0.11	0.12	1.26	0.46	0.37	1.31	up	0.020589577
1569257_at	BC042925	FMNL	formin-like 1	1.08	0.16	0.15	1.03	0.29	0.28	0.95	down	0.034071627
1569512_at	BC022883		Clone IMAGE:4294265, mRNA	0.89	0.14	0.15	1.39	0.59	0.42	1.56	up	0.011846416
1569527_at	BC017275	C22orf1; 239AB; FAM1A	---	1.26	0.36	0.28	0.96	0.19	0.20	0.76	down	0.006992892
1570135_at	BC030810	ZNF230	zinc finger protein 230	1.46	0.43	0.29	1.26	0.51	0.40	0.86	down	0.009497343
200002_at	NM_007209	RPL35	ribosomal protein L35 /// ribosomal protein L35 /// ribosomal protein L35	1.15	0.24	0.21	0.91	0.26	0.28	0.80	down	0.030171071
200003_s_at	NM_000991	RPL28	ribosomal protein L28 /// ribosomal protein L28 /// ribosomal protein L28	1.08	0.13	0.12	0.98	0.15	0.15	0.91	down	0.038369689
200013_at	NM_000986	RPL24	MAM domain containing 2 /// MAM domain containing 2 /// MAM domain containing 2	1.17	0.26	0.22	0.96	0.27	0.28	0.82	down	0.038369689
200018_at	NM_001017	RPS13	ribosomal protein S13 /// ribosomal protein S13 /// ribosomal protein S13	1.09	0.11	0.10	0.99	0.14	0.14	0.91	down	0.025006967
200019_s_at	NM_001997	FAU	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30 /// Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30 /// Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30	1.14	0.19	0.17	1.03	0.15	0.15	0.91	down	0.020589577
200024_at	NM_001009	RPS5	ribosomal protein S5 /// ribosomal protein S5 /// ribosomal protein S5	1.19	0.30	0.25	0.97	0.28	0.29	0.81	down	0.011024637
200026_at	NM_000995	RPL34	ribosomal protein L34 /// ribosomal protein L34 /// ribosomal protein L34	1.10	0.13	0.12	0.94	0.23	0.25	0.86	down	0.020589577
200029_at	NM_000981	RPL19	ribosomal protein L19 /// ribosomal protein L19 /// ribosomal protein L19	1.10	0.14	0.13	0.99	0.15	0.15	0.90	down	0.011014583
200031_s_at	NM_001015	RPS11	ribosomal protein S11 /// ribosomal protein S11 /// ribosomal protein S11	1.09	0.13	0.12	1.00	0.14	0.14	0.91	down	0.016849603
200032_s_at	NM_000661	RPL9	ribosomal protein L9 /// ribosomal protein L9 /// ribosomal protein L9	1.11	0.16	0.14	0.99	0.15	0.15	0.89	down	0.011014583
200036_s_at	NM_007104	RPL10A	ribosomal protein L10a /// ribosomal protein L10a /// ribosomal protein L10a	1.26	0.24	0.19	0.96	0.33	0.34	0.77	down	0.002534309
200051_at	NM_005146	SART1	squamous cell carcinoma antigen recognised by T cells /// squamous cell carcinoma antigen recognised by T cells /// squamous cell carcinoma antigen recognised by T cells	1.12	0.11	0.10	1.08	0.25	0.23	0.96	down	0.020589577
