Symbol	Name	Median ratio	Locus link ID
PROM1	Prominin 1	3.44	8842
CDH2	Cadherin 2, type 1, N-cadherin (neuronal)	3.09	1000
CAMK2A	Calcium/calmodulin-dependent protein kinase II alpha	2.57	815
CARTPT	Cocaine-and amphetamine-regulated transcript	2.34	9607
UGT2B10	UDP glycosyltransferase 2 family, polypeptide B10	2.33	7365
SAA1	Serum amyloid A1	2.31	6288
GATM	Glycine amidinotransferase	2.23	2628
SPATA22	Testes development-related NYD-SP20	2.23	84690
C13orf16	Hypothetical protein MGC35169	2.22	121793
PRM1	Protamine 1	2.2	5619
LTF	Lactotransferrin	2.2	4057
DDC	Dopa decarboxylase	2.2	1644
CXCL14	Chemokine (C-X-C motif) ligand 14	2.19	9547
TRIM42	Tripartite motif-containing 42	2.19	287015
MAGEA2	Melanoma antigen family A, 2	2.17	4101
BBOX1	Butyrobetaine (gamma), 2-oxoglutarate dioxygenase 1	2.16	8424
CRB1	Crumbs homolog 1 (Drosophila)	2.14	23418
FGD2	FYVE, RhoGEF and PH domain containing 2	2.13	221472
IL8	Interleukin 8	2.13	3576
ALF	TFIIA-alpha/beta-like factor	2.11	11036
LOC123876	Xenobiotic/medium-chain fatty acid:CoA ligase	2.11	123876
C1orf182	SSTK-interacting protein	2.1	128229
FAM112A	Chromosome 20 open reading frame 65	2.09	149699
PCK1	Phosphoenolpyruvate carboxykinase 1 (soluble)	2.09	5105
ALDOB	Aldolase B, fructose-bisphosphate	2.08	229
TSCOT	Thymic stromal co-transporter	2.08	57864
C10ORF32	Chromosome 10 open reading frame 32	2.07
WDR48	WD repeat domain 48	2.05	57599
LYZ	Lysozyme (renal amyloidosis)	2.05	4069
TCP11	T-complex 11 (mouse)	2.03	6954
BAI3	Brain-specific angiogenesis inhibitor 3	2.03	577
GSTA2	Glutathione S-transferase A2	2.03	2939
AQP4	Aquaporin 4	2.02	361
LOC375295	Hypothetical gene supported by BC013438	2.02	375295
PTGER3	Prostaglandin E receptor 3 (sub-type EP3)	2.02	5733
PBK	PDZ binding kinase	2.01	55872
IGJ	Immunoglobulin J polypeptide	2.01	3512
LDHC	Lactate dehydrogenase C	2.01	3948
STMN2	Stathmin-like 2	2.01	11075
APOH	Apolipoprotein H (beta-2-glycoprotein I)	2	350
PLCH1	Phospholipase C-like 3	1.99	23007
MAP3K2	Mitogen-activated protein kinase kinase kinase 2	1.99	10746
BRD8	Bromodomain containing 8	1.98	10902
TRIM36	Tripartite motif-containing 36	1.97	55521
ADH4	Alcohol dehydrogenase 4 (class II), pi polypeptide	1.96	127
LOC283901	Hypothetical protein LOC283901	1.96	283901
CDKN3	Cyclin-dependent kinase inhibitor 3	1.95	1033
GAGE7B	G antigen 7	1.95	26748
MRC1L1	Mannose receptor, C type 1-like 1	1.95	414308
TLR1	Toll-like receptor 1	1.94	7096
