Probe ID	Gene description	D(i)	SD	P	Q	Fold changec
201292_at	Topoisomerase (DNA) IIa, 170 kDa	6	0.4	0	0	6.5
202920_at	Ankyrin 2, neuronal	5.7	0.4	0	0	5.9
228776_at	cDNA FLJ40955 fis, clone UTERU2011199	6.3	0.4	0	0	4.4
201761_at	Methylene tetrahydrofolate dehydrogenase (NAD+ dependent)	7.7	0.3	0	0	4.1
209900_s_at	Solute carrier family 16 (monocarboxylic acid transporters), member 1	6.7	0.3	0	0	3.9
218009_s_at	Protein regulator of cytokinesis 1	5.6	0.3	0	0	3.6
202234_s_at	Solute carrier family 16 (monocarboxylic acid transporters), member 1	7.1	0.2	0	0	3.5
209773_s_at	Ribonucleotide reductase M2 polypeptide	6.2	0.3	0	0	3.2
210052_s_at	TPX2, microtubule-associated protein homologue (Xenopus laevis)	6.5	0.2	0	0	3.2
218883_s_at	KSHV latent nuclear antigen interacting protein 1	5.5	0.3	0	0	3.1
225655_at	Ubiquitin-like, containing PHD and RING finger domains, 1	5.6	0.3	0	0	3.1
218039_at	Nucleolar and spindle-associated protein 1	6	0.3	0	0	3
204822_at	TTK protein kinase	5.7	0.2	0	0	2.9
227607_at	Associated molecule with the SH3 domain of STAM–like protein	5.8	0.3	0	0	2.8
201664_at	Structural maintenance of chromosomes 4-like 1 (yeast)	7.8	0.2	0	0	2.7
201663_s_at	Structural maintenance of chromosomes 4-like 1 (yeast)	5.7	0.2	0	0	2.5
212110_at	Solute carrier family 39 (zinc transporter), member 14	5.6	0.2	0	0	2.5
203554_x_at	Pituitary tumor-transforming 1	6.3	0.2	0	0	2.5
202338_at	Thymidine kinase 1, soluble	5.9	0.2	0	0	2.3
1555758_a_at	Cyclin-dependent kinase inhibitor 3	5.8	0.2	0	0	2.3
202954_at	Ubiquitin-conjugating enzyme E2	6.2	0.2	0	0	2.2
1554408_a_at	Thymidine kinase 1, soluble	6.1	0.2	0	0	2.2
227606_s_at	Associated molecule with the SH3 domain of STAM–like protein	5.6	0.2	0	0	2.1
203764_at	Discs, large homologue 7 (Drosophila)	5.9	0.2	0	0	2.1
221923_s_at	Nucleophosmin (nucleolar phosphoprotein B23, numatrin)	5.7	0.2	0	0	2
212295_s_at	Solute carrier family 7, member 1	5.4	0.2	0	0	2
204092_s_at	Serine/threonine kinase 6	5.6	0.2	0	0	2
202705_at	Cyclin B2	5.7	0.2	0	0	1.9
213188_s_at	MYC-induced nuclear antigen	5.8	0.2	0	0	1.9
228245_s_at	Ovostatin 2	6	0.2	0	0	1.9
207828_s_at	Centromere protein F, 350/400ka (mitosin)	5.6	0.2	0	0	1.9
205345_at	BRCA1-associated RING domain 1	5.6	0.2	0	0	1.9
203669_s_at	Diacylglycerol O-acyltransferase homologue 1 (mouse)	5.8	0.1	0	0	1.8
213689_x_at	Ribosomal protein L5	5.8	0.1	0	0	1.7
203562_at	Fasciculation and elongation protein f1 (zygin I)	5.6	0.1	0	0	1.7
214096_s_at	Serine hydroxymethyltransferase 2 (mitochondrial)	5.4	0.1	0	0	1.7
205651_x_at	Rap guanine nucleotide exchange factor 4	5.4	0.1	0	0	1.7
213947_s_at	Nucleoporin 210	5.7	0.1	0	0	1.7
230165_at	Shugoshin-like 2 (Schizosaccharomyces pombe)	5.4	0.1	0	0	1.6
218950_at	ARF-GAP, Rho-GAP, ankyrin repeat and plekstrin homology domain-containing protein 3	6.5	0.1	0	0	1.6
203022_at	RNase H2, large subunit	6.4	0.1	0	0	1.5
203719_at	Excision repair cross-complementing rodent repair deficiency	6.3	0.1	0	0	1.5
218115_at	ASF1 anti-silencing function 1 homologue B (Saccharomyces cerevisiae)	5.4	0.1	0	0	1.5
210023_s_at	Likely orthologue of mouse nervous system polycomb 1	6.1	0.1	0	0	1.4
221591_s_at	Hypothetical protein FLJ10156	5.6	0.1	0	0	1.4
204126_s_at	CDC45 cell division cycle 45-like (S. cerevisiae)	6.7	0.1	0	0	1.3
214426_x_at	Chromatin assembly factor 1, subunit A (p150)	5.9	0.1	0	0	1.3
212313_at	Hypothetical protein MGC29816	5.9	0.1	0	0	1.3
221779_at	Molecule interacting with Rab13	5.8	0.1	0	0	1.3
239680_at	Hypothetical protein FLJ12973	6	0.1	0	0	1.3
