Agilent Probe ID	GeneName	TopHit	Description	P.Value
A_23_P340698	MMP12	ref|NM_002426|gb|L23808|ens|ENST00000326227|gb|CR603756	Homo sapiens matrix metalloproteinase 12 (macrophage elastase) (MMP12), mRNA [NM_002426]	3.32E-103
A_24_P371962	AMD1	ref|NM_001634|gb|CR599478|gb|AK125644|gb|AK130474	Homo sapiens adenosylmethionine decarboxylase 1 (AMD1), mRNA [NM_001634]	5.71E-103
A_23_P7144	CXCL1	ref|NM_001511|gb|BC011976|gb|J03561|gb|X12510	Homo sapiens chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha) (CXCL1), mRNA [NM_001511]	2.59E-98
A_23_P75769	MS4A4A	ref|NM_024021|ref|NM_148975|gb|BC020648|ens|ENST00000343968	Homo sapiens membrane-spanning 4-domains, subfamily A, member 4 (MS4A4A), transcript variant 1, mRNA [NM_024021]	9.47E-98
A_23_P352861	TRBV5-4	gb|BC028083|gb|BC071724|gb|BC036926|ens|ENST00000343186	Homo sapiens cDNA clone MGC:40031 IMAGE:5217067, complete cds. [BC028083]	6.12E-96
A_23_P19543	SRPK1	ref|NM_003137|gb|AJ318054|gb|BC038292|ens|ENST00000346162	Homo sapiens SFRS protein kinase 1 (SRPK1), mRNA [NM_003137]	1.29E-88
A_23_P58266	S100P	ref|NM_005980|gb|AF539739|gb|X65614|gb|BC006819	Homo sapiens S100 calcium binding protein P (S100P), mRNA [NM_005980]	2.62E-87
A_24_P159181	PDCD7	ref|NM_005707|gb|AK096970|gb|AF083930|gb|BC092464	Homo sapiens programmed cell death 7 (PDCD7), mRNA [NM_005707]	7.23E-86
A_23_P214950	PERP	ref|NM_022121|gb|AK074585|gb|AK097958|gb|CR623871	Homo sapiens PERP, TP53 apoptosis effector (PERP), mRNA [NM_022121]	6.46E-84
A_24_P416131	COTL1	ref|NM_021149|gb|AK127352|gb|BC053682|gb|CR625832	Homo sapiens coactosin-like 1 (Dictyostelium) (COTL1), mRNA [NM_021149]	4.60E-80
A_24_P931211	ROPN1	gb|AL133624|ens|ENST00000340906|gb|BC067767|thc|THC2262630	Homo sapiens mRNA; cDNA DKFZp434B1222 (from clone DKFZp434B1222). [AL133624]	7.91E-80
A_23_P91081	TACSTD1	ref|NM_002354|gb|BC014785|gb|CR593061|gb|CR626162	Homo sapiens tumor-associated calcium signal transducer 1 (TACSTD1), mRNA [NM_002354]	7.99E-80
A_23_P401076	SUSD3	ref|NM_145006|gb|AK128289|gb|AY358190|gb|BC014601	Homo sapiens sushi domain containing 3 (SUSD3), mRNA [NM_145006]	3.47E-78
A_23_P34676	CD247	ref|NM_198053|ref|NM_000734|gb|AK128376|gb|BC025703	Homo sapiens CD3Z antigen, zeta polypeptide (TiT3 complex) (CD3Z), transcript variant 1, mRNA [NM_198053]	2.09E-77
A_24_P691826	A_24_P691826	gb|BQ186674|thc|THC2277801|thc|THC2277797|thc|THC2277803	UI-E-EJ1-ajr-f-10-0-UI.r1 UI-E-EJ1 Homo sapiens cDNA clone UI-E-EJ1-ajr-f-10-0-UI 5, mRNA sequence [BQ186674]	2.95E-77
A_23_P166248	RCAN1	ref|NM_004414|ref|NM_203418|ref|NM_203417|gb|AK131569	Homo sapiens Down syndrome critical region gene 1 (DSCR1), transcript variant 1, mRNA [NM_004414]	3.00E-77
A_23_P64129	HTATIP2	ref|NM_006410|gb|BC002439|gb|U69161|gb|AK223010	Homo sapiens HIV-1 Tat interactive protein 2, 30kDa (HTATIP2), mRNA [NM_006410]	1.93E-76
A_23_P111381	ATG5	ref|NM_004849|gb|BX537904|gb|Y11588|ens|ENST00000360666	Homo sapiens APG5 autophagy 5-like (S. cerevisiae) (APG5L), mRNA [NM_004849]	3.00E-76
A_23_P432352	CXorf61	ref|NM_001017978|gb|BC062223|gb|AK000618|gb|AK026566	Homo sapiens hypothetical LOC203413 (LOC203413), mRNA [NM_001017978]	6.42E-75
A_23_P209678	PLEK	ref|NM_002664|gb|BC018549|gb|X07743|gb|AB208967	Homo sapiens pleckstrin (PLEK), mRNA [NM_002664]	4.02E-73
A_23_P26965	CCL13	ref|NM_005408|gb|Z77651|gb|BC008621|gb|U59808	Homo sapiens chemokine (C-C motif) ligand 13 (CCL13), mRNA [NM_005408]	1.21E-72
A_23_P145096	PLA2G7	ref|NM_005084|gb|BC038452|gb|CR615354|gb|CR608325	Homo sapiens phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma) (PLA2G7), mRNA [NM_005084]	1.33E-72
A_23_P169437	LCN2	ref|NM_005564|gb|CR542092|gb|BC033089|gb|S75256	Homo sapiens lipocalin 2 (oncogene 24p3) (LCN2), mRNA [NM_005564]	3.70E-72
A_32_P188953	C21orf34	ref|NM_001005732|ref|NM_001005733|ref|NM_001005734|gb|AF486622	Homo sapiens chromosome 21 open reading frame 34 (C21orf34), transcript variant 1, mRNA [NM_001005732]	4.23E-72
