Feature no.	Clone ID	Gene symbol	Gene name	Locus link
12574	554367	TXNIP	Thioredoxin interacting protein	10628
14387	488488	TXNIP	Thioredoxin interacting protein	10628
35178	208718	ANXA1	Annexin A1	301
33376	753610	APOE	Apolipoprotein E	348
5382	346510	CLDN4	Claudin 4	1364
38086	259884	GPR126	G-protein coupled receptor 126	57211
21311	290162	FLJ10726	Hypothetical protein FLJ10726	84250
24341	1928791	F3	Coagulation factor III (thromboplastin, tissue factor)	2152
42503	825461	GADD45B	Growth arrest and DNA-damage-inducible, beta	4616
35087	726035	JUN	v-Jun sarcoma virus 17 oncogene homolog (avian)	3725
34836	609377	KAB	KIAA0470 gene product	9859
40101	280375	ATAD2	ATPase family, AAA domain containing 2	84325
28879	700302	OSTF1	Osteoclast stimulating factor 1	26578
24762	416676	PELI1	Pellino homolog 1 (Drosophila)	57162
2042	235909	STARD4	START domain containing 4, sterol regulated	134429
35082	713696	TIMP1	Tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	7076
41478	840788	TMSB10	Thymosin, beta 10	9168
37772	1473171	TXNIP	Thioredoxin interacting protein	10628
4395	924929	LOC222171	ESTs, weakly similar to putative protein (Arabidopsis thaliana) (A.thaliana)	222171
12939	79216	AHNAK	AHNAK nucleoprotein (desmoyokin)	79026
30572	1473168	ZC3HDC6	Zinc-finger CCCH-type containing 6	376940
