UniGene cluster ID	GenBank accession number	Gene title	Gene symbol	Fold change	Function
Hs.164226	AV726673	Thrombospondin 1	THBS1	-6.15	Anti-angiogenesis
Hs.356076	AW675725	Baculoviral IAP repeat-containing 4	BIRC4	-4.00	Anti-apoptosis
Hs.159528	AF052145.1	Zinc finger protein 804A	ZNF804A	22.63	Binding
Hs.244590	BF590303	BTB (POZ) domain containing 3	BTBD3	17.15	Binding
Hs.188401	AF196478.1	Annexin A10	ANXA10	14.93	Binding
Hs.655301	AL080104.1	Neuron navigator 3	NAV3	9.85	Binding
Hs.475629	AU147983	TBC1 domain family, member 5	TBC1D5	9.85	Binding
Hs.442781	BC020814.1	SGT1, suppressor of G2 allele of SKP1 like 1 (Saccharomyces cerevisiae)	SUGT1L1	6.06	Binding
Hs.655532	NM_006465.1	AT rich interactive domain 3B (BRIGHT-like)	ARID3B	-4.29	Binding
Hs.529449	NM_006051.1	Amyloid beta (A4) precursor protein-binding, family B, member 3	APBB3	-4.92	Binding
Hs.109212	AL578103	Kelch-like 17 (Drosophila)	KLHL17	-5.66	Binding
Hs.592313	AV735587	Rho GTPase activating protein 5	ARHGAP5	22.63	Cell adhesion
Hs.167368	NM_004389.1	Catenin (cadherin-associated protein), alpha 2	CTNNA2	12.13	Cell adhesion
Hs.41296	NM_013281.1	Fibronectin leucine rich transmembrane protein 3	FLRT3	10.5	Cell adhesion
Hs.651939	AL831897.1	Membrane associated guanylate kinase, WW and PDZ domain containing 1	MAGI1	9.19	Cell adhesion
Hs.570785	AB006757.1	Protocadherin 7	PCDH7	8	Cell adhesion
Hs.369397	NM_000358.1	Transforming growth factor, beta-induced, 68 kDa	TGFBI	4.29	Cell adhesion
Hs.592171	NM_002214.1	Integrin, beta 8	ITGB8	-13.78	Cell adhesion
Hs.469840	T97999	Cytoplasmic linker associated protein 1	CLASP1	4	Cell cycle
Hs.220864	AA709148	Chromodomain helicase DNA binding protein 2	CHD2	32	Chromosome organization and biogenesis
Hs.69997	NM_006352.1	Zinc finger protein 238	ZNF238	-12.86	Chromosome organization and biogenesis
Hs.66744	X99268.1	Twist homolog 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome; Drosophila)	TWIST1	-39.40	Chromosome organization and biogenesis
Hs.272375	AF169963.1	Wingless-type MMTV integration site family, member 16	WNT16	4	Development
Hs.654412	AL049381.1	Pre-B-cell leukemia homeobox 1	PBX1	6.06	Development
Hs.570855	AL833266.1	Platelet derived growth factor C	PDGFC	4	Development
Hs.567542	AF312769.1	Cripto, FRL-1, cryptic family 1	CFC1	6.06	Development
Hs.654380	BC002690.1	Keratin 14 (epidermolysis bullosa simplex, Dowling-Meara, Koebner; Homo sapiens)	KRT14	-18.38	Development
Hs.495912	S71486.1	Dystrophin (muscular dystrophy, Duchenne and Becker types)	DMD	12.13	Development
Hs.478000	AW296451	Muscleblind-like (Drosophila)	MBNL1	17.48	Development
Hs.368240	R91245	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A	DYRK1A	25.99	Development
Hs.266175	AK000680.1	Phosphoprotein associated with glycosphingolipid microdomains 1	PAG1	16	Immune response
Hs.128065	AV699565	Cathepsin C	CTSC	7.46	Immune response
Hs.654396	J04162.1	Fc fragment of IgG, low affinity IIIb, receptor (CD16b)	FCGR3B	7.46	Immune response
Hs.269109	NM_006379.1	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	SEMA3C	5.63	Immune response
Hs.653216	M19301.1	Dihydrolipoamide branched chain transacylase E2	DBT	4.92	Metabolism
Hs.460558	AI580112	Sulfotransferase family, cytosolic, 1A, phenol-preferring, member 4	SULT1A4	-4.59	Metabolism
Hs.531682	NM_000691.1	Aldehyde dehydrogenase 3 family, memberA1	ALDH3A1	8	Metabolism
Hs.439777	U62733.1	Carnitine palmitoyltransferase 1B (muscle)	CPT1B	-5.28	Metabolism
Hs.657617	AI806583	Lysophospholipase-like 1	LYPLAL1	4.29	Metabolism
Hs.48384	AA780067	Heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	HS3ST3B1	-19.70	Metabolism
Hs.591845	U42349.1	Tumor suppressor candidate 3	TUSC3	-4.59	Metabolism
Hs.193226	BE156619	UDP-glucose ceramide glucosyltransferase-like 2	UGCGL2	4	Metabolism
Hs.216653	AK095307.1	F-box protein 9	FBXO9	-6.06	Metabolism
