Code	Symbol	Gene name	FC
219873_at	COLEC11	Collectin subfamily member 11	7.69
203824_at	TSPAN8	Tetraspanin 8	4.55
209242_at	PEG3	Paternally expressed 3	4.17
218804_at	TMEM16A	Transmembrane protein 16A	4.17
209443_at	SERPINA5	Serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin)	4
204450_x_at	APOA1	Apolipoprotein A-I	3.85
204934_s_at	HPN	Hepsin (transmembrane protease, serine 1)	3.85
202992_at	C7	Complement component 7	3.7
202991_at	STARD3	START domain containing 3	3.03
204187_at	GMPR	Guanosine monophosphate reductase	3.03
219568_x_at	SOX18	SRY (sex determining region Y)-box 18	2.94
221491_x_at	HLA-DRB3	Major histocompatibility complex, class II, DR beta 3	2.94
202350_s_at	MATN2	Matrilin 2	2.86
221874_at	KIAA1324	NA	2.86
204591_at	CHL1	Cell adhesion molecule with homology to L1CAM (close homolog of L1)	2.78
205862_at	GREB1	NA	2.56
210059_s_at	MAPK13	Mitogen-activated protein kinase 13	2.56
214079_at	DHRS2	Dehydrogenase/reductase (SDR family) member 2	2.56
208498_s_at	AMY1A	Amylase, alpha 1A	2.5
204203_at	CEBPG	CCAAT/enhancer binding protein (C/EBP), gamma	2.38
205485_at	RYR1	Ryanodine receptor 1 (skeletal)	2.38
205975_s_at	HOXD1	Homeo box D1	2.38
204205_at	APOBEC3G	Apolipoprotein B messenger RNA editing enzyme, catalytic polypeptide-like 3G	2.27
209921_at	SLC7A11	Solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	2.27
204529_s_at	TOX	NA	2.22
201656_at	ITGA6	Integrin, alpha 6	2.13
202152_x_at	USF2	Upstream transcription factor 2, c-fos interacting	2.13
205166_at	CAPN5	Calpain 5	2.13
214868_at	PIWIL1	Piwi-like 1 (Drosophila)	2.13
203921_at	CHST2	Carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	2.08
205258_at	INHBB	Inhibin, beta B (activin AB beta polypeptide)	2.08
218417_s_at	FLJ20489	NA	2.08
218454_at	FLJ22662	NA	2.08
220051_at	PRSS21	Protease, serine, 21 (testisin)	2.08
201883_s_at	B4GALT1	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 1	2
210010_s_at	SLC25A1	Solute carrier family 25 (mitochondrial carrier)	2
