Cytoband	Oncogene in Region	Number of Amplified Samples (and Recurrences)	Mean Survival Among Amplified Samples†	Mean Survival Among Unamplified Samples†	Bonferroni-Corrected P-Value‡
1p34.3	---	25 (5)	4.2	4.7	1
1q42.13	LMYC	33 (8)	4.2	4.9	0.9
3q26.32	PIK3CA	9 (4)	2.4	4.8	0.03
6p21.2	---	8 (3)	2.6	4.7	0.4
7p11.2	EGFR	8 (2)	3.7	4.6	1
8q24.21	MYC	16 (4)	4	4.7	1
10q22.2	---	10 (4)	3	4.8	0.6
12p12.1	KRAS	7 (4)	2.4	4.9	0.01
17q12	ERBB2	16 (4)	4.2	4.7	1
19q12	CCNE1	29 (6)	4.3	4.7	1
20q13.2	AURKA	14 (5)	3.3	4.8	0.4
