Gene ID	SAM Score(d)	Fold Change
HMMR	-29.04406633	0.415871606
BM039	-23.89397535	0.463792947
IPO7	-23.31193168	0.287664927
CDC20	-22.2718989	0.350813213
SIPA1L1	-21.47794967	0.412865179
FLJ11029	-20.40650502	0.428582105
KPNA2	-20.31510364	0.418821186
C10orf3	-19.25999111	0.486140035
LOC129642	-18.43995062	0.416982498
CENPA	-18.07621511	0.373709641
DC13	-17.70746903	0.434552926
AMACR	-17.10693279	0.215731947
CDC2	-16.70233206	0.321450923
FLJ14502	-16.38863087	0.492541677
ASRGL1	-16.06758694	0.481439967
ALDOA	-16.05017577	0.101105426
CCNB1	-16.03584735	0.396781575
LOC147463	-15.9278213	0.427863645
FLJ10156	-15.89914687	0.428565507
GSR	-15.81025263	0.301190299
JJAZ1	-15.27881734	0.494841269
TSC	-15.24035753	0.381812902
MGC45866	-15.21551212	0.431957946
ERH	-15.13280094	0.348076246
CCNA2	-15.12904521	0.471588395
UBE2G1	-15.12784777	0.451857142
CDCA8	-15.00889774	0.457810651
ELOVL2	-14.12740684	0.389411649
ELOVL6	-13.75683157	0.481094856
BAD	-13.64650607	0.295580145
GDF15	-13.55889042	0.118655579
SCAMP3	-13.17174921	0.365778402
GRP58	-13.16743916	0.371175671
PTTG1	-13.10172981	0.462289645
KIF5B	-12.93284139	0.401547676
ACTR2	-12.87552005	0.32986902
CDKN3	-12.82688049	0.423494925
SIMP	-12.41501212	0.438111592
CYP4F8	-12.28226639	0.306184632
CDC2	-12.17248525	0.379418821
LISCH7	-12.09565347	0.492099009
DKFZP434C245	-12.0724537	0.46247815
UBE2C	-11.97944232	0.368078677
LOC283698	-11.86194818	0.127479912
FOXM1	-11.83603549	0.494483761
LOC143458	-11.80397606	0.48354103
H2AFX	-11.71524083	0.477791289
FIGNL1	-11.65424307	0.482995581
CDC25C	-11.62341295	0.339248673
FKBP1A	-11.54742912	0.49017572
CDC42	-11.53405402	0.413350049
HLA-DMB	-11.43461013	0.181272681
KIAA0101	-11.43175525	0.459013565
YWHAZ	-11.3876084	0.497381991
CD151	-11.36202683	0.359218461
PDCD8	-11.33587425	0.4288232
GOLPH4	-11.30086129	0.359160148
HMG1L10	-11.21231201	0.482166546
PTTG2	-11.18879957	0.442925882
TPX2	-10.91577013	0.429204527
PKM2	-10.59733616	0.392690358
ADRB2	-10.58236717	0.330346211
GHRHR	-10.47668399	0.163970135
SHMT1	-10.29644194	0.468725512
UBE2G1	-10.2900893	0.479225737
MGC13170	-10.20236816	0.284444965
ILF3	-10.19479284	0.286666941
LOC374621	-9.893761158	0.439568989
CIT	-9.784244545	0.47440697
ANP32A	-9.65768342	0.474826143
KLK3	-9.651456804	0.097760925
ARHGDIB	-9.644508391	0.408673703
KIFC1	-9.6041686	0.47554265
TOP1	-9.523137781	0.406728375
CSDA	-9.466512383	0.335372801
LOC150498	-9.411645823	0.229414284
HNRPA2B1	-9.327777247	0.39779778
SNX5	-9.102518953	0.268071376
ZBTB10	-9.073059341	0.34746315
MMD	-9.06939036	0.439657511
DKFZp762E1312	-9.059714936	0.483670193
KIF23	-9.037351277	0.48948468
TPM3	-8.944925226	0.416121758
Lrp2bp	-8.930811223	0.37647091
CRK	-8.895516637	0.494334347
PICALM	-8.86828283	0.489699918
MIG-6	-8.819413766	0.482396654
RRM2	-8.790606609	0.284142719
DKFZp761P0423	-8.727505558	0.478256099
SMARCA3	-8.720014969	0.477277898
GULP1	-8.603742392	0.474202385
PCNA	-8.473568845	0.248325466
CST2	-8.398794098	0.17388912
LIMD1	-8.153709143	0.443255993
MORF4	-8.065823845	0.44294243
DKFZP434J046	-8.03219237	0.459562586
NEDD1	-8.022162203	0.447245713
HIST2H2AA	-7.938526919	0.150720861
HCAP-G	-7.889345574	0.475792045
TMPO	-7.87886697	0.363730847
MARK2	-7.87246055	0.470446523
TENS1	-7.852643143	0.409511167
BRD4	-7.837766703	0.459685931
PRKACB	-7.828530393	0.478718902
HIST1H1C	-7.634652982	0.352750808
ERG	-7.631476988	0.321896286
OAZIN	-7.55616332	0.45708653
SPAG5	-7.53614114	0.459980151
TSC22	-7.520554536	0.288883771
PSEN1	-7.453749999	0.452374128
ITGB1	-7.447562571	0.289211503
SLC39A6	-7.419247127	0.328395921
DIRAS2	-7.37200785	0.465262151
PCNA	-7.260979913	0.474538741
ATP1A1	-7.214425588	0.352937829
LAMA3	-7.211512171	0.476385187
HSPC150	-7.158261983	0.427474669
MYH13	-7.136444106	0.368782385
RPL8	-7.118103018	0.482687171
LOC389816	-7.111679763	0.388033158
LOC388561	-7.100461693	0.339621109
CDC14B	-7.04066379	0.156424127
UBA2	-7.009436071	0.426468327
HIST2H4	-6.99146065	0.185307223
LYPLA1	-6.93804843	0.383581849
TMPRSS2	-6.891757375	0.29997962
TK1	-6.765901085	0.382256664
AWP1	-6.632149904	0.464262083
DPP3	-6.570022142	0.452109928
UBE2E1	-6.542950514	0.482022449
DIABLO	-6.525954386	0.419897132
SLPI	-6.480138022	0.118014097
TXNIP	-6.400963453	0.262529536
BTEB1	-6.312792338	0.197037401
MGC4399	-6.261922752	0.422929275
C21orf33	-6.260544753	0.380276565
ATP1B3	-6.151543999	0.431348219
EFNA1	-6.088082461	0.485770934
