Acce. No.  	Gene name  	Fold changes  	Function
NM_004964 	Histone deacetylase 1 (HDAC1) 	0.41 0.05 	Transcription regulation 
AF136630 	Heterochromatin-like protein 1 (HECH) 	2.37 0.45 	Transcription regulation 
NM_000184 	Hemoglobin, gamma G (HBG2) 	2.46 0.38 	Transport 
NM_000430 	Platelet-activating factor acetylhydrolase, Isoform Ib, alpha subunit (45 kD) (PAFAH1B1) 	2.19 0.32 	Transport 
NM_001753 	Caveolin 1 caveolae protein, 22 kD (CAV1) 	2.89 0.53 	Transport 
BC013081 	Metallothionein 3 (growth inhibitory factor (neurotrophic)) (MT3) 	0.39 0.04 	Transport 
BC032589 	Beta-2-microglobulin(B2M) 	0.39 0.06 	Immune response 
BC053521 	Spectrin, alpha, non-erythrocytic 1 (alpha-fodrin) (SPTAN1) 	2.52 0.31 	Cytoskeleton organization 
NT_024524 	PIBF1 gene product 	2.12 0.27 	Cytoskeleton organization 
BC007615 	Ribosomal protein S19 (RPS19) 	0.42 0.05 	Protein biosynthesis 
NM_005211 	Colony stimulating factor 1 receptor, Formerly McDonough feline sarcoma Viral (v-fms) oncogene homolog (CSF1R) 	0.43 0.08 	Signal transduction 
BC021288 	Lysosomal-associated membrane protein 1 (LAMP1) 	2.29 0.32 	Signal transduction 
U27325 	Thromboxane A2 receptor (TBXA2R) 	0.45 0.06 	Signal transduction 
NM_000450 	Selectin E (endothelial adhesion molecule 1) (SELE) 	0.39 0.02 	Cell adhesion 
BC020214 	Butyrophilin, subfamily 3, member A2 (BTN3A2) 	2.63 0.60 	Cell adhesion 
BC011714 	Heterogeneous nuclear ribonucleoprotein D-like (HNRPDL) 	2.59 0.52 	RNA processing 
BC029138 	Phosphofructokinase, platelet (PFKP) 	0.41 0.08 	Metabolism 
BC012828 	Non-metastatic cells 6, protein expressed in (nucleoside-diphosphate kinase) (NM23-H6) 	2.99 0.46 	Metabolism 
