Accession #	n-fold change in expression	Gene
AW537708	10.76 ± 3.65	platelet derived growth factor receptor, alpha polypeptide
BI794771	8.04 ± 3.23	procollagen, type I, alpha 1
AV152953	7.52 ± 11.77	transthyretin
BI452727	4.39 ± 1.70	follistatin-like
BI692925	4.33 ± 3.30	chondroitin sulfate proteoglycan 2
BB067079	4.03 ± 4.54	wingless-related MMTV integration site 5A (Wnt5a)
NM_009398	3.92 ± 2.53	tumor necrosis factor induced protein 6
NM_009822	3.70 ± 1.44	CBFA2T1 identified gene homolog (human, Cbfa2T1h)
NM_013598	3.69 ± 0.82	kit ligand (Kitl), mast cell growth factor
BC015254	3.67 ± 1.36	chemokine orphan receptor 1
BG968894	3.67 ± 2.61	procollagen, type III, alpha 1
BI220012	3.55 ± 0.99	Heat shock protein 47, member 1
NM_010449	3.53 ± 2.13	homeo box A1 (Hoxa1)
BC019150	3.53 ± 1.31	homeo box D9 (HoxD9)
BG083485	3.29 ± 1.09	SRY-box containing gene 4
NM_008393	3.25 ± 1.07	Iroquois related homeobox 3 (Drosophila, Irx3)
AI323791	3.18 ± 0.39	transforming growth factor, beta 2
NM_030887	3.16 ± 0.79	Jun dimerization protein 2
L24755	3.12 ± 2.19	bone morphogenetic protein
BF144658	3.00 ± 0.51	transforming growth factor, beta 2
NM_010514	2.88 ± 1.06	insulin-like growth factor 2
AA499047	2.78 ± 0.69	platelet derived growth factor receptor, beta polypeptide
BB732903	2.75 ± 1.16	fibroblast growth factor receptor 3
BF227507	2.71 ± 0.49	procollagen, type I, alpha 2
U63146	2.66 ± 1.34	retinol binding protein
AW681763	2.60 ± 2.87	insulin-like growth factor 2, binding protein 3
AK004383	2.56 ± 2.43	procollagen, type IX, alpha 1
NM_017463	2.52 ± 2.28	pre B-cell leukemia transcription factor 2 (Pbx2)
BG076079	2.51 ± 0.64	FBJ osteosarcoma oncogene B
BC028256	2.34 ± 0.58	Similar to erbb2 interacting protein
AU016382	2.32 ± 2.07	transforming growth factor beta 1 induced transcript 4
NM_013589	2.29 ± 3.02	latent transforming growth factor beta binding protein 2
NM_011658	2.26 ± 0.65	twist gene homolog, (Drosophila)
BG075165	2.21 ± 1.96	insulin-like growth factor 1
BB539054	2.15 ± 0.38	platelet-activating factor acetylhydrolase, isoform 1b, alpha2 subunit
BM248342	2.14 ± 1.62	transforming growth factor, beta receptor I
NM_008872	2.14 ± 0.83	plasminogen activator, tissue
NM_018826	2.07 ± 1.51	Iroquois related homeobox 5 (Drosophila, Irx5)
