UGCluster	Name
Hs.134106	mitogen-activated protein kinase kinase 4
Hs.14559	chromosome 10 open reading frame 3
Hs.147159	ring finger protein 103
Hs.153752	cell division cycle 25B
Hs.156346	topoisomerase (DNA) II alpha 170kDa
Hs.169946	GATA binding protein 3
Hs.179565	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)
Hs.179718	v-myb myeloblastosis viral oncogene homolog (avian)-like 2
Hs.180903	hypothetical protein 384D8_6
Hs.183861	Snf7 homologue associated with Alix 3
Hs.20830	kinesin family member C1
Hs.250822	serine/threonine kinase 6
Hs.270845	kinesin family member 23
Hs.279413	polymerase (DNA directed), delta 1, catalytic subunit 125kDa
Hs.293007	aminopeptidase puromycin sensitive
Hs.298646	ATPase family, AAA domain containing 2
Hs.308019	hypothetical protein FLJ10980
Hs.323583	hypothetical protein DKFZp434L142
Hs.334562	cell division cycle 2, G1 to S and G2 to M
Hs.349695	tubulin, alpha 2
Hs.350966	pituitary tumor-transforming 1
Hs.35120	replication factor C (activator 1) 4, 37kDa
Hs.351623	transcription factor RAM2
Hs.352018	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)
Hs.356108	HGS_RE408
Hs.368916	KIAA0040 gene product
Hs.370771	cyclin-dependent kinase inhibitor 1A (p21, Cip1)
Hs.371468	cyclin D1 (PRAD1: parathyroid adenomatosis 1)
Hs.374378	CDC28 protein kinase regulatory subunit 1B
Hs.388613	neogenin homolog 1 (chicken)
Hs.413078	nudix (nucleoside diphosphate linked moiety X)-type motif 1
Hs.416854	RAS-like, estrogen-regulated, growth inhibitor
Hs.42954	anterior pharynx defective 1B-like
Hs.433986	prolyl endopeptidase
Hs.436187	thyroid hormone receptor interactor 13
Hs.440808	formin binding protein 1
Hs.446564	damage-specific DNA binding protein 2, 48kDa
Hs.49932	chromosome 21 open reading frame 45
Hs.511941	forkhead box M1
Hs.57787	membrane targeting (tandem) C2 domain containing 1
Hs.656	cell division cycle 25C
Hs.75318	tubulin, alpha 1 (testis specific)
Hs.75462	BTG family, member 2
Hs.77204	centromere protein F, 350/400ka (mitosin)
Hs.78619	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
Hs.79078	MAD2 mitotic arrest deficient-like 1 (yeast)
Hs.79136	solute carrier family 39 (zinc transporter), member 6
Hs.80976	antigen identified by monoclonal antibody Ki-67
Hs.84113	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
Hs.85137	cyclin A2
Hs.93002	ubiquitin-conjugating enzyme E2C
Hs.95243	transcription elongation factor A (SII)-like 1
