Gene Symbol	Gene Name	Fold Change AC vs. NT	q-value	Function
COL1A1	collagen, type I, alpha 1	7.98	1.22	cell structure
KRT7	keratin 7	5.11	0.53	cell structure
PLS3	plastin 3	2.43	0.53	cell structure
TMSB10	thymosin, beta 10	2.01	0.89	cell structure
ARPC1B	actin related protein 2/3 complex, 1B	2.38	1.22	cell structure
TUBA3	tubulin, alpha 3	0.39	1.22	cell structure
TUBB2	tubulin, beta 2	0.33	0.53	cell structure
KRT15	keratin 15	0.06	0.53	cell structure
KRT5	keratin 5	0.05	0.53	cell structure
ICAM1	intercellular adhesion molecule 1	5.80	0.89	cell adhesion
ITGB2	integrin, &#x03AF;-2	2.48	1.22	cell adhesion
ITGA3	integrin ?-3	2.02	1.53	cell adhesion
DSG3	desmoglein 3	0.48	0.53	cell adhesion
DSC3	desmocollin 3	0.32	0.53	cell adhesion
SERPINH1	serine (or cysteine) proteinase inhibitor, clade H	3.27	0.89	oncogenesis
PNMA2	paraneoplastic antigen MA2	3.13	0.89	oncogenesis
MSH3	mutS homolog 3	0.44	0.53	oncogenesis
MYB	v-myb Avian Myeloblastosis viral oncogene homolog	0.39	0.53	oncogenesis
RABL2B	rab-like 2B	0.34	0.53	oncogenesis
RABL2A	rab-like 2A	0.27	0.53	oncogenesis
