CLASSIFICATION	Gene Name	Gene Symbol	fold change (down regulated)
immune response	carcinoembryonic antigen-related cell adhesion molecule 8	CEACAM8	110.5
immune response	granulysin	GNLY	68.7
immune response	perforin 1 (pore forming protein)	PRF1	48.1
immune response	killer cell lectin-like receptor subfamily C, member 3	KLRC3	47.3
immune response	T-cell receptor interacting molecule	TRIM	39.7
immune response	chemokine (C motif) ligand 2	XCL2	38.6
immune response	interleukin 7 receptor	IL7R	31.2
immune response	chemokine (C motif) ligand 1	XCL1	29.7
immune response	killer cell lectin-like receptor subfamily B, member 1	KLRB1	28.5
immune response	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	GZMA	26.4
immune response	CD3G antigen, gamma polypeptide (TiT3 complex)	CD3G	20.6
immune response	chemokine (C-C motif) ligand 5	CCL5	20.5
immune response	myeloid cell nuclear differentiation antigen	MNDA	17.1
immune response	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	15.9
immune response	IL2-inducible T-cell kinase	ITK	15.5
immune response	interleukin 18 receptor accessory protein	IL18RAP	15.3
immune response	CD2 antigen (p50), sheep red blood cell receptor	CD2	14.5
immune response	neutrophil cytosolic factor 1 (47kDa, chronic granulomatous disease, autosomal 1)	NCF1	14.2
immune response	CD8 antigen, alpha polypeptide (p32)	CD8A	14.1
immune response	CD7 antigen (p41)	CD7	13.3
immune response	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 6	CLECSF6	13
immune response	CD3D antigen, delta polypeptide (TiT3 complex)	CD3D	12.7
immune response	azurocidin 1 (cationic antimicrobial protein 37)	AZU1	11.8
immune response	chemokine (C-C motif) receptor 7	CCR7	11
immune response	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	SERPINA1	10.6
immune response	CD8 antigen, beta polypeptide 1 (p37)	CD8B1	10.6
immune response	leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3	LILRA3	10.6
immune response	S100 calcium binding protein A9 (calgranulin B)	S100A9	10.5
immune response	killer cell lectin-like receptor subfamily F, member 1	KLRF1	10.2
immune response	chemokine (C-C motif) ligand 4	CCL4	10.2
immune response	SAM domain and HD domain 1	SAMHD1	9.9
immune response	arachidonate 5-lipoxygenase-activating protein	ALOX5AP	9.8
immune response	neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2)	NCF2	9.4
immune response	CD14 antigen	CD14	9.2
immune response	CD1D antigen, d polypeptide	CD1D	8.5
immune response	FYN binding protein (FYB-120/130)	FYB	8.3
immune response	Fc fragment of IgG, low affinity IIa, receptor for (CD32)	FCGR2A	8.1
immune response	killer cell lectin-like receptor subfamily D, member 1	KLRD1	7.9
immune response	carcinoembryonic antigen-related cell adhesion molecule 9	CEACAM9	4.9
immune response	granulysin	GNLY	6.3
immune response	perforin 1 (pore forming protein)	PRF2	7.6
immune response	killer cell lectin-like receptor subfamily C, member 4	KLRC4	9
immune response	T-cell receptor interacting molecule	TRIM	10.3
immune response	chemokine (C motif) ligand 3	XCL3	11.7
immune response	interleukin 7 receptor	IL7R	13
immune response	chemokine (C motif) ligand 2	XCL2	14.4
immune response	killer cell lectin-like receptor subfamily B, member 2	KLRB2	15.7
immune response	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	GZMA	17.1
immune response	CD3G antigen, gamma polypeptide (TiT3 complex)	CD3G	18.4
immune response	chemokine (C-C motif) ligand 6	CCL6	19.8
immune response	myeloid cell nuclear differentiation antigen	MNDA	21.1
immune response	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD25	22.5
immune response	IL2-inducible T-cell kinase	ITK	23.8
immune response	interleukin 18 receptor accessory protein	IL18RAP	25.2
immune response	CD2 antigen (p50), sheep red blood cell receptor	CD3	26.5
immune response	neutrophil cytosolic factor 1 (47kDa, chronic granulomatous disease, autosomal 1)	NCF2	27.9
immune response	CD8 antigen, alpha polypeptide (p32)	CD8A	29.2
immune response	CD7 antigen (p41)	CD8	30.6
immune response	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 7	CLECSF7	31.9
immune response	CD3D antigen, delta polypeptide (TiT3 complex)	CD3D	33.3
immune response	azurocidin 1 (cationic antimicrobial protein 37)	AZU2	34.6
immune response	chemokine (C-C motif) receptor 8	CCR8	36
immune response	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 2	SERPINA2	37.3
immune response	CD8 antigen, beta polypeptide 1 (p37)	CD8B2	38.7
immune response	leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 4	LILRA4	40
immune response	S100 calcium binding protein A9 (calgranulin B)	S100A10	41.4
immune response	killer cell lectin-like receptor subfamily F, member 2	KLRF2	42.7
immune response	chemokine (C-C motif) ligand 5	CCL5	44.1
immune response	SAM domain and HD domain 2	SAMHD2	45.4
immune response	arachidonate 5-lipoxygenase-activating protein	ALOX5AP	46.8
response to external stimulus	defensin, alpha 4, corticostatin	DEFA4	54.3
response to external stimulus	defensin, alpha 1, myeloid-related sequence	DEFA1	44.1
response to external stimulus	transforming growth factor, beta-induced, 68kDa	TGFBI	12.8
response to external stimulus	ribonuclease, RNase A family, k6	RNASE6	9.2
response to external stimulus	ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)	RNASE2	8.9
response to external stimulus	endothelial cell growth factor 1 (platelet-derived)	ECGF1	8.2
response to external stimulus	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	FGR	6.9
response to external stimulus	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	SLC11A1	4.3
response to external stimulus	dual specificity phosphatase 1	DUSP1	4.1
response to external stimulus	CD48 antigen (B-cell membrane protein)	CD48	4
response to external stimulus	proline-serine-threonine phosphatase interacting protein 1	PSTPIP1	3.6
signal transduction	lymphoid enhancer-binding factor 1	LEF1	30.8
signal transduction	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen), carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen) /// carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	CEACAM6	21
signal transduction	CD3Z antigen, zeta polypeptide (TiT3 complex)	CD3Z	17.1
signal transduction	platelet activating receptor homolog	H963	16
signal transduction	RAR-related orphan receptor A	RORA	13.3
signal transduction	RAS guanyl releasing protein 1 (calcium and DAG-regulated)	RASGRP1	8.7
signal transduction	docking protein 2, 56kDa	DOK2	7.3
signal transduction	reticulon 1	RTN1	5.6
signal transduction	transforming growth factor, beta receptor III (betaglycan, 300kDa)	TGFBR3	5.3
signal transduction	protein kinase C, delta	PRKCD	4.7
signal transduction	paired immunoglobin-like type 2 receptor alpha	PILRA	4.3
signal transduction	T-cell lymphoma invasion and metastasis 1	TIAM1	4.3
