Genbank	0.1mM Ibu Ratio	0.1mM Ibu P-value	Description
BG323841	167.80	0.009	Adipose differentiation-related protein
NM_016109	112.40	0.008	angiopoietin-like 4
NM_003856	88.93	0.00002	interleukin 1 receptor-like 1
M21539	60.60	0.0002	small proline-rich protein 2C
NM_001122	48.42	0.0002	adipose differentiation-related protein
BQ772880	45.21	0.016	Rho family GTPase 3
BE181579	34.88	0.0001	Keratin 17
CB992712	33.21	0.004	G protein-coupled receptor 1
BE714149	31.96	0.005	Parvalbumin
AI277247	25.68	0.001	Leucine rich repeat transmembrane neuronal 3
BX640893	23.74	0.0001	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
NM_005691	20.40	0.001	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
NM_014330	16.87	0.001	protein phosphatase 1, regulatory (inhibitor) subunit 15A
NM_005980	15.81	0.0003	S100 calcium binding protein P
NM_002374	13.84	0.026	microtubule-associated protein 2
NM_004864	11.68	0.008	growth differentiation factor 15
NM_005168	11.47	0.009	Rho family GTPase 3
AI242192	11.05	0.001	Guanine nucleotide binding protein (G protein), gamma 2
NM_004417	11.01	0.002	dual specificity phosphatase 1
AW074404	10.01	0.030	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
AL831863	9.98	0.004	Membrane associated guanylate kinase, WW and PDZ domain containing 1
NM_018399	9.35	0.00004	vanin 3
BF094597	9.27	0.013	Complement factor B
NM_000963	8.76	0.002	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase
AK125133	8.59	0.008	CDNA FLJ43143 fis, clone CTONG3008252
AI831068	8.54	0.001	Zinc finger protein, multitype 2
NM_016651	8.45	0.0001	dapper, antagonist of beta-catenin, homolog 1 (Xenopus laevis)
NM_003764	8.03	0.0001	syntaxin 11
NM_020801	8.00	0.003	arrestin domain containing 3
NM_145242	7.93	0.0002	similar to POSSIBLE GUSTATORY RECEPTOR CLONE PTE01
NM_024341	7.80	0.0001	zinc finger protein 557
NM_003125	7.72	0.001	small proline-rich protein 1B (cornifin)
