UniGeneID	Genetitle	Genesymbol	Foldchange
Hs.137556	protocadherin 21	PCDH21	107.63+/- 2.95
Hs.164226	Thrombospondin 1	THBS1	67.03+/- 4.27
Hs.482077	Integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	ITGA2	23.97+/- 2.34
Hs.218040	Integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	ITGB3	18.81+/- 3.77
Hs.440848	von Willebrand factor	VWF	18.38+/- 2.30
Hs.203691	Discoidin, CUB and LCCL domain containing 2	DCBLD2	18.17+/- 2.37
Hs.114286	CD9 molecule	CD9	18.17+/- 6.36
Hs.1472	Glycoprotein Ib (platelet), alpha polypeptide	GP1BA	17.55+/- 1.32
Hs.490415	Zyxin	ZYX	15.82+/- 9.17
Hs.73734	Glycoprotein V (platelet)	GP5	15.63+/- 2.14
Hs.120949	CD36 molecule (thrombospondin receptor)	CD36	14.93+/- 3.74
Hs.356624	Nidogen 1	NID1	12.85+/- 1.74
Hs.268107	Multimerin 1	MMRN1	11.99+/- 1.98
Hs.173840	Endothelial cell-adhesion molecule	ESAM	11.31+/- 3.40
Hs.578508	ADAM metallopeptidase domain 10	ADAM10	11.18+/- 4.11
Hs.509765	Actinin, alpha 1	ACTN1	10.93+/- 3.19
Hs.73800	Selectin P (granule membrane protein 140 kDa, antigen CD62)	SELP	10.68+/- 1.95
Hs.398093	CD84 molecule	CD84	10.68+/- 3.42
Hs.63348	Elastin microfibril interfacer 1	EMILIN1	8.19+/- 1.95
Hs.22587	Synovial sarcoma, X breakpoint 2 interacting protein	SSX2IP	8.00+/- 2.08
Hs.1144	Glycoprotein IX (platelet)	GP9	8.00+/- 2.13
Hs.133397	Integrin, alpha 6	ITGA6	7.29+/- 1.17
Hs.435291	Rho GTPase activating protein 6	ARHGAP6	7.21+/- 2.06
Hs.283743	Glycoprotein Ib (platelet), beta polypeptide ...septin 5	GP1BB ...SEPT5	7.05+/- 1.85
Hs.584884	ATPase, Ca++ transporting, type 2C, member 1	ATP2C1	5.40+/- 1.07
Hs.336994	metastasis suppressor 1	MTSS1	5.10+/- 1.24
Hs.278285	CD226 molecule	CD226	5.10+/- 1.59
Hs.563491	Ependymin related protein 1 (zebrafish)	EPDR1	4.65+/- 1.58
Hs.159161	Rho GDP dissociation inhibitor (GDI- alpha	ARHGDIA	4.59+/- 1.23
Hs.408623	Dpy-19-like 1 (Caenorhabditis elegans)	DPY19L1	3.86+/- 1.15
Hs.97199	CD93	CD93 molecule	-23.97 ± 1.40
Hs.310458	TSPAN2	tetraspanin 2	-25.40 ± 1.10
Hs.270	Pleckstrin homology, Sec7 and coiled-coil domains, binding protein	PSCDBP	-37.19 ± 1.72
Hs.502328	CD44 molecule (Indian blood group)	CD44	-64.74 ± 2.32
Hs.375957	Integrin, beta 2 (complement component 3, receptor 3 and 4 subunit) ITGB2	ITGB2	-222.86 ± 1.74
