AFFY ID	UGID	Unigene Name	Symbol	Genbank	|d|	Fold Change	q-value (%)	direction
212949_at	Hs.308045	barren homolog (Drosophila)	BRRN1	D38553	8.64	0.77	0.13	-1
221520_s_at	Hs.48855	cell division cycle associated 8	CDCA8	BC001651	8.41	0.75	0.14	-1
226936_at	Hs.35962	CDNA clone IMAGE:4448513, partial cds		BG492359	8.16	0.86	0.13	-1
204822_at	Hs.169840	TTK protein kinase	TTK	NM_003318	8.11	0.84	0.14	-1
207183_at	Hs.92458	G protein-coupled receptor 19	GPR19	NM_006143	8.11	0.78	0.12	-1
228069_at				AL138828	7.74	0.88	0.13	-1
224428_s_at	Hs.435733	cell division cycle associated 7	CDCA7	AY029179	7.64	0.87	0.13	-1
201710_at	Hs.179718	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	MYBL2	NM_002466	7.49	0.8	0.13	-1
222958_s_at	Hs.445098	cell cycle control protein SDP35	SDP35	AK000490	7.46	0.88	0.14	-1
202870_s_at	Hs.82906	CDC20 cell division cycle 20 homolog (S. cerevisiae)	CDC20	NM_001255	7.39	0.85	0.14	-1
204825_at	Hs.184339	maternal embryonic leucine zipper kinase	MELK	NM_014791	7.32	0.86	0.14	-1
209408_at	Hs.69360	kinesin family member 2C	KIF2C	U63743	7.19	0.9	0.14	-1
201930_at	Hs.444118	MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	MCM6	NM_005915	7.17	0.92	0.12	-1
204146_at				BE966146	7.16	0.85	0.13	-1
228273_at	Hs.528654	hypothetical protein FLJ11029	FLJ11029	BG165011	7.11	0.87	0.13	-1
209642_at	Hs.287472	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	BUB1	AF043294	6.99	0.87	0.12	-1
222608_s_at	Hs.62180	anillin, actin binding protein (scraps homolog, Drosophila)	ANLN	AK023208	6.98	0.85	0.13	-1
210052_s_at	Hs.9329	TPX2, microtubule-associated protein homolog (Xenopus laevis)	TPX2	AF098158	6.93	0.87	0.14	-1
208628_s_at	Hs.74497	nuclease sensitive element binding protein 1	NSEP1	BC002411	6.9	0.94	0.12	-1
225834_at	Hs.339665	MRNA similar to RIKEN cDNA 2700049P18 gene (cDNA clone MGC:57827 IMAGE:6064384), complete cds		AL135396	6.87	0.89	0.14	-1
229150_at	Hs.102406	Transcribed sequences		AI810764	6.86	1.23	0.12	1
202705_at	Hs.194698	cyclin B2	CCNB2	NM_004701	6.84	0.88	0.13	-1
226473_at	Hs.103305	MRNA; cDNA DKFZp434B0425 (from clone DKFZp434B0425)		BE514414	6.83	0.86	0.13	-1
204962_s_at	Hs.1594	centromere protein A, 17kDa	CENPA	NM_001809	6.71	0.88	0.14	-1
223062_s_at	Hs.286049	phosphoserine aminotransferase 1	PSAT1	BC004863	6.71	0.81	0.12	-1
218542_at	Hs.14559	chromosome 10 open reading frame 3	C10orf3	NM_018131	6.68	0.87	0.12	-1
218726_at	Hs.104859	hypothetical protein DKFZp762E1312	DKFZp762 E1312	NM_018410	6.67	0.85	0.13	-1
229030_at				AW242997	6.62	1.2	0.14	1
223361_at	Hs.238205	chromosome 6 open reading frame 115	C6orf115	AF116682	6.62	0.91	0.12	-1
202954_at	Hs.93002	ubiquitin-conjugating enzyme E2C	UBE2C	NM_007019	6.61	0.91	0.13	-1
232855_at	Hs.283853	MRNA full length insert cDNA clone EUROIMAGE 980547		AL360204	6.58	1.36	0.14	-1
203764_at	Hs.77695	discs, large homolog 7 (Drosophila)	DLG7	NM_014750	6.54	0.88	0.14	-1
225687_at	Hs.70704	chromosome 20 open reading frame 129	C20orf129	BC001068	6.5	0.91	0.14	-1
244696_at	Hs.372254	Transcribed sequences		AI033582	6.49	1.16	0.13	1
210559_s_at	Hs.334562	cell division cycle 2, G1 to S and G2 to M	CDC2	D88357	6.47	0.89	0.12	-1
208627_s_at				BE966374	6.46	0.93	0.14	-1
202580_x_at	Hs.511941	forkhead box M1	FOXM1	NM_021953	6.46	0.84	0.12	-1
207828_s_at				NM_005196	6.44	0.9	0.13	-1
236641_at	Hs.3104	kinesin family member 14	KIF14	AW183154	6.43	0.84	0.14	-1
208103_s_at	Hs.385913	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	ANP32E	NM_030920	6.42	0.87	0.13	-1
203755_at	Hs.36708	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	BUB1B	NM_001211	6.39	0.91	0.13	-1
228559_at	Hs.55028	CDNA clone IMAGE:6043059, partial cds		BF111626	6.39	0.89	0.13	-1
205394_at	Hs.24529	CHK1 checkpoint homolog (S. pombe)	CHEK1	NM_001274	6.36	0.88	0.13	-1
208079_s_at				NM_003158	6.36	0.87	0.12	-1
228323_at	Hs.438982	AF15q14 protein	AF15Q14	BF248364	6.35	0.91	0.13	-1
202779_s_at	Hs.462306	ubiquitin-conjugating enzyme E2S	UBE2S	NM_014501	6.33	0.89	0.12	-1
219918_s_at				NM_018123	6.28	0.84	0.12	-1
202233_s_at	Hs.285761	ubiquinol-cytochrome c reductase hinge protein	UQCRH	NM_006004	6.23	0.95	0.14	-1
204533_at	Hs.413924	chemokine (C-X-C motif) ligand 10	CXCL10	NM_001565	6.23	0.88	0.13	-1
222680_s_at	Hs.126774	RA-regulated nuclear matrix-associated protein	RAMP	AK001261	6.22	0.92	0.14	-1
235572_at	Hs.381225	kinetochore protein Spc24	Spc24	AI469788	6.22	0.85	0.12	-1
214431_at	Hs.144057	guanine monphosphate synthetase	GMPS	NM_003875	6.21	0.92	0.13	-1
204033_at	Hs.436187	thyroid hormone receptor interactor 13	TRIP13	NM_004237	6.2	0.9	0.12	-1
219555_s_at	Hs.283532	uncharacterized bone marrow protein BM039	BM039	NM_018455	6.2	0.76	0.14	-1
202589_at	Hs.87491	thymidylate synthetase	TYMS	NM_001071	6.15	0.91	0.14	-1
223381_at	Hs.234545	cell division cycle associated 1	CDCA1	AF326731	6.12	0.85	0.13	-1
206102_at				NM_021067	6.12	0.88	0.13	-1
218355_at	Hs.279766	kinesin family member 4A	KIF4A	NM_012310	6.12	0.91	0.12	-1
218039_at	Hs.279905	nucleolar and spindle associated protein 1	NUSAP1	NM_016359	6.11	0.91	0.12	-1
209773_s_at	Hs.226390	ribonucleotide reductase M2 polypeptide	RRM2	BC001886	6.1	0.89	0.14	-1
224753_at	Hs.434886	cell division cycle associated 5	CDCA5	BE614410	6.09	0.76	0.14	-1
239758_at	Hs.26125	Transcribed sequences		AI142126	6.07	1.12	0.12	1
204244_s_at	Hs.152759	activator of S phase kinase	ASK	NM_006716	6.07	0.89	0.13	-1
204641_at	Hs.153704	NIMA (never in mitosis gene a)-related kinase 2	NEK2	NM_002497	6.06	0.86	0.13	-1
240465_at				BF508074	6.06	1.19	0.14	1
