Probe set	Gene Symbol	Description	Fold-change: Upper/Lower	P-value
204304_s_at	PROM1	prominin 1	7.1	5.53E-05
222780_s_at	BAALC	brain and acute leukemia, cytoplasmic	4.8	< 1e-07
218899_s_at	BAALC	brain and acute leukemia, cytoplasmic	4.7	< 1e-07
241133_at		CDNA FLJ35984 fis, clone TESTI2014097, highly similar to V_segment translation product	4	0.0001788
202746_at	ITM2A	integral membrane protein 2A	3.8	0.0002329
219789_at	NPR3	natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C)	3.6	0.0002513
229629_at		Transcribed locus	3.5	3.60E-06
210755_at	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	3.4	0.0003743
235333_at	B4GALT6	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	3.4	6.56E-05
202747_s_at	ITM2A	integral membrane protein 2A	3.4	0.0002154
209543_s_at	CD34	CD34 molecule	3.4	6.20E-06
1553183_at	UMODL1	uromodulin-like 1	3.3	0.0001449
205330_at	MN1	meningioma (disrupted in balanced translocation) 1	3.1	4.00E-07
219054_at	C5orf23	chromosome 5 open reading frame 23	3.1	0.0001874
206233_at	B4GALT6	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	3	6.67E-05
223708_at	C1QTNF4	C1q and tumor necrosis factor related protein 4	2.9	0.0005767
224285_at	GPR174	G protein-coupled receptor 174	2.9	9.56E-05
1562433_at	FLJ10489	hypothetical protein FLJ10489	2.8	< 1e-07
229390_at		hypothetical protein LOC441168	2.8	0.0003047
203987_at	FZD6	frizzled homolog 6 (Drosophila)	2.7	0.0006482
209993_at	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	2.7	0.0003576
201015_s_at	JUP	junction plakoglobin	2.7	2.63E-05
205051_s_at	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	2.6	0.000771
217979_at	TSPAN13	Tetraspanin 13	2.6	0.0005135
209583_s_at	CD200	CD200 molecule	2.4	4.03E-05
229391_s_at		hypothetical protein LOC441168	2.4	0.0001872
230707_at	SORL1	sortilin-related receptor, L(DLR class) A repeats-containing	2.4	2.35E-05
206232_s_at	B4GALT6	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	2.3	6.68E-05
220059_at	BRDG1	BCR downstream signaling 1	2.3	0.0001616
226878_at	HLADOA	major histocompatibility complex, class II, DO alpha	2.2	6.93E-05
219790_s_at	NPR3	natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C)	2.2	0.0003301
219383_at	FLJ14213	hypothetical protein FLJ14213	2.2	8.00E-07
209318_x_at	PLAGL1	pleiomorphic adenoma gene-like 1	2.2	0.0005486
207002_s_at	PLAGL1	pleiomorphic adenoma gene-like 1	2.1	0.0002729
1554876_a_at	S100Z	S100 calcium binding protein Z	2.1	0.000542
207532_at	CRYGD	crystallin, gamma D	2.1	6.74E-05
221004_s_at	ITM2C	integral membrane protein 2C /// integral membrane protein 2C	2.1	0.0002038
227040_at		similar to RIKEN cDNA 8030451K01	2	0.0002077
204352_at	TRAF5	TNF receptor-associated factor 5	2	0.0007671
244726_at	PLCB1	Phospholipase C, beta 1 (phosphoinositide-specific)	2	0.0005517
229002_at	FAM69B	family with sequence similarity 69, member B	2	0.0004099
229543_at	RPL29	Ribosomal protein L29 /// Ribosomal protein L29	2	0.0006448
208107_s_at	LOC81691	exonuclease NEF-sp /// exonuclease NEF-sp	1.9	0.0008884
237483_at	PLEKHA5	Pleckstrin homology domain containing, family A member 5	1.9	0.0005592
207943_x_at	PLAGL1	pleiomorphic adenoma gene-like 1	1.9	0.0002052
228831_s_at	GNG7	guanine nucleotide binding protein (G protein), gamma 7	1.9	0.0001554
232184_at	ALS2	amyotrophic lateral sclerosis 2 (juvenile)	1.9	0.0002814
214049_x_at	CD7	CD7 molecule	1.9	0.0004937
231323_at	PSMB2	Proteasome (prosome, macropain) subunit, beta type, 2	1.9	0.0002696
213910_at	IGFBP7	insulin-like growth factor binding protein 7	1.9	0.0009821
1560762_at	LOC285972	hypothetical protein LOC285972	1.9	0.0001626
232234_at	SLA2	Src-like-adaptor 2	1.9	1.90E-05
238376_at	DEXI	Dexamethasone-induced transcript	1.9	0.0001283
218927_s_at	CHST12	carbohydrate (chondroitin 4) sulfotransferase 12	1.9	0.0003239
235199_at	RNF125	ring finger protein 125	1.8	0.0001903
233379_at	FLJ14213	Hypothetical protein FLJ14213	1.8	2.09E-05
239247_at	LOC401577	Hypothetical protein LOC401577	1.8	0.0008403
1558695_at	PLEKHA5	Pleckstrin homology domain containing, family A member 5	1.8	6.29E-05
214163_at	C1orf41	Chromosome 1 open reading frame 41	1.8	9.70E-06
209582_s_at	CD200	CD200 molecule	1.8	5.94E-05
238488_at	IPO11	importin 11	1.8	0.0002988
232227_at	NALP1	NACHT, leucine rich repeat and PYD (pyrin domain) containing 1	1.8	8.82E-05
