Genbank	0.01mM NS Ratio	0.01mM NS P-value	0.1mM Ibu Ratio	0.1mM Ibu P-value	V vs S Ratio	V vs S P-value	Description
BG323841	0.54	0.349	2.10	0.031	1.30	0.388	Adipose differentiation-related protein
NM_016109	2.10	0.674	49.33	0.017	1.95	0.562	angiopoietin-like 4
NM_003856	1.01	0.964	2.48	0.002	1.61	0.011	interleukin 1 receptor-like 1
NM_001122	1.07	0.720	4.68	0.0001	1.34	0.264	adipose differentiation-related protein
NM_005980	1.05	0.888	2.39	0.014	0.90	0.809	S100 calcium binding protein P
NM_000963	1.26	0.027	0.97	0.918	0.21	0.052	prostaglandin-endoperoxide synthase 2
NM_013391	3.93	0.283	0.68	0.753	0.08	0.003	dimethylglycine dehydrogenase
NM_002422	0.92	0.446	1.19	0.178	3.31	0.008	matrix metallopeptidase 3
NM_007115	1.27	0.113	2.28	0.023	0.78	0.457	tumor necrosis factor, alpha-induced protein 6
NM_014037	1.18	0.740	7.40	0.033	0.80	0.521	solute carrier family 6, member 16
NM_000640	1.11	0.800	2.42	0.039	1.23	0.749	interleukin 13 receptor, alpha 2
AI631715	2.14	0.003	2.43	0.414	1.33	0.622	Eukaryotic translation initiation factor 3
NM_152779	2.86	0.039	1.94	0.502	0.37	0.460	GLI pathogenesis-related 1 like 1
CF135326	2.75	0.021	1.63	0.052	0.90	0.833	WDFY family member 4
AW971502	2.00	0.117	1.49	0.403	3.25	0.015	MADS box transcription enhancer factor 2
AW516579	0.98	0.933	0.44	0.430	1.52	0.028	Bcl2 modifying factor
BX094187	0.97	0.935	2.19	0.038	0.82	0.532	Phosphodiesterase 11A
CA334897	14.01	0.046	0.72	0.260	1.45	0.385	Matrix metallopeptidase 12 (macrophage elastase)
NM_005771	1.35	0.414	4.29	0.003	0.85	0.563	dehydrogenase/reductase (SDR family) member 9
NM_144717	1.71	0.342	0.65	0.040	3.97	0.059	fibronectin type III domain containing 6
BQ429489	6.55	0.003	0.52	0.155	1.98	0.326	Regulator of G-protein signalling like 1
AF384996	1.21	0.825	1.70	0.175	2.88	0.046	MUSP1 (MUSP1)
NM_145242	0.95	0.742	2.16	0.017	1.19	0.113	similar to POSSIBLE GUSTATORY RECEPTOR
NM_016270	0.84	0.389	0.76	0.106	2.09	0.009	Kruppel-like factor 2 (lung)
NM_153206	0.98	0.976	0.97	0.937	2.10	0.026	adhesion molecule, interacts with CXADR antigen 1
NM_000800	0.78	0.071	0.88	0.648	1.88	0.010	fibroblast growth factor 1 (acidic)
NM_004113	0.89	0.756	2.00	0.029	1.70	0.409	fibroblast growth factor 12
NM_000533	0.46	0.048	0.78	0.476	0.76	0.408	proteolipid protein 1
NM_002943	1.01	0.935	0.84	0.700	1.95	0.045	RAR-related orphan receptor A
NM_004361	1.21	0.625	2.11	0.008	0.93	0.394	cadherin 7, type 2
BX102352	1.07	0.837	2.30	0.006	1.11	0.528	Similar to methylenetetrahydrofolate dehydrogenase 1-like
BF112211	3.30	0.382	2.83	0.390	0.43	0.020	Butyrophilin-like 3
NM_153606	2.09	0.015	1.82	0.452	2.53	0.491	family with sequence similarity 71, member A
NM_021082	1.04	0.942	2.07	0.283	0.41	0.010	solute carrier family 15
NM_001465	1.14	0.453	3.61	0.375	1.05	0.867	FYN binding protein (FYB-120/130)
BF437644	2.72	0.031	1.56	0.793	0.92	0.789	Ectodysplasin A
BM665452	2.84	0.007	0.36	0.478	0.94	0.894	Solute carrier family 8
NM_002019	2.09	0.026	1.06	0.917	0.56	0.204	fms-related tyrosine kinase 1
AW614820	0.79	0.681	4.39	0.320	0.11	0.005	Cancer susceptibility candidate 5
NM_001442	1.12	0.694	4.10	0.012	1.10	0.748	fatty acid binding protein 4, adipocyte
NM_001628	0.93	0.739	2.65	0.015	0.69	0.383	aldo-keto reductase family 1, member B1
BM914015	1.00	0.998	2.56	0.034	1.17	0.805	High-mobility group box 4
BM955780	1.23	0.732	2.54	0.015	2.13	0.292	Rho GTPase activating protein 29
AI350752	1.71	0.340	2.53	0.013	1.16	0.709	V-ets erythroblastosis virus E26 oncogene homolog 1
BC007266	1.01	0.990	2.48	0.026	1.21	0.623	Homo sapiens, clone IMAGE:3138608, mRNA
AK094405	2.00	0.284	2.39	0.048	0.73	0.389	Ribosomal protein S6
BM664443	0.99	0.987	2.33	0.032	1.01	0.955	Solute carrier family 4
BX476643	1.59	0.199	2.21	0.040	0.76	0.536	Integrin, alpha 2
AB023217	0.85	0.455	2.15	0.001	0.91	0.362	myosin, heavy polypeptide 15
AA601234	1.04	0.835	2.11	0.050	1.22	0.428	Carnitine palmitoyltransferase 1A (liver)
AA677881	1.10	0.845	2.10	0.004	1.11	0.745	Ubiquitin specific peptidase 24
H69998	1.82	0.163	2.08	0.026	0.48	0.108	SH3-domain GRB2-like 1
AW009081	1.16	0.545	2.04	0.041	0.82	0.351	EPH receptor B2
NM_016943	1.03	0.946	0.71	0.403	2.89	0.025	taste receptor, type 2, member 3
NM_004115	0.84	0.669	1.22	0.809	2.80	0.011	fibroblast growth factor 14
AI266131	1.15	0.798	0.55	0.343	2.52	0.030	Hemochromatosis
NM_152520	0.68	0.311	1.18	0.582	2.36	0.045	zinc finger protein 533
NM_019032	0.93	0.591	1.24	0.423	2.14	0.027	ADAMTS-like 4
NM_014425	0.94	0.789	1.16	0.645	2.14	0.005	inversin
CB998626	0.90	0.588	1.00	0.992	2.11	0.022	Peroxisome biogenesis factor 26
NM_005547	1.10	0.779	0.78	0.364	2.08	0.024	involucrin
BU753037	0.91	0.738	0.87	0.851	2.08	0.006	RAN binding protein 9
BX104097	1.16	0.693	1.60	0.401	2.07	0.029	Zinc finger protein 491
BC037548	1.37	0.599	0.53	0.338	2.06	0.029	hypothetical protein LOC349408
NM_019618	1.74	0.116	1.35	0.642	2.04	0.011	interleukin 1 family, member 9
BC048003	0.91	0.582	1.02	0.921	0.49	0.003	Homo sapiens cDNA clone IMAGE:5314428.
NM_133496	0.99	0.935	1.02	0.799	0.49	0.002	solute carrier family 30
NM_020463	0.94	0.436	0.97	0.364	0.49	0.021	KIAA1387 protein
AV651856	0.90	0.198	1.04	0.798	0.46	0.001	Full length insert cDNA YI01B02
BX117366	1.11	0.819	0.89	0.762	0.44	0.006	KIAA1505 protein
AK074053	0.92	0.106	0.53	0.196	0.44	0.032	mitochondrial ribosomal protein L46
AK124590	0.86	0.456	0.98	0.953	0.44	0.004	Solute carrier family 7 member 1
NM_001448	0.94	0.601	0.98	0.863	0.43	0.0002	glypican 4
NM_002571	1.32	0.323	1.01	0.971	0.43	0.027	progestagen-associated endometrial protein
