UG cluster	Gene symbol	Description	P
Hs.118400	FSCN1	Fascin homologue 1, actin-bundling protein (Strongylocentrotus purpuratus )	<0.000001
Hs.83169	MMP1	Matrix metalloproteinase 1 (interstitial collagenase)	<0.000001
Hs.9613	ANGPTL4	Angiopoietin-like 4	<0.000001
Hs.74120	C10orf116	Chromosome 10 open reading frame 116	0.000006
Hs.789	CXCL1	Chemokine (C-X-C motif) ligand 1 (melanoma growth-stimulating activity, alpha)	0.00002
Hs.196384	PTGS2	Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	0.000355
Hs.185568	KRTHB1	Keratin, hair, basic, 1	0.000444
Hs.109225	VCAM1	Vascular cell adhesion molecule 1	0.000506
Hs.17466	RARRES3	Retinoic acid receptor responder (tazarotene induced) 3	0.000627
Hs.368256	LTBP1	Latent transforming growth factor beta binding protein 1	0.001263
Hs.444471	KYNU	Kynureninase (L-kynurenine hydrolase)	0.004365
Hs.421986	CXCR4	Chemokine (C-X-C motif) receptor 4	0.005179
Hs.77667	LY6E	Lymphocyte antigen 6 complex, locus E	0.006426
Hs.410900	ID1	Inhibitor of DNA binding 1, dominant-negative helix–loop–helix protein	0.007153
Hs.255149	MAN1A1	Mannosidase, alpha, class 1A, member 1	0.010871
Hs.388589	NEDD9	Neural precursor cell expressed, developmentally downregulated 9	0.032361
Hs.115263	EREG	Epiregulin	0.03713
Hs.98998	TNC	Tenascin C (hexabrachion)	0.046859
