geneid	symbol	description	pvalue	zscore	probe	w_pvalue	signed_p(negative--down, positive--up in LSC)
911	CD1C	CD1c molecule	0.009018	-2.364897	205987_at;205987_at;	0.002797203;0.016666667;	0.990268
2210	FCGR1B	Fc fragment of IgG, high affinity Ib, receptor (CD64)	0.009018	-2.364897	214511_x_at;214511_x_at;	0.002797203;0.016666667;	0.990268
2580	GAK	cyclin G associated kinase	0.009018	-2.364897	40225_at;202281_at;	0.002797203;0.016666667;	0.990268
3956	LGALS1	lectin, galactoside-binding, soluble, 1 (galectin 1)	0.009018	-2.364897	201105_at;201105_at;	0.002797203;0.016666667;	0.990268
5199	CFP	complement factor properdin	0.009018	-2.364897	206380_s_at;206380_s_at;	0.002797203;0.016666667;	0.990268
6778	STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	0.009018	-2.364897	201331_s_at;201331_s_at;	0.002797203;0.016666667;	0.990268
7263	TST	thiosulfate sulfurtransferase (rhodanese)	0.009018	-2.364897	209605_at;209605_at;	0.002797203;0.016666667;	0.990268
7305	TYROBP	TYRO protein tyrosine kinase binding protein	0.009018	-2.364897	204122_at;204122_at;	0.002797203;0.016666667;	0.990268
8522	GAS7	growth arrest-specific 7	0.009018	-2.364897	202192_s_at;202191_s_at;	0.002797203;0.016666667;	0.990268
9764	KIAA0513	KIAA0513	0.009018	-2.364897	204546_at;204546_at;	0.002797203;0.016666667;	0.990268
10437	IFI30	interferon, gamma-inducible protein 30	0.009018	-2.364897	201422_at;201422_at;	0.002797203;0.016666667;	0.990268
11221	DUSP10	dual specificity phosphatase 10	0.009018	-2.364897	215501_s_at;221563_at;	0.002797203;0.016666667;	0.990268
51063	FAM26B	family with sequence similarity 26, member B	0.009018	-2.364897	221565_s_at;221565_s_at;	0.002797203;0.016666667;	0.990268
65220	NADK	NAD kinase	0.009018	-2.364897	208918_s_at;208919_s_at;	0.002797203;0.016666667;	0.990268
95603			0.009018	-2.364897	216250_s_at;216250_s_at;	0.002797203;0.016666667;	0.990268
8293	SERF1A	small EDRK-rich factor 1A (telomeric)	0.018204	-2.092333	241804_at;243332_at;	0.016666667;0.002797203;	0.990268
56261		hypothetical protein KIAA1434	0.018204	-2.092333	230492_s_at;230492_s_at;	0.016666667;0.002797203;	0.990268
57181	SLC39A10	solute carrier family 39 (zinc transporter), member 10	0.018204	-2.092333	226444_at;226444_at;	0.016666667;0.002797203;	0.990268
57217	TTC7A	tetratricopeptide repeat domain 7A	0.018204	-2.092333	224912_at;224912_at;	0.016666667;0.002797203;	0.990268
79626	TNFAIP8L2	tumor necrosis factor, alpha-induced protein 8-like 2	0.018204	-2.092333	223583_at;223583_at;	0.016666667;0.002797203;	0.990268
90990	KIFC2	kinesin family member C2	0.018204	-2.092333	226792_s_at;226791_at;	0.016666667;0.002797203;	0.990268
92235	DUSP27	dual specificity phosphatase 27 (putative)	0.018204	-2.092333	232252_at;244765_at;	0.016666667;0.002797203;	0.990268
140685	ZBTB46	zinc finger and BTB domain containing 46	0.018204	-2.092333	227329_at;227358_at;	0.016666667;0.002797203;	0.990268
140831	ZSWIM3	zinc finger, SWIM-type containing 3	0.018204	-2.092333	228223_at;228223_at;	0.016666667;0.002797203;	0.990268
157285	PRAGMIN	homolog of rat pragma of Rnd2	0.018204	-2.092333	235085_at;235085_at;	0.016666667;0.002797203;	0.990268
286336	FAM78A	family with sequence similarity 78, member A	0.018204	-2.092333	227002_at;227002_at;	0.016666667;0.002797203;	0.990268
3665	IRF7	interferon regulatory factor 7	0.009158	-2.359157	208436_s_at;208436_s_at;	0.005594406;0.016666667;	0.988869
4818	NKG7	natural killer cell group 7 sequence	0.009158	-2.359157	213915_at;213915_at;	0.005594406;0.016666667;	0.988869
26511	CHIC2	cysteine-rich hydrophobic domain 2	0.009158	-2.359157	219492_at;219492_at;	0.005594406;0.016666667;	0.988869
57103	C12orf5	chromosome 12 open reading frame 5	0.009158	-2.359157	219099_at;219099_at;	0.005594406;0.016666667;	0.988869
95221			0.009158	-2.359157	208118_x_at;208118_x_at;	0.005594406;0.016666667;	0.988869
7325	UBE2E2	ubiquitin-conjugating enzyme E2E 2 (UBC4/5 homolog, yeast)	0.018462	-2.086593	225651_at;225651_at;	0.016666667;0.005594406;	0.988869
57488	FAM62B	family with sequence similarity 62 (C2 domain containing) member B	0.018462	-2.086593	224698_at;1558511_s_at;	0.016666667;0.005594406;	0.988869
83855	KLF16	Kruppel-like factor 16	0.018462	-2.086593	226328_at;224111_x_at;	0.016666667;0.005594406;	0.988869
134430	WDR36	WD repeat domain 36	0.018462	-2.086593	238677_at;238677_at;	0.016666667;0.005594406;	0.988869
27128	PSCD4	pleckstrin homology, Sec7 and coiled-coil domains 4	0.009222	-2.35658	1554335_at;219183_s_at;	0.006850503;0.016666667;	0.988241
57704	GBA2	glucosidase, beta (bile acid) 2	0.018579	-2.084016	224627_at;223921_s_at;	0.016666667;0.006850503;	0.988241
9960	USP3	ubiquitin specific peptidase 3	0.002793	-2.771152	226652_at;221654_s_at;221654_s_at;	0.016666667;0.002797203;0.016666667;	0.987956
2752	GLUL	glutamate-ammonia ligase (glutamine synthetase)	0.009386	-2.350035	217202_s_at;217202_s_at;	0.002797203;0.022245497;	0.987479
152815	THAP6	THAP domain containing 6	0.01895	-2.075938	235218_x_at;227813_at;	0.016666667;0.010787449;	0.986273
80301	PLEKHO2	pleckstrin homology domain containing, family O member 2	0.009532	-2.344295	204436_at;204436_at;	0.005594406;0.022245497;	0.98608
154	ADRB2	adrenergic, beta-2-, receptor, surface	0.009445	-2.347679	206170_at;206170_at;	0.011188811;0.016666667;	0.986072
1200	TPP1	tripeptidyl peptidase I	0.009445	-2.347679	214195_at;200743_s_at;	0.011188811;0.016666667;	0.986072
1396	CRIP1	cysteine-rich protein 1 (intestinal)	0.009445	-2.347679	205081_at;205081_at;	0.011188811;0.016666667;	0.986072
4542	MYO1F	myosin IF	0.009445	-2.347679	213733_at;213733_at;	0.011188811;0.016666667;	0.986072
6799	SULT1A2	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2	0.009445	-2.347679	207122_x_at;207122_x_at;	0.011188811;0.016666667;	0.986072
11033	CENTA1	centaurin, alpha 1	0.009445	-2.347679	219150_s_at;90265_at;	0.011188811;0.016666667;	0.986072
79874	RABEP2	rabaptin, RAB GTPase binding effector protein 2	0.009445	-2.347679	77508_r_at;74694_s_at;	0.011188811;0.016666667;	0.986072
10890	RAB10	RAB10, member RAS oncogene family	0.018988	-2.075115	222981_s_at;222981_s_at;	0.016666667;0.011188811;	0.986072
57705	WDFY4	WDFY family member 4	0.018988	-2.075115	229597_s_at;229597_s_at;	0.016666667;0.011188811;	0.986072
64098	PARVG	parvin, gamma	0.018988	-2.075115	223562_at;223562_at;	0.016666667;0.011188811;	0.986072
83852	SETDB2	SET domain, bifurcated 2	0.018988	-2.075115	238731_at;1564970_at;	0.016666667;0.011188811;	0.986072
84957	RELT	RELT tumor necrosis factor receptor	0.018988	-2.075115	227060_at;227060_at;	0.016666667;0.011188811;	0.986072
114879	OSBPL5	oxysterol binding protein-like 5	0.018988	-2.075115	223464_at;241467_at;	0.016666667;0.011188811;	0.986072
128989	C22orf25	chromosome 22 open reading frame 25	0.018988	-2.075115	235396_at;235396_at;	0.016666667;0.011188811;	0.986072
152007	C9orf19	chromosome 9 open reading frame 19	0.018988	-2.075115	225602_at;225604_s_at;	0.016666667;0.011188811;	0.986072
159013	CXorf38	chromosome X open reading frame 38	0.018988	-2.075115	230532_at;230532_at;	0.016666667;0.011188811;	0.986072
283149	BCL9L	B-cell CLL/lymphoma 9-like	0.018988	-2.075115	227616_at;228065_at;	0.016666667;0.011188811;	0.986072
79607	FAM118B	family with sequence similarity 118, member B	0.01951	-2.06397	230009_at;230009_at;	0.016666667;0.016620637;	0.983356
26578	OSTF1	osteoclast stimulating factor 1	0.009829	-2.332817	204479_at;204479_at;	0.011188811;0.022245497;	0.983283
